N	3gram	Vinokur_St_3	VrazhdaK
1	то же время	3	4
2	в то же	3	4
3	в связи с	3	3
4	в русской литературе	1	3
5	с точки зрения	4	2
6	как раз в	1	2
7	в году в	1	2
8	не может быть	5	2
9	в том что	11	2
10	то что я	2	1
11	между прочим и	1	1
12	в этом смысле	4	1
13	что это за	2	1
14	в том же	1	1
15	тем более что	2	1
16	до сих пор	2	1
17	в мировой литературе	3	1
18	в этом отношении	4	1
19	независимо от того	2	1
20	период работы над	1	1
21	но это не	3	1
22	вдаваясь в детальный	1	1
23	по крайней мере	4	1
24	но и это	1	1
25	в этой сцене	1	1
26	интересно в этом	1	1
27	тем что он	2	1
28	и что он	1	1
29	но в целом	1	1
30	к вопросу о	1	1
31	все же он	1	1
32	с которым он	1	1
33	в период работы	1	1
34	ответ на это	1	1
35	в конце концов	3	1
36	в известном смысле	1	1
37	и в этом	2	1
38	а с другой	2	1
39	во всяком случае	4	1
40	конце х годов	1	1
41	что у него	1	1
42	с другой стороны	4	1
43	связи с этим	1	1
44	тем не менее	2	1
45	молодой человек в	1	1
46	он хочет сделать	1	1
47	что в этой	2	1
48	заключается в том	2	1
49	в то время	4	1
50	что из всех	1	1
51	его отношение к	1	1
52	в свою очередь	1	1
53	что в ней	1	1
54	о том что	4	1
55	и в самом	1	1
56	не только не	1	1
57	уже в году	1	1
58	это сказалось в	1	1
59	у целого ряда	1	1
60	на то что	3	1
61	что этот человек	1	1
62	в конце х	1	1
63	не вдаваясь в	1	1
64	речь идет о	1	1
