1	в то же	5	9
2	то же время	5	9
3	не может быть	1	7
4	с одной стороны	4	6
5	в том что	2	5
6	с другой стороны	2	4
7	с точки зрения	2	3
8	в этом отношении	3	3
9	в данном случае	2	3
10	по отношению к	1	3
11	за то что	1	2
12	о том что	5	2
13	это прежде всего	2	2
14	одной стороны и	2	1
15	и др на	1	1
16	а с другой	1	1
17	в этот день	1	1
18	все то что	4	1
19	после того как	1	1
20	и то что	2	1
21	так и от	1	1
22	а так как	1	1
23	что уже в	1	1
24	в основе своей	1	1
25	в конце концов	1	1
26	а за ними	1	1
27	том что в	1	1
28	и даже в	1	1
29	является одним из	1	1
30	и себя в	1	1
31	и для всех	1	1
32	вместе с тем	1	1
33	одна из ведущих	1	1
34	для того чтобы	1	1
35	что же касается	1	1
36	из того что	1	1
37	и вовсе не	2	1
38	той или иной	1	1
39	то есть в	2	1
40	и прежде всего	2	1
41	что в начале	1	1
42	в себе и	1	1
43	во всех этих	2	1
44	в целом ряде	1	1
45	только то что	1	1
46	в одном из	1	1
