N	3gram	Savitsky_P_1	KulturaY
1	с точки зрения	3	16
2	для того чтобы	1	11
3	в том что	4	8
4	и т д	1	8
5	тех пор пока	1	4
6	с одной стороны	3	4
7	и в этом	1	4
8	до тех пор	1	4
9	можно говорить о	1	3
10	не только в	4	3
11	не только как	1	3
12	с другой стороны	1	3
13	не может быть	1	3
14	в том числе	2	2
15	в отличие от	1	2
16	с тем чтобы	1	2
17	совершенно ясно что	1	2
18	в известном смысле	1	2
19	не в том	1	2
20	более или менее	1	2
21	тем более что	1	2
22	эти могут быть	1	2
23	тот или иной	1	2
24	когда в силу	1	1
25	есть не более	1	1
26	чуть ли не	1	1
27	далеко не все	1	1
28	разных точек зрения	1	1
29	есть прежде всего	1	1
30	в этом смысле	1	1
31	и не может	1	1
32	и в то	2	1
33	нужно помнить что	2	1
34	но и в	2	1
35	я имеют в	1	1
36	но в этом	1	1
37	в собственном смысле	1	1
38	и если бы	2	1
39	идет именно о	1	1
40	вместе с тем	1	1
41	хотя бы и	1	1
42	так же как	1	1
43	заключается в том	2	1
44	другой стороны есть	1	1
45	можно рассматривать с	1	1
46	во всяком случае	1	1
47	потому что есть	1	1
48	в каком смысле	1	1
49	то же время	7	1
50	но также и	1	1
51	само по себе	1	1
52	ни на какие	1	1
53	было бы грешно	1	1
54	в то же	7	1
55	например в области	1	1
56	с разных точек	1	1
57	именно потому что	1	1
