N	2gram	Medvedev_F_1	Poddanst
1	не только	7	17
2	и в	24	14
3	и не	20	12
4	в области	3	11
5	в этом	15	10
6	в отношении	3	10
7	но в	5	9
8	то же	10	9
9	в том	6	9
10	в пределах	6	8
11	хотя бы	5	8
12	только в	2	7
13	в то	9	7
14	же время	8	7
15	в ней	10	6
16	xix века	1	6
17	было бы	6	6
18	но и	7	6
19	в смысле	1	6
20	отношении к	2	5
21	с другой	5	5
22	может быть	14	5
23	и пр	17	5
24	не в	8	5
25	и о	1	5
26	а н	3	5
27	если бы	4	4
28	а также	1	4
29	в своем	11	4
30	и к	4	4
31	как бы	6	4
32	и если	2	4
33	гораздо большей	1	4
34	и политического	1	4
35	том что	1	4
36	не может	16	4
37	и потому	9	4
38	в котором	1	4
39	большей степени	1	4
40	по себе	5	4
41	в гораздо	1	4
42	в русской	1	4
43	что в	4	4
44	же в	3	4
45	а в	6	4
46	то что	8	4
47	и т	12	3
48	мы не	3	3
49	сводится к	3	3
50	между тем	2	3
51	это не	2	3
52	вслед за	1	3
53	экономического и	1	3
54	хотя и	1	3
55	и как	3	3
56	с одной	4	3
57	в себе	3	3
58	в нем	14	3
59	ей в	1	3
60	сами по	2	3
61	в россии	3	3
62	заключается в	1	3
63	прежде всего	22	3
64	одной стороны	4	3
65	с тем	2	3
66	и без	1	3
67	с точки	13	3
68	но не	3	3
69	она есть	2	3
70	наряду с	1	3
71	могут быть	1	3
72	т е	34	3
73	тем самым	3	3
74	исторического материализма	1	3
75	потому что	1	3
76	точки зрения	16	3
77	и это	2	2
78	отношения к	6	2
79	например в	1	2
80	в ее	8	2
81	и есть	1	2
82	в мире	4	2
83	было в	1	2
84	начала и	2	2
85	осуществляется в	1	2
86	которую мы	1	2
87	по сравнению	1	2
88	только это	1	2
89	время в	3	2
90	во всех	5	2
91	говорить о	1	2
92	если в	1	2
93	в общем	3	2
94	во всей	2	2
95	со стороны	5	2
96	из важнейших	2	2
97	отнюдь не	6	2
98	в русском	1	2
99	с этим	2	2
100	того что	5	2
101	стороны и	4	2
102	бы ни	5	2
103	думать что	3	2
104	главным образом	4	2
105	и других	3	2
106	в его	23	2
107	из них	1	2
108	в виде	1	2
109	в силу	1	2
110	и вот	2	2
111	как раз	2	2
112	по-видимому не	1	2
113	в статье	1	2
114	именно как	12	2
115	и с	8	2
116	именно в	8	2
117	и тем	1	2
118	в жизни	3	2
119	для них	1	2
120	в них	3	2
121	не было	3	2
122	а не	10	2
123	в ряду	2	2
124	должно быть	11	2
125	в эту	2	2
126	образом на	2	2
127	не столько	1	2
128	творчества и	1	2
129	друг другу	1	2
130	культуры в	1	2
131	ней не	1	2
132	не менее	11	2
133	все это	9	2
134	между прочим	1	2
135	не о	3	2
136	одна из	2	2
137	слова но	1	2
138	современной европейской	1	2
139	еще более	1	2
140	тем более	1	2
141	для нас	1	2
142	может и	2	2
143	науки они	1	2
144	в частности	4	2
145	в недрах	1	2
146	как на	4	2
147	том числе	1	2
148	в применении	2	1
149	от этой	1	1
150	также что	1	1
151	также и	1	1
152	же как	2	1
153	и через	1	1
154	происходит и	2	1
155	на основе	6	1
156	культуры и	3	1
157	по преимуществу	1	1
158	применении к	2	1
159	должна быть	7	1
160	стремиться к	1	1
161	в годы	1	1
162	на нее	2	1
163	не с	2	1
164	в и	1	1
165	особенно в	3	1
166	по природе	1	1
167	в борьбе	1	1
168	и само	1	1
169	еще в	2	1
170	что дело	1	1
171	развитие в	1	1
172	для этого	4	1
173	чем другие	1	1
174	на себя	1	1
175	с ее	7	1
176	и ее	10	1
177	мы и	1	1
178	и здесь	6	1
179	последней в	2	1
180	широкой и	1	1
181	может не	1	1
182	настоящее время	10	1
183	с разных	1	1
184	и что	2	1
185	литературы и	2	1
