N	2gram	Losev_Dial_3	Myslijsy
1	потому что	7	49
2	для нас	2	31
3	то есть	1	30
4	и в	24	24
5	может быть	13	23
6	то что	14	20
7	и не	27	19
8	в том	5	18
9	а не	26	18
10	что в	7	16
11	не только	23	15
12	по себе	20	15
13	при этом	2	13
14	в слове	3	13
15	не в	3	13
16	было бы	5	13
17	то же	6	12
18	но не	2	12
19	мы можем	1	12
20	не может	19	12
21	мы не	5	11
22	таким образом	13	11
23	вместе с	1	11
24	если бы	6	11
25	что и	6	11
26	что мы	8	11
27	только в	5	11
28	тогда как	1	10
29	в себе	2	10
30	для него	4	10
31	и проч	1	10
32	тогда когда	5	10
33	так что	8	10
34	так как	6	10
35	независимо от	1	9
36	в нем	3	9
37	вовсе не	13	9
38	то и	3	9
39	но и	9	9
40	как бы	3	9
41	точно так	2	9
42	и на	3	8
43	а только	1	8
44	в этом	8	8
45	более или	1	8
46	том что	8	8
47	или менее	1	8
48	могут быть	2	8
49	а в	2	8
50	в чем	4	7
51	во всех	1	7
52	с этим	3	7
53	как и	7	7
54	между собою	1	7
55	всяком случае	2	7
56	того как	1	7
57	или же	3	7
58	не могут	4	7
59	быть может	3	7
60	прежде всего	8	7
61	сами по	3	7
62	тем что	3	7
63	того что	12	7
64	во всяком	2	7
65	и т	24	6
66	что если	2	6
67	и как	8	6
68	тем не	10	6
69	в то	5	6
70	не имеет	11	6
71	связи с	1	6
72	есть только	12	6
73	и только	6	6
74	не можем	2	6
75	в одном	1	6
76	заметить что	1	6
77	с другой	4	6
78	не было	3	6
79	не есть	54	6
80	только как	5	6
81	все же	3	5
82	в мысли	2	5
83	на то	3	5
84	есть не	9	5
85	и уже	2	5
86	не от	1	5
87	не менее	11	5
88	по крайней	5	5
89	с ним	1	5
90	вместе и	1	5
91	так и	5	5
92	о том	6	5
93	а потому	1	5
94	крайней мере	5	5
95	тот же	1	5
96	из них	3	5
97	от того	4	5
98	в них	5	5
99	для того	3	5
100	в природе	2	5
101	что не	5	5
102	или не	5	5
103	же в	2	5
104	в которой	1	5
105	сам по	5	4
106	к другому	1	4
107	в самом	7	4
108	время как	4	4
109	еще не	2	4
110	но в	2	4
111	уже не	5	4
112	из этих	2	4
113	только один	1	4
114	и если	2	4
115	сознание и	3	4
116	внешнего мира	1	4
117	такой же	1	4
118	в котором	1	4
119	место в	1	4
120	том смысле	1	4
121	сих пор	1	4
122	стало быть	9	4
123	одном из	1	4
124	они не	2	4
125	тем самым	3	4
126	подобно тому	4	4
127	одна из	3	4
128	от их	1	4
129	должны быть	3	4
130	и сами	2	4
131	в некоторых	1	4
132	то время	4	4
133	так в	2	4
134	никогда не	7	4
135	и что	15	4
136	для самого	1	4
137	предмета и	1	4
138	что он	13	4
139	с одной	3	4
140	в других	1	4
141	до сих	1	4
142	души и	2	4
143	если не	3	4
144	тому как	4	4
145	что оно	7	4
146	от него	1	4
147	во время	1	4
148	себе не	1	4
149	в таком	14	4
150	говоря о	1	3
151	например в	2	3
152	и то	4	3
153	но тем	1	3
154	с таким	1	3
155	той же	3	3
156	есть нечто	23	3
157	но она	3	3
158	но даже	3	3
159	то это	9	3
160	же что	1	3
161	что его	5	3
162	только тогда	3	3
163	со стороны	2	3
164	в нас	1	3
165	помнить что	1	3
166	хотя и	5	3
167	что это	12	3
168	думать что	2	3
169	во многих	1	3
170	что она	9	3
171	т д	23	3
172	при виде	1	3
173	не как	1	3
174	и может	1	3
175	его не	2	3
176	его в	1	3
177	это не	4	3
178	и тем	2	3
179	далеко не	1	3
180	и тогда	5	3
181	в этих	1	3
182	и при	1	3
183	ни было	1	3
184	быть не	2	3
185	того кто	3	3
186	бы быть	2	3
187	в ней	2	3
188	и притом	5	3
189	на него	1	3
190	в каком	3	3
191	только от	2	3
192	оно не	6	3
193	если мы	1	3
194	как не	2	3
195	не с	1	3
196	мог бы	1	3
197	в словах	1	3
198	и вообще	2	3
199	на вопрос	1	3
200	не имеем	1	3
201	и во	2	3
202	как например	2	3
203	и у	2	3
204	одно из	5	3
205	не так	1	3
206	от другого	1	3
207	входят в	1	3
208	это будет	4	3
209	что на	1	3
210	на ней	1	3
211	что для	5	3
212	одной стороны	3	3
213	есть явление	5	3
214	в самой	1	3
215	мы говорим	2	3
216	слова и	1	3
217	но это	5	3
218	и для	2	3
219	и от	3	3
220	то не	1	3
221	и все	6	3
222	или нет	5	3
223	только что	4	3
224	все что	3	3
225	как на	5	3
226	принять за	1	2
227	таком случае	10	2
228	самом деле	6	2
229	на самом	1	2
230	и есть	16	2
231	чего не	4	2
232	не имеют	2	2
233	отношения к	1	2
234	этот взгляд	1	2
235	предмета в	1	2
236	вопрос о	5	2
237	явление не	1	2
238	с его	2	2
239	то мы	1	2
240	они имеют	1	2
241	не то	1	2
242	только потому	2	2
243	в общем	1	2
244	за пределы	3	2
245	сама по	4	2
246	его на	2	2
247	бы при	1	2
248	это определение	1	2
249	все эти	3	2
250	но на	2	2
251	кажется не	1	2
252	перестает быть	2	2
253	всех этих	1	2
254	одной и	1	2
255	что ни	1	2
256	и по	2	2
257	на этом	2	2
258	одно и	5	2
259	но все	1	2
260	факт что	1	2
261	этого не	2	2
