N	3gram	Nazirov_Tv_1	Problema
1	в настоящее время	1	16
2	о том что	5	14
3	тем не менее	2	12
4	в конце концов	1	7
5	по крайней мере	2	6
6	и т д	1	6
7	в данном случае	2	5
8	с одной стороны	1	5
9	в связи с	1	5
10	с другой стороны	1	5
11	то же самое	1	5
12	до сих пор	1	4
13	же самое время	1	4
14	не был бы	1	4
15	в то же	13	4
16	в том что	6	4
17	что иное как	1	3
18	то есть не	2	3
19	хотя бы и	1	3
20	только то что	1	3
21	точно так же	2	3
22	и того что	1	3
23	в этой области	1	3
24	это значит что	1	3
25	можно сказать что	2	3
26	не что иное	1	3
27	том что в	2	2
28	на самом деле	2	2
29	с самого начала	3	2
30	сами по себе	1	2
31	бы то ни	1	2
32	а может быть	1	2
33	не только в	2	2
34	имеем в виду	1	2
35	заключается в том	1	2
36	на том или	1	2
37	не может не	1	1
38	такое представление о	1	1
39	между прочим в	1	1
40	но только не	1	1
41	значит что он	1	1
42	нам кажется что	1	1
43	потому что не	1	1
44	он не может	1	1
45	может быть определен	1	1
46	о чем и	1	1
47	все тот же	1	1
48	наталкивают нас на	1	1
49	с большим трудом	1	1
50	на самом же	1	1
51	то что в	1	1
52	но это не	1	1
53	что все это	3	1
54	то и другое	1	1
55	вместе с тем	1	1
56	и далеко не	1	1
57	не то что	1	1
58	и тем не	1	1
59	и в то	2	1
60	то ни было	1	1
61	это прежде всего	1	1
62	что может быть	1	1
63	он перестает быть	1	1
64	на первый взгляд	1	1
65	как один из	1	1
66	в известном смысле	1	1
67	как и сам	1	1
68	все более и	1	1
69	самом же деле	1	1
70	так и от	1	1
71	говорить о том	1	1
72	но даже в	1	1
73	более и более	1	1
74	ту или иную	1	1
75	мы имеем в	1	1
76	и не имеют	1	1
77	это вовсе не	1	1
78	по нашему мнению	5	1
79	и отношений между	1	1
