N	2gram	Nazirov_Tr_1	StatiiOP
1	бориса годунова	1	34
2	и в	18	25
3	в этом	9	24
4	в том	2	20
5	что он	6	19
6	может быть	7	19
7	тем что	2	19
8	что в	4	19
9	что это	5	16
10	том что	4	15
11	в этой	4	14
12	не только	8	12
13	в его	3	12
14	то что	4	12
15	так что	2	11
16	таким образом	1	10
17	прежде всего	4	10
18	и не	7	10
19	у него	6	9
20	но и	4	9
21	и т	1	8
22	все это	4	8
23	о том	2	8
24	это было	1	8
25	т е	1	8
26	это не	5	7
27	в то	5	7
28	не может	5	7
29	в сцене	1	6
30	и на	7	6
31	как в	3	6
32	пушкина и	1	6
33	не в	2	6
34	в трагедии	1	6
35	между тем	1	6
36	только в	1	6
37	т п	1	6
38	в конце	3	6
39	в области	1	6
40	в россии	1	6
41	как бы	7	6
42	в году	9	5
43	то же	5	5
44	говорит что	2	5
45	но в	6	5
46	он не	2	5
47	об этом	4	5
48	говорил что	1	5
49	ни в	2	5
50	в котором	1	5
51	потому что	2	5
52	и это	2	5
53	так и	5	5
54	в них	1	5
55	отметить что	1	5
56	а не	1	5
57	того что	1	5
58	например в	1	4
59	что эти	2	4
60	в которой	1	4
61	в чем	1	4
62	в общем	1	4
63	в центре	1	4
64	все же	5	4
65	не было	1	4
66	то в	1	4
67	в целом	4	4
68	лишь в	1	4
69	с тем	2	4
70	как и	5	4
71	а как	2	4
72	ничего не	2	4
73	к ней	1	4
74	в ней	1	4
75	и с	7	4
76	а также	1	4
77	к нему	3	4
78	мы видим	1	4
79	и др	1	4
80	всяком случае	1	4
81	отношение к	2	4
82	в особенности	1	4
83	xix века	1	4
84	но это	4	4
85	в своей	1	4
86	это в	1	4
87	во всяком	1	4
88	я и	1	3
89	по мнению	2	3
90	подчеркнуть что	1	3
91	ему хотелось	1	3
92	он был	2	3
93	с его	2	3
94	своего рода	3	3
95	свою трагедию	1	3
96	и наконец	1	3
97	все эти	3	3
98	и если	1	3
99	на этом	1	3
100	от нее	1	3
101	что этот	2	3
102	в другом	1	3
103	годунова и	1	3
104	нет в	2	3
105	несмотря на	5	3
106	что я	4	3
107	но он	1	3
108	тому что	1	3
109	же время	6	3
110	связи с	1	3
111	и далее	1	3
112	и здесь	2	3
113	что все	2	3
114	на вопрос	1	3
115	и что	4	3
116	у которого	1	3
117	и его	6	3
118	вот что	1	3
119	уже не	2	3
120	уже в	3	3
121	не так	2	3
122	для него	3	3
123	не является	1	3
124	писателя и	2	3
125	до конца	2	3
126	в рассказе	2	3
127	с которым	1	3
128	были написаны	1	3
129	его как	1	3
130	в связи	1	3
131	с этой	1	3
132	конце концов	1	3
133	в виде	2	3
134	xvii века	1	2
135	самом деле	1	2
136	к своей	1	2
137	и за	2	2
138	той же	1	2
139	не был	2	2
140	во всех	1	2
141	но как	1	2
142	не просто	2	2
143	большое значение	1	2
144	что именно	1	2
145	не удалась	1	2
146	в самом	2	2
147	так сказать	1	2
148	он считает	1	2
149	не как	1	2
150	и по	1	2
151	но все	2	2
152	а по	1	2
153	то есть	3	2
154	заключается в	1	2
155	известно что	1	2
156	ни разу	1	2
157	он и	2	2
158	в развитии	1	2
159	к князю	1	2
160	не мог	2	2
161	в такой	1	2
162	эта тема	1	2
163	стихах и	1	2
164	не столько	1	2
165	что нужно	1	2
166	взгляд на	1	2
167	тем не	1	2
168	смертной казни	1	2
169	не менее	1	2
170	но они	2	2
171	что эта	1	2
172	самого начала	1	2
173	считает что	1	2
174	на котором	1	2
175	одна из	2	2
176	не имеет	2	2
177	никогда не	2	2
178	и всегда	1	2
179	в русском	2	2
180	х годов	1	2
181	этот образ	4	2
182	могут быть	1	2
183	к тому	2	2
184	утверждать что	1	2
185	как мы	1	2
186	с ее	3	2
187	в виду	1	2
188	с самого	1	2
189	на нее	1	2
190	во многом	1	2
191	с одной	1	2
192	самозванца в	1	2
193	в форме	1	2
