N	2gram	Bakhtin_Fr_4	DiskursI
1	в себе	3	19
2	при этом	3	17
3	в этом	11	16
4	как и	12	16
5	и в	29	16
6	в качестве	3	16
7	может быть	2	16
8	и не	16	15
9	отличие от	1	12
10	то есть	21	12
11	в отличие	1	12
12	и т.п	12	12
13	в частности	3	12
14	но в	12	11
15	в мире	1	11
16	но и	9	11
17	со стороны	2	10
18	не только	10	10
19	том что	3	10
20	своего рода	6	10
21	так и	11	9
22	не может	2	9
23	как в	2	8
24	в том	7	8
25	а также	2	8
26	но не	2	7
27	в данном	1	7
28	в нем	5	7
29	ни в	2	7
30	прежде всего	8	7
31	то же	10	6
32	еще не	4	6
33	с его	4	6
34	данном случае	1	6
35	себя в	2	6
36	все же	3	6
37	в своей	5	6
38	по своей	3	6
39	в своих	2	6
40	и на	11	5
41	в своем	3	5
42	в противоположность	1	5
43	в то	10	5
44	нового времени	2	5
45	с другой	4	5
46	же время	8	5
47	что в	1	5
48	для него	1	5
49	то что	4	5
50	а с	1	5
51	и то	2	4
52	в этой	13	4
53	роль в	3	4
54	в основе	2	4
55	потому что	1	4
56	этом отношении	1	4
57	о том	2	4
58	с одной	2	4
59	в одном	1	4
60	одной стороны	2	4
61	как бы	8	4
62	мира и	4	4
63	точки зрения	4	4
64	к его	1	4
65	к этому	2	4
66	также и	4	3
67	в строгом	1	3
68	и ее	1	3
69	принадлежит к	1	3
70	перед нами	4	3
71	и как	3	3
72	и наконец	2	3
73	все эти	9	3
74	всей своей	1	3
75	он не	3	3
76	его в	9	3
77	это не	5	3
78	соответствии с	2	3
79	одного и	1	3
80	в этих	2	3
81	в котором	2	3
82	не столько	2	3
83	еще в	1	3
84	в его	8	3
85	но она	2	3
86	только в	2	3
87	и его	8	3
88	уже не	2	3
89	из них	6	3
90	в них	7	3
91	здесь в	6	3
92	мира в	1	3
93	ее становления	1	3
94	было в	2	3
95	как будто	2	3
96	можно сказать	1	3
97	но это	4	3
98	и того	1	3
99	в пределе	3	3
100	и все	13	3
101	жизни в	2	3
102	жизни и	4	3
103	как на	2	3
104	же как	1	2
105	того же	5	2
106	и это	2	2
107	перед лицом	2	2
108	по преимуществу	3	2
109	той же	3	2
110	хвалы и	1	2
111	место в	2	2
112	говорить о	1	2
113	жизни как	1	2
114	в ней	3	2
115	всякий раз	1	2
116	отношение к	1	2
117	тут же	1	2
118	первый взгляд	1	2
119	стороны и	1	2
120	в целом	1	2
121	рассказ о	1	2
122	не более	1	2
123	должна быть	1	2
124	с таким	2	2
125	этого жанра	1	2
126	подобно тому	3	2
127	одно и	1	2
128	и с	9	2
129	этой традиции	3	2
130	входит в	1	2
131	такой же	3	2
132	все это	4	2
133	на первый	2	2
134	как все	1	2
135	с точки	2	2
136	их в	2	2
137	в обоих	1	2
138	непосредственно и	1	2
139	дело в	2	2
140	между жизнью	1	2
141	чем не	1	2
142	никогда не	2	2
143	не столь	1	2
144	что на	1	2
145	и смертью	1	2
146	жизнью и	1	2
147	с их	1	2
148	с ее	3	2
149	здесь не	3	2
150	в себя	2	2
151	природе своей	1	2
152	времени и	2	2
153	в результате	4	2
154	но здесь	2	2
155	там же	3	2
156	что и	1	2
157	и одновременно	4	2
158	которая в	1	2
159	есть в	2	2
160	в большинстве	6	2
161	к своим	1	2
162	момент в	1	2
163	именно в	2	2
164	далеко не	5	2
165	в соответствии	1	2
166	не на	2	2
167	о чем	2	2
168	в той	2	2
169	тому как	3	2
170	и для	2	2
171	по природе	1	2
172	интерес к	1	2
173	на языке	3	2
174	на роль	1	2
175	другой стороны	3	2
176	что он	4	2
177	это в	2	2
178	себя как	1	1
179	как нечто	1	1
180	жизни где	1	1
181	самом деле	1	1
182	это и	5	1
183	это игра	1	1
184	и есть	4	1
185	в году	3	1
186	мы не	1	1
187	начало в	1	1
188	не была	1	1
189	он как	1	1
190	в каждый	1	1
191	ними здесь	1	1
192	в сущности	6	1
193	как было	1	1
194	они были	3	1
195	но даже	1	1
196	ему в	1	1
197	и со	2	1
198	жизни это	1	1
199	это время	1	1
200	собой в	1	1
201	он был	2	1
202	он сам	1	1
203	людей в	1	1
204	на их	2	1
205	в чем	3	1
206	профанация священного	1	1
207	в ее	3	1
208	если в	2	1
209	эта особенность	1	1
210	конечном счете	1	1
211	за пределы	1	1
212	связи и	2	1
213	вследствие чего	2	1
214	в одной	2	1
215	почему и	1	1
216	и выражения	1	1
217	вот как	2	1
218	хотя и	2	1
219	в этот	1	1
220	то в	3	1
221	в самом	1	1
222	истины и	1	1
223	в которой	4	1
224	в нашем	4	1
225	бы не	2	1
226	поэтому и	5	1
