N	2gram	Medvedev_F_2	TeoriaLi
1	не только	9	18
2	в качестве	2	17
3	и не	20	16
4	а в	6	14
5	и в	38	13
6	состоит в	2	13
7	так и	8	12
8	может быть	23	12
9	при этом	9	11
10	в этом	27	11
11	в том	11	11
12	но не	2	10
13	и его	21	10
14	а не	6	10
15	то же	6	9
16	в его	10	9
17	сводится к	5	8
18	что в	7	8
19	но и	13	8
20	такого рода	1	8
21	произведение искусства	2	8
22	в себе	1	7
23	точки зрения	8	7
24	как это	2	7
25	отличие от	2	7
26	в то	5	7
27	во второй	2	7
28	в отличие	2	7
29	только в	6	7
30	том что	2	7
31	в данном	1	7
32	же время	5	6
33	место в	3	6
34	лишь в	7	6
35	с его	11	6
36	в первой	1	6
37	но в	4	6
38	как бы	4	6
39	а а	1	5
40	данном случае	1	5
41	как и	9	5
42	в нем	13	5
43	не в	15	5
44	тем самым	2	5
45	того или	4	5
46	между ними	2	5
47	в принципе	1	5
48	в искусстве	2	5
49	в ее	2	5
50	между тем	2	5
51	уже не	7	5
52	в самом	16	5
53	он не	6	5
54	с другой	3	5
55	или иного	5	5
56	как в	4	5
57	роли в	1	5
58	в пределах	12	5
59	мы имеем	1	5
60	в своем	1	5
61	приводит к	2	4
62	в форме	1	4
63	литературного произведения	3	4
64	говорить о	5	4
65	и а	1	4
66	можно сказать	1	4
67	но он	1	4
68	высказывания в	1	4
69	читателя в	1	4
70	не менее	1	4
71	в своей	7	4
72	в их	6	4
73	отношение к	2	4
74	хотя и	3	4
75	то что	6	4
76	ни в	2	4
77	сказать что	2	4
78	в слове	5	4
79	не столько	4	4
80	или менее	1	4
81	не может	14	4
82	более или	1	4
83	по преимуществу	5	4
84	художественного восприятия	1	4
85	и ее	6	4
86	в свою	1	4
87	все эти	6	3
88	к которому	1	3
89	в другом	1	3
90	или в	3	3
91	прежде всего	15	3
92	самим собой	1	3
93	таким образом	20	3
94	в этой	6	3
95	в произведении	1	3
96	как раз	6	3
97	а только	2	3
98	так в	3	3
99	в художественном	2	3
100	в нашем	1	3
101	его в	3	3
102	по мысли	1	3
103	этом смысле	2	3
104	например в	3	3
105	для него	7	3
106	того что	3	3
107	потому что	2	3
108	литературных произведений	2	3
109	входит в	4	3
110	в этих	2	3
111	и сам	1	3
112	и к	4	3
113	между двумя	2	3
114	в порядке	1	3
115	на почве	9	3
116	иного рода	1	3
117	свою очередь	1	3
118	со своей	2	3
119	тем не	1	3
120	в основе	5	3
121	другой стороны	4	3
122	слова в	3	3
123	художественного целого	1	3
124	речи и	3	3
125	этого слова	1	3
126	именно в	5	3
127	в сторону	4	3
128	художественного произведения	6	3
129	совпадает с	2	3
130	никогда не	2	3
131	он должен	1	3
132	и др	3	3
133	и то	2	3
134	перед нами	2	3
135	и по	2	3
136	той или	1	3
137	что каждый	1	2
138	в которой	2	2
139	и здесь	3	2
140	но она	1	2
141	на деле	1	2
142	в литературе	1	2
143	с читателем	1	2
144	одной из	1	2
145	того же	1	2
146	что они	4	2
147	могла бы	1	2
148	и тем	2	2
149	так же	1	2
150	слова как	2	2
151	и для	5	2
152	мышления и	1	2
153	и больше	1	2
154	формы высказывания	1	2
155	здесь не	4	2
156	чем это	1	2
157	форм высказывания	1	2
158	вовсе не	11	2
159	без исключения	2	2
160	к нему	3	2
161	в большинстве	4	2
162	даже в	2	2
163	к действительности	3	2
164	вследствие этой	1	2
165	в конце	2	2
166	во всех	5	2
167	по себе	7	2
168	а на	1	2
169	а именно	2	2
170	вместе с	6	2
171	самим собою	1	2
172	и некоторые	1	2
173	тем в	1	2
174	и притом	1	2
175	но как	2	2
176	к тому	4	2
177	это не	2	2
178	и о	2	2
179	за пределы	1	2
180	с точки	7	2
181	сама по	1	2
182	противном случае	1	2
183	в художественной	1	2
184	в той	2	2
185	это и	5	2
186	в целом	3	2
187	конструктивная роль	1	2
188	к его	2	2
189	не на	1	2
190	в чем	2	2
191	мы в	2	2
192	имеет место	1	2
193	но на	1	2
194	автора и	1	2
