N	3gram	Medvedev_U_1	formyVre
1	не только в	1	5
2	то же время	3	4
3	в то же	3	4
4	друг с другом	1	4
5	имеем в виду	1	3
6	и в то	1	3
7	и прежде всего	1	3
8	в том что	2	3
9	равно как и	1	2
10	то же самое	2	2
11	в этом случае	1	2
12	на первый план	1	2
13	до сих пор	2	2
14	не было бы	1	2
15	весь и сплошь	1	2
16	то что было	1	2
17	в этом отношении	2	2
18	мы имеем в	1	2
19	так много в	1	1
20	другой стороны в	1	1
21	в частности с	1	1
22	и не только	1	1
23	должно быть по	1	1
24	в конце концов	2	1
25	и у других	1	1
26	конечно не в	1	1
27	только в этом	1	1
28	в данном случае	1	1
29	с одной стороны	1	1
30	на первый взгляд	1	1
31	в значительной мере	1	1
32	и в их	1	1
33	с другой стороны	3	1
34	не может быть	4	1
35	в широком смысле	1	1
36	но в то	1	1
37	общего и основного	1	1
38	с тем что	1	1
39	можно сказать что	1	1
40	которых так много	1	1
41	и все они	1	1
42	вот почему в	1	1
43	в точном смысле	1	1
