N	2gram	Bakhtin_sl_2	VelikijI
1	и не	22	20
2	и в	39	16
3	так как	4	9
4	то что	2	9
5	еще не	7	8
6	в истории	11	8
7	а не	14	7
8	и потому	7	7
9	человека и	3	6
10	но и	21	5
11	того что	1	5
12	хотя и	2	5
13	в мире	1	5
14	все это	16	5
15	как бы	7	5
16	и есть	1	4
17	говорить о	3	4
18	в его	7	4
19	в этом	16	4
20	что он	2	4
21	в нем	19	4
22	так и	15	4
23	что не	1	4
24	как и	6	4
25	в ней	3	4
26	в силах	1	4
27	и все	5	4
28	все что	2	4
29	и что	1	3
30	должна быть	3	3
31	нас и	1	3
32	хотя бы	3	3
33	как не	1	3
34	лишь в	3	3
35	в чем	3	3
36	с его	7	3
37	во всех	12	3
38	что и	3	3
39	в том	5	3
40	но в	6	3
41	бы и	3	3
42	все эти	6	3
43	его во	1	3
44	за ним	1	3
45	в конце	1	3
46	в своей	1	3
47	ни в	4	3
48	в них	6	3
49	не было	2	3
50	должно быть	1	3
51	в этих	7	3
52	не в	9	3
53	но это	3	3
54	никогда не	7	3
55	их от	1	3
56	превращается в	1	3
57	и для	5	3
58	жизни и	6	3
59	что в	3	3
60	людей в	1	3
61	оно не	8	3
62	и это	1	2
63	нем нет	1	2
64	того чтобы	2	2
65	но мы	2	2
66	и сам	1	2
67	и т	35	2
68	и за	1	2
69	его не	4	2
70	мы не	2	2
71	свободной и	1	2
72	в последнем	1	2
73	с ним	7	2
74	освобождения от	1	2
75	между тем	3	2
76	ивана карамазова	1	2
77	от этих	1	2
78	не с	3	2
79	человека как	1	2
80	материалом для	1	2
81	нас за	1	2
82	только в	5	2
83	в себя	2	2
84	конечно не	5	2
85	уже не	5	2
86	не только	24	2
87	его и	2	2
88	для него	7	2
89	в прошлом	2	2
90	и никогда	1	2
91	тем что	1	2
92	который тоже	1	2
93	на том	1	2
94	мы слышим	1	2
95	это не	5	2
96	т д	2	2
97	прежде всего	8	2
98	соединение в	1	2
99	все равно	1	2
100	один из	5	2
101	мира в	1	2
102	я говорю	1	2
103	не могут	5	2
104	да и	1	2
105	одна из	4	2
106	том что	5	2
107	для нас	5	2
108	от него	5	2
109	в форме	2	2
110	но теперь	1	2
111	людей и	2	2
112	а в	4	2
113	но не	6	2
114	в духе	1	2
115	могут быть	7	2
116	во всяком	3	2
117	всегда в	1	1
118	глубокие и	1	1
119	от этой	1	1
120	совсем как	1	1
121	эта идея	2	1
122	речь идет	1	1
123	как мы	7	1
124	исторические силы	2	1
125	в виду	1	1
126	пусть не	1	1
127	и говорит	1	1
128	и до	1	1
129	роль в	2	1
130	и самое	1	1
131	значение в	2	1
132	на новый	1	1
133	если они	1	1
134	которое может	1	1
135	то же	4	1
136	и могут	1	1
137	и которые	1	1
138	игру с	1	1
139	в результате	2	1
140	что уже	1	1
141	не была	3	1
142	для раскрытия	1	1
143	нас это	1	1
144	но может	1	1
145	никогда и	1	1
146	и ее	1	1
147	свой предмет	1	1
148	не был	2	1
149	зависимости от	4	1
150	в их	2	1
151	и на	4	1
152	людей как	1	1
153	из образов	1	1
154	конечно это	1	1
155	и освобождения	1	1
156	что оно	4	1
157	к нему	3	1
158	власти одного	1	1
159	своим предметом	2	1
160	но как	2	1
161	авторитета и	1	1
162	менее всего	2	1
163	в новом	2	1
164	не просто	1	1
165	и ложь	1	1
166	своим словом	3	1
167	его на	1	1
168	как в	13	1
169	и мир	4	1
170	людей с	2	1
171	своей и	1	1
172	в своем	6	1
173	все же	6	1
174	уже сказано	2	1
175	в двух	1	1
176	могли бы	1	1
177	с ними	5	1
178	мы увидим	2	1
179	и свою	1	1
180	все новые	1	1
181	это очень	2	1
182	в самом	1	1
183	в целом	1	1
184	их не	1	1
185	сущности и	1	1
186	в этой	1	1
187	же и	2	1
188	человеке и	3	1
189	своей целью	1	1
190	уже в	2	1
191	от необходимости	1	1
192	в виде	2	1
193	но прежде	2	1
194	в исторических	1	1
195	не преодолевается	1	1
196	слова не	4	1
197	или даже	3	1
198	лишено всякого	1	1
199	вовсе не	10	1
200	не для	1	1
201	отношение к	4	1
202	у него	3	1
203	и по	1	1
204	на этом	3	1
205	человека в	5	1
206	лишь к	1	1
207	для того	2	1
208	в едином	1	1
209	всех формах	1	1
210	конечно в	2	1
211	не были	1	1
212	и с	9	1
213	а его	1	1
214	как мог	1	1
215	себя не	1	1
216	человеком как	1	1
217	свободного и	1	1
218	с другой	5	1
219	художественный образ	4	1
220	есть не	1	1
221	миру и	1	1
222	и тем	1	1
223	души и	1	1
224	том пути	1	1
225	говорит о	1	1
226	в общественной	1	1
227	них и	2	1
228	формах в	2	1
229	не всегда	2	1
230	и уже	1	1
231	с которым	2	1
232	в речах	2	1
233	более глубокое	1	1
234	в одно	2	1
235	и авторитет	1	1
236	действии и	1	1
237	вместе с	2	1
238	их сознания	1	1
239	как это	3	1
240	то есть	26	1
241	мира вне	1	1
242	он говорит	1	1
243	если оно	2	1
244	ведет к	1	1
245	в одном	2	1
246	если нет	1	1
247	мира с	1	1
248	и всех	1	1
249	этого слова	1	1
250	освободиться от	1	1
251	на пути	1	1
252	и нет	2	1
253	и сказал	1	1
