N	2gram	Propp_Russ_1	Narrotol
1	не только	22	32
2	может быть	8	25
3	но и	16	23
4	в качестве	3	21
5	и не	6	20
6	то есть	3	19
7	и в	36	19
8	в том	17	18
9	в этом	12	17
10	в тексте	1	16
11	в частности	2	14
12	том что	19	14
13	состоит в	8	13
14	представляет собой	4	12
15	тогда как	2	12
16	своего рода	3	12
17	а не	2	12
18	то что	6	11
19	а в	9	11
20	точки зрения	3	10
21	не может	4	10
22	при этом	6	9
23	так и	7	9
24	в его	2	9
25	в себе	1	8
26	не является	1	8
27	еще не	4	7
28	по отношению	1	7
29	как в	5	7
30	все же	5	7
31	в случае	1	7
32	как и	10	7
33	к тому	4	7
34	а также	3	7
35	с его	1	6
36	но не	2	6
37	точка зрения	1	6
38	в той	1	6
39	о том	8	6
40	что он	1	6
41	как это	8	6
42	отношению к	1	6
43	но в	2	6
44	между двумя	2	5
45	не все	1	5
46	отличие от	1	5
47	отнюдь не	2	5
48	и как	2	5
49	уже не	6	5
50	в этой	1	5
51	тому же	1	5
52	далеко не	3	5
53	в отличие	1	5
54	в основе	1	5
55	и его	1	5
56	в детстве	1	5
57	к нему	1	5
58	нуждается в	1	5
59	в форме	1	5
60	в данном	1	5
61	можно сказать	1	5
62	переход от	2	4
63	данном случае	1	4
64	то же	3	4
65	из которых	1	4
66	как правило	3	4
67	перед нами	1	4
68	в нем	2	4
69	в силу	2	4
70	но все	3	4
71	же не	2	4
72	и с	2	4
73	было бы	1	4
74	и тем	1	4
75	точку зрения	1	4
76	связи с	4	4
77	имеет место	2	4
78	не столько	1	4
79	те же	1	4
80	во втором	1	4
81	только в	4	4
82	у него	2	4
83	в особенности	2	4
84	что не	1	4
85	если не	1	4
86	как бы	5	4
87	же в	1	4
88	сказать что	1	4
89	в первом	1	3
90	же как	1	3
91	жизни как	1	3
92	и он	1	3
93	в ней	2	3
94	и на	10	3
95	значении этого	1	3
96	если в	3	3
97	что они	7	3
98	хотя и	2	3
99	когда он	2	3
100	что это	3	3
101	уже в	1	3
102	из этих	4	3
103	он не	1	3
104	в третьем	1	3
105	который по	1	3
106	ни в	1	3
107	себя внимание	1	3
108	тем не	3	3
109	не менее	3	3
110	в то	1	3
111	тем что	4	3
112	одна из	4	3
113	на себя	2	3
114	обращает на	1	3
115	этом отношении	1	3
116	могут быть	2	3
117	как мы	10	3
118	свою очередь	2	3
119	на том	1	3
120	не с	3	3
121	между тем	7	3
122	один из	8	3
123	из них	8	3
124	в прошлом	2	3
125	не о	1	3
126	в свою	3	3
127	а с	4	3
128	истории в	1	3
129	на будущее	1	3
130	как будто	5	3
131	что в	19	3
132	будто бы	6	3
133	жизни и	1	3
134	как известно	2	2
135	например в	2	2
136	таком случае	1	2
137	и потому	2	2
138	самом деле	1	2
139	к другому	2	2
140	и до	2	2
141	должна быть	1	2
142	который в	1	2
143	мы имеем	4	2
144	говорить о	1	2
145	ему в	1	2
146	между собой	2	2
147	иное как	2	2
148	не отличается	1	2
149	другой день	1	2
150	независимо от	2	2
151	что именно	2	2
152	в своем	3	2
153	что касается	1	2
154	что по	4	2
155	все эти	2	2
156	всей своей	1	2
157	смысла но	1	2
158	та же	2	2
159	себя и	2	2
160	не как	1	2
161	собой не	1	2
162	подобно тому	1	2
163	его в	1	2
164	от одного	1	2
165	это не	10	2
166	несмотря на	3	2
167	год а	1	2
168	с точки	3	2
169	при всех	1	2
170	вплоть до	4	2
171	а иногда	4	2
172	она не	2	2
173	что иное	2	2
174	не могло	1	2
175	не имеет	6	2
176	ничего не	3	2
177	что на	4	2
178	следует признать	1	2
179	оно не	1	2
180	приходит к	1	2
181	на другой	1	2
182	в собственном	1	2
183	в пределах	1	2
184	приводит к	3	2
185	на свой	1	2
186	что у	2	2
187	можно было	1	2
188	или в	2	2
189	было в	1	2
190	во второй	1	2
191	быть может	1	2
192	во всей	1	2
193	этом ряду	1	2
194	по в	1	2
195	он уже	1	2
196	и ее	1	2
197	есть в	1	2
198	каждый из	1	2
199	одно из	5	2
200	не случайно	2	2
201	смерти и	1	2
202	представляют собой	7	2
203	после смерти	1	2
204	к которому	1	2
205	по всей	1	2
206	и др	4	2
207	говорит о	1	2
208	не было	2	2
209	не на	2	2
210	его как	2	2
211	точек зрения	1	2
212	наконец в	1	2
213	его по	1	2
214	о чем	3	2
215	первые два	1	2
216	не всегда	1	2
217	совершенно очевидно	1	2
218	в область	1	2
219	наряду с	1	2
220	тому как	1	2
221	по существу	4	2
222	исходя из	1	2
223	только о	1	2
224	что мы	1	2
225	и для	2	2
226	в связи	4	2
227	в двух	1	2
228	и все	1	2
229	которым можно	1	2
230	это все	1	2
231	между ними	1	2
232	в иной	1	2
233	не что	2	2
234	этого слова	3	2
235	в какой	2	2
236	так же	3	2
237	в таком	1	2
238	точно так	1	2
239	в роли	1	2
240	они не	1	2
241	которого было	1	1
242	также и	1	1
243	к их	1	1
244	переходит к	1	1
245	того же	1	1
246	за городом	1	1
247	в разные	2	1
248	на самом	2	1
249	за все	2	1
250	характерное для	1	1
251	на две	1	1
252	видеть в	1	1
253	с таким	1	1
254	в году	2	1
255	по его	1	1
256	и могут	1	1
257	смерти как	1	1
258	в первый	4	1
259	этом не	1	1
260	но она	2	1
261	в целом	2	1
262	которое в	1	1
263	не знают	1	1
264	как не	2	1
265	а далее	1	1
266	и определяется	1	1
267	в различных	2	1
268	в чем	1	1
269	во всех	4	1
270	по своему	1	1
271	изучались в	1	1
272	иметь в	1	1
273	совсем не	1	1
274	и который	1	1
275	только потому	1	1
276	для обозначения	2	1
277	с совершенно	1	1
278	иногда и	5	1
279	может считаться	1	1
280	а третий	1	1
281	в общую	1	1
282	в различные	1	1
283	обращения к	1	1
284	и наконец	1	1
285	и к	3	1
286	от этого	1	1
287	поэтому и	1	1
288	но смысл	1	1
289	формы их	1	1
290	даже если	1	1
291	из жизни	1	1
292	идет не	1	1
293	не оставляет	1	1
294	сливаются в	1	1
295	забыт и	1	1
296	дает следующую	1	1
297	по происхождению	3	1
298	по-видимому не	1	1
299	однако он	1	1
300	первые три	1	1
301	том чтобы	1	1
302	его от	2	1
303	и по	8	1
304	на этом	3	1
305	встречаются в	2	1
306	не бывает	1	1
307	таким образом	6	1
308	и за	1	1
309	здесь мы	1	1
310	в совершенно	1	1
311	об этом	9	1
312	мы уже	1	1
313	входит в	4	1
314	после обеда	1	1
315	должен был	1	1
316	солнце и	1	1
317	в них	6	1
318	по домам	3	1
319	также не	1	1
320	выступать в	1	1
321	жизни то	1	1
322	солнца для	1	1
323	он и	1	1
324	мы видели	1	1
325	оно имеет	1	1
326	мы не	6	1
327	в развитии	1	1
328	зато в	1	1
329	в один	2	1
330	их на	4	1
331	одного и	1	1
332	в западной	2	1
333	что если	1	1
334	таким же	3	1
335	этого момента	3	1
336	в их	4	1
337	необходимо указать	1	1
338	представляла собой	2	1
339	место в	1	1
340	на руси	3	1
341	очевидным и	1	1
342	в которых	5	1
343	как символ	2	1
344	в сказке	1	1
345	слова в	3	1
346	в россии	4	1
347	теми же	1	1
348	при рассмотрении	1	1
349	что было	1	1
350	с этого	6	1
351	и более	2	1
352	их в	3	1
353	не могли	1	1
354	том же	2	1
355	что этот	4	1
356	ни одна	1	1
357	приводят к	1	1
358	любви и	1	1
359	может служить	1	1
360	дело не	1	1
361	дело в	1	1
362	и сама	1	1
363	к изучению	1	1
364	не составляет	1	1
365	с некоторой	1	1
366	вытекает из	1	1
367	и некоторое	1	1
368	именно с	2	1
369	детей и	2	1
370	к ней	2	1
371	на природу	1	1
372	потому что	10	1
373	к этим	1	1
374	не по	1	1
375	на некоторые	1	1
376	было не	1	1
377	в области	3	1
378	ему не	1	1
379	с другом	1	1
380	от того	1	1
381	у нас	8	1
382	в четвертом	1	1
383	начиная с	3	1
384	не могут	1	1
385	чтобы сделать	1	1
386	в своего	1	1
387	для такого	1	1
388	они и	2	1
389	например на	1	1
390	существенного значения	2	1
391	в работах	1	1
392	время они	1	1
393	для себя	1	1
394	как они	2	1
395	известно в	1	1
396	у себя	1	1
397	что все	1	1
398	в виду	1	1
399	и сами	1	1
400	являют собой	1	1
401	однако эта	1	1
402	слова а	1	1
403	и сам	1	1
404	не ограничивается	1	1
405	на путь	1	1
406	тот же	1	1
407	на них	1	1
408	если бы	1	1
409	и вообще	1	1
410	с ним	2	1
411	сказывается и	1	1
412	относиться и	1	1
413	при такой	1	1
414	и здесь	2	1
415	внимание на	1	1
416	что каждый	1	1
417	на что	2	1
418	там же	5	1
419	и во	1	1
420	нас в	1	1
421	и того	1	1
422	что и	7	1
423	них в	2	1
424	или может	1	1
425	с которыми	1	1
426	того что	4	1
427	в отрыве	1	1
428	с ними	5	1
429	мы увидим	8	1
430	до нас	1	1
431	после нее	1	1
432	этот очень	1	1
433	античности и	1	1
434	быть лучше	1	1
435	и у	5	1
436	то и	1	1
437	в значении	1	1
438	иные но	1	1
439	истории как	1	1
440	в нашей	1	1
441	в начале	1	1
442	свидетельствует о	1	1
443	не дает	1	1
444	ответ на	1	1
445	его и	2	1
446	день был	1	1
447	не так	1	1
448	христа в	2	1
449	и должна	1	1
450	мы можем	2	1
451	перед ними	1	1
452	не противоречит	1	1
453	как у	1	1
454	связаны с	3	1
455	имело место	2	1
456	равной степени	2	1
457	и пр	2	1
458	церкви и	1	1
459	однако и	1	1
460	с которым	1	1
461	вспоминать о	1	1
462	дела и	1	1
463	на могилах	8	1
464	границы между	1	1
465	некоторые из	1	1
466	полагая что	3	1
467	в меру	1	1
468	надо было	1	1
469	очевидно что	1	1
470	к жизни	3	1
471	и позднейшей	1	1
472	в тех	4	1
473	западной европе	2	1
474	друг с	1	1
475	и было	1	1
476	заставить ее	1	1
477	быть не	1	1
478	в это	3	1
479	вверх и	1	1
480	как только	1	1
481	быть и	2	1
482	не будем	3	1
483	по композиции	1	1
484	вербное воскресенье	1	1
485	усопших в	1	1
486	под названием	1	1
487	случаях когда	1	1
488	хотя они	1	1
489	был его	1	1
490	времени когда	1	1
491	ничего а	1	1
492	в ноги	1	1
493	о котором	1	1
494	к зиме	1	1
495	для нас	6	1
496	это часто	1	1
497	от него	1	1
498	как уже	4	1
499	в поле	3	1
500	но это	4	1
501	в равной	2	1
502	обратиться к	1	1
503	в общем	1	1
504	не знает	1	1
505	и при	1	1
506	весенний и	1	1
507	если же	1	1
508	по поводу	1	1
509	можно назвать	1	1
