N	2gram	Losev_Dial_1	Tragedij
1	и в	18	18
2	в этом	12	9
3	не только	13	8
4	он сам	5	7
5	и с	5	7
6	может быть	17	7
7	как бы	11	7
8	и не	30	7
9	но в	6	6
10	и его	1	6
11	в образе	1	6
12	же время	4	6
13	что он	11	6
14	у него	1	6
15	то же	10	5
16	все же	5	5
17	что это	11	5
18	это не	9	5
19	как и	2	5
20	несмотря на	10	5
21	в то	6	5
22	в дальнейшем	5	5
23	так и	9	5
24	это очень	1	5
25	не может	12	5
26	а я	1	5
27	он всегда	2	4
28	я не	5	4
29	еще не	2	4
30	в себе	11	4
31	в этой	1	4
32	в нем	16	4
33	об этом	4	4
34	том что	9	4
35	что я	3	4
36	и что	12	4
37	но и	7	4
38	и даже	13	4
39	прежде всего	10	4
40	так же	4	4
41	но это	8	4
42	все это	11	4
43	что в	13	4
44	и все	3	4
45	то что	13	4
46	что образ	1	3
47	в мире	2	3
48	и он	5	3
49	отнюдь не	9	3
50	как в	2	3
51	в своем	5	3
52	и как	7	3
53	все эти	2	3
54	при этом	1	3
55	то есть	1	3
56	должно быть	3	3
57	тем самым	1	3
58	о чем	2	3
59	что вы	1	3
60	и сам	1	3
61	мог бы	2	3
62	жизнь и	3	3
63	с ним	6	3
64	к нему	8	3
65	в его	3	3
66	один из	3	3
67	уже в	1	3
68	для него	2	3
69	никто не	2	3
70	в конце	4	3
71	как будто	1	3
72	как это	4	3
73	из самых	1	2
74	и до	1	2
75	что эти	1	2
76	а как	1	2
77	никогда не	9	2
78	и то	9	2
79	не был	2	2
80	столь же	1	2
81	ее к	1	2
82	отношение к	5	2
83	не просто	7	2
84	так что	15	2
85	и я	1	2
86	перед нами	1	2
87	говорит что	3	2
88	в самом	3	2
89	бы и	2	2
90	то и	2	2
91	он не	3	2
92	что она	7	2
93	но все	3	2
94	что все	1	2
95	его в	1	2
96	дома и	1	2
97	ни в	15	2
98	нет в	1	2
99	сам говорит	1	2
100	вопрос о	2	2
101	но эта	3	2
102	не в	6	2
103	раз и	2	2
104	но они	2	2
105	я буду	1	2
106	не имеет	15	2
107	не могут	1	2
108	он и	2	2
109	к тому	4	2
110	и это	2	2
111	но при	1	2
112	в ее	1	2
113	веру в	1	2
114	еще в	1	2
115	как у	2	2
116	ничего не	17	2
117	о том	4	2
118	что и	3	2
119	в том	9	2
120	даже если	3	2
121	уже не	2	2
122	в виде	2	2
123	в душе	1	2
124	не так	1	2
125	на меня	1	2
126	чем он	2	2
127	как же	5	2
128	говорит о	5	2
129	ничем не	3	2
130	в данном	3	2
131	она должна	2	2
132	еще раз	1	2
133	это уже	1	2
134	потому что	14	2
135	в ресторане	1	2
136	состоит из	3	2
