N	4gram	Losev_Vlad_3	Psycholo
1	в то время как	2	5
2	с этой точки зрения	1	4
3	заключается в том что	1	3
4	что в этом отношении	1	2
5	он не только не	1	2
6	потому не может быть	1	2
7	с одной стороны и	2	1
8	одно и то же	1	1
9	включает в себя и	1	1
10	только в том случае	3	1
11	в том случае когда	1	1
12	точно так же и	1	1
13	не что иное как	1	1
14	еще до сих пор	1	1
15	в конце концов только	1	1
16	в последнее время к	1	1
17	в том случае если	2	1
18	те же самые три	1	1
19	и потому не может	1	1
20	и тем не менее	1	1
21	так же как и	1	1
22	все дело в том	1	1
23	дело в том что	4	1
24	совершенно так же как	2	1
25	но вместе с тем	1	1
