N	3gram	Berdyaev_N_1	Istorich
1	до сих пор	1	6
2	вместе с тем	2	5
3	в том что	1	5
4	со всех сторон	3	4
5	так же как	2	4
6	не только в	1	4
7	подобно тому как	3	3
8	можно было бы	1	3
9	с одной стороны	2	3
10	наряду с этим	1	2
11	но и в	1	2
12	с другой стороны	2	2
13	не может быть	4	2
14	о том что	1	2
15	и вместе с	1	2
16	и не могут	1	1
17	в зависимости от	1	1
18	в отличие от	1	1
19	в свою противоположность	1	1
20	эти слова в	1	1
21	но наряду с	1	1
22	что она не	1	1
23	в то что	1	1
24	в нее входит	1	1
25	в высшей степени	6	1
26	что в это	1	1
27	то что он	1	1
28	есть вместе с	1	1
29	и пр в	1	1
30	это и есть	1	1
31	это значит что	1	1
32	но я не	1	1
33	а в более	1	1
34	не хочет его	1	1
