N	3gram	Bakhtin_fo_1	Morfolog
1	в этом случае	1	9
2	в связи с	5	8
3	не может быть	3	8
4	наряду с этим	2	5
5	то перед нами	1	5
6	связи с этим	2	5
7	по отношению к	3	4
8	с точки зрения	2	4
9	а также и	2	4
10	как мы увидим	1	3
11	чаще всего это	1	3
12	не могут быть	1	3
13	но все же	2	3
14	как и в	2	3
15	или в форме	1	2
16	в тех случаях	1	2
17	и в других	4	2
18	может быть и	2	2
19	то время как	2	2
20	с одной стороны	2	2
21	при помощи которой	1	2
22	друг на друга	2	2
23	в то время	3	2
24	тех случаях когда	1	2
25	друг за другом	2	2
26	для того чтобы	5	2
27	в том что	2	2
28	но кроме того	1	1
29	и может быть	1	1
30	бросается в глаза	1	1
31	по существу и	1	1
32	а вовсе не	1	1
33	в другую страну	2	1
34	и по существу	1	1
35	ко второму типу	1	1
36	до сих пор	3	1
37	сих пор не	1	1
38	время уже не	1	1
39	по существу здесь	1	1
40	ее по существу	1	1
41	их и не	1	1
42	одно и то	3	1
43	и др здесь	1	1
44	в данном случае	1	1
45	могут быть названы	1	1
46	в первый раз	1	1
47	и то же	3	1
48	не входит в	1	1
49	с этим в	1	1
50	все более и	1	1
51	во всяком случае	1	1
52	не вызывает никаких	1	1
53	мы уже видели	1	1
54	под углом зрения	2	1
55	во всех этих	1	1
56	друг к другу	2	1
57	то же время	9	1
58	в доме не	1	1
59	мы имеем в	1	1
60	о том что	1	1
61	то что не	1	1
62	с самого начала	2	1
63	эта форма в	1	1
64	в этих условиях	1	1
65	той или иной	2	1
66	что и при	1	1
67	или во всяком	1	1
68	которые могут быть	1	1
69	в то же	6	1
70	более и более	1	1
71	здесь прежде всего	1	1
72	с этим мы	1	1
73	друг с другом	1	1
74	два или три	1	1
75	но в этом	1	1
76	здесь как и	1	1
