1	и с	2	3
2	оба они	1	2
3	ничего не	2	2
4	в этом	12	2
5	должен быть	1	2
6	что в	23	2
7	и не	16	2
8	бы что	2	2
9	он не	3	2
10	по поводу	2	1
11	и в	31	1
12	все это	8	1
13	с а	1	1
14	как о	1	1
15	если бы	6	1
16	же это	1	1
17	вплоть до	1	1
18	а в	6	1
19	этим и	1	1
20	и очень	2	1
21	психологии творчества	1	1
22	значительной мере	1	1
23	жизни и	3	1
24	для него	1	1
25	и о	4	1
26	разъясняет не	1	1
27	понятий и	2	1
28	кто иной	1	1
29	есть только	2	1
30	точно и	2	1
31	произведения и	1	1
32	бы в	2	1
33	произведения это	1	1
34	и без	2	1
35	и фантастическая	1	1
36	что при	3	1
37	другое дело	1	1
38	и еще	1	1
39	введение в	1	1
40	без этого	1	1
41	могло бы	4	1
42	и др	1	1
43	как только	1	1
44	на котором	1	1
45	и та	1	1
46	не так	1	1
47	того что	10	1
48	никогда не	8	1
49	тех же	2	1
50	иной как	1	1
51	и тот	2	1
52	так то	1	1
53	а с	1	1
54	мышь и	1	1
55	в значительной	1	1
56	не дает	2	1
57	что для	2	1
58	художественного творчества	6	1
59	с другой	5	1
60	в художественном	3	1
61	бы его	1	1
62	стало быть	2	1
63	автора и	1	1
64	так и	3	1
65	только что	2	1
66	а также	1	1
67	в основе	2	1
68	его ученики	1	1
69	того чтобы	7	1
70	а если	1	1
71	то и	2	1
72	в них	2	1
73	со всеми	4	1
74	какую роль	1	1
75	я не	1	1
76	по существу	4	1
77	и творчества	1	1
78	утверждает что	2	1
79	автор не	1	1
80	при такой	1	1
81	в целом	5	1
82	того же	2	1
83	другой стороны	5	1
84	очевидно что	6	1
85	для того	6	1
