N	3gram	Propp_Russ_2	Sovremen
1	мы не можем	2	6
2	не может быть	3	4
3	не может не	1	3
4	мы видели что	4	3
5	тем не менее	2	2
6	во всяком случае	1	2
7	в отличие от	3	2
8	в свою очередь	1	2
9	может быть и	1	2
10	поэтому мы не	1	2
11	в настоящее время	1	2
12	что иное как	2	1
13	и в этом	1	1
14	всяком случае не	1	1
15	в такой же	1	1
16	дело в том	1	1
17	так же как	4	1
18	в этом случае	6	1
19	все это пока	1	1
20	у нас на	1	1
21	по аналогии с	1	1
22	а может быть	1	1
23	не имеет с	1	1
24	xix в и	1	1
25	можно было бы	1	1
26	по его мнению	1	1
27	все же в	1	1
28	одна из них	1	1
29	может быть только	2	1
30	переносились в область	1	1
31	не что иное	2	1
32	мы уже знаем	1	1
33	в том что	18	1
34	в данном случае	6	1
35	общего не имеет	1	1
36	что она может	1	1
37	в западной европе	1	1
38	на другой день	2	1
39	в предыдущей главе	1	1
40	с одной стороны	2	1
41	в заключение нужно	1	1
42	ничего общего не	1	1
