N	2gram	Medvedev_S_1	Marksizm
1	может быть	2	26
2	и не	1	26
3	не может	1	24
4	и в	3	19
5	и его	1	19
6	таким образом	2	17
7	в этом	5	16
8	как бы	2	15
9	в процессе	1	14
10	прежде всего	1	13
11	как и	1	12
12	так и	1	11
13	связи с	1	11
14	только в	2	9
15	в результате	2	9
16	все же	1	8
17	не только	3	8
18	но и	2	8
19	то что	2	8
20	психологии и	1	7
21	все эти	1	7
22	то же	2	7
23	в каждом	1	7
24	в связи	1	7
25	отнюдь не	1	6
26	мы не	1	6
27	ничего не	1	6
28	настоящее время	1	6
29	в его	3	6
30	в том	5	6
31	с помощью	1	6
32	в смысле	2	6
33	в настоящее	1	6
34	конечно не	1	5
35	не в	3	5
36	те же	1	5
37	в конце	2	5
38	вовсе не	1	5
39	с другой	1	5
40	за пределы	2	5
41	именно в	1	5
42	и потому	1	5
43	хотя бы	1	5
44	во всяком	1	5
45	науки о	1	4
46	было бы	2	4
47	по себе	1	4
48	еще не	2	4
49	далеко не	2	4
50	как же	3	4
51	в данном	1	4
52	а в	1	4
53	между ними	1	4
54	что в	2	4
55	и есть	1	3
56	в сущности	1	3
57	по отношению	2	3
58	и как	1	3
59	его в	1	3
60	но именно	1	3
61	переходим к	1	3
62	том что	2	3
63	в своей	1	3
64	в котором	1	3
65	место в	1	3
66	в то	1	3
67	же время	1	3
68	в области	1	3
69	же самое	1	3
70	нашей работы	1	3
71	конце концов	2	3
72	между тем	1	3
73	не дает	1	3
74	в систему	1	3
75	не было	1	3
76	на этот	1	3
77	все это	7	3
78	марксизма в	1	3
79	она может	2	3
80	мы должны	1	3
81	это и	2	3
82	первый план	1	2
83	в чем	1	2
84	сама по	1	2
85	он ни	1	2
86	должна быть	2	2
87	что все	1	2
88	бы в	1	2
89	на первый	1	2
90	и более	1	2
91	тому что	1	2
92	мысли в	1	2
93	точке зрения	1	2
94	социологического метода	3	2
95	темы и	1	2
96	диалектического материализма	1	2
97	никогда не	1	2
98	между собой	1	2
99	о том	1	2
100	и только	3	2
101	что он	1	2
102	именно на	1	2
103	всяком случае	1	2
104	тем что	1	2
105	вот в	1	2
106	зависит от	1	2
107	в частности	2	2
108	благодаря этому	1	2
109	слова но	1	2
110	отношению к	2	2
111	а между	1	1
112	тем же	1	1
113	в целом	1	1
114	для наших	1	1
115	оставаясь на	1	1
116	столь же	1	1
117	чуть ли	1	1
118	не без	1	1
119	но как	1	1
120	и будет	1	1
121	и наконец	1	1
122	как то	1	1
123	что это	1	1
124	иначе и	1	1
125	в этой	1	1
126	но ведь	3	1
127	главным образом	2	1
128	и по	1	1
129	бы они	1	1
130	же не	1	1
131	на все	1	1
132	это не	1	1
133	со своими	1	1
134	между собою	1	1
135	представить себе	1	1
136	как совокупность	1	1
137	не должна	1	1
138	существуют два	1	1
139	ни были	1	1
140	марксистской литературе	1	1
141	же этот	1	1
142	же по	1	1
143	как только	2	1
144	принять его	1	1
145	от друга	1	1
146	только то	1	1
147	это вовсе	1	1
148	по природе	2	1
149	к вопросам	1	1
150	для этого	1	1
151	внутреннего единства	1	1
152	в специфическую	1	1
153	образом в	1	1
154	единства и	1	1
155	не объединены	1	1
156	и должно	1	1
157	и что	2	1
158	с социальной	1	1
159	не выходит	1	1
160	должно было	1	1
161	вопросов в	1	1
162	в лучшем	1	1
163	из современных	1	1
164	и история	1	1
165	этих вопросов	1	1
166	к субъекту	1	1
167	наше время	1	1
168	с одной	1	1
169	без этого	1	1
170	в марксистской	1	1
171	или даже	2	1
172	наука о	1	1
173	может служить	1	1
174	какой же	1	1
175	друг от	1	1
176	одной стороны	1	1
177	выходит за	1	1
178	в соответствующих	1	1
179	еще и	1	1
180	мы еще	1	1
181	в любой	1	1
182	но не	1	1
183	система не	1	1
184	нет а	1	1
185	родиться и	1	1
186	по существу	2	1
187	это значит	1	1
188	быть не	1	1
189	ли не	1	1
190	эти вопросы	1	1
191	эти два	1	1
192	остается в	1	1
193	в наше	1	1
194	и темы	1	1
195	мы переходим	1	1
196	своих мыслей	1	1
197	дает никаких	1	1
