N	2gram	Bakhtin_Pr_2	OGranits
1	и в	43	13
2	и его	8	12
3	прежде всего	10	9
4	может быть	23	8
5	не может	18	8
6	и не	29	8
7	и т.п	1	7
8	в его	10	7
9	и их	3	7
10	и пр	2	7
11	точки зрения	13	7
12	социального общения	1	6
13	стилистических приемов	1	6
14	только в	4	6
15	как бы	22	6
16	не только	11	6
17	то что	7	6
18	таким образом	5	6
19	художественного произведения	1	5
20	все же	3	5
21	и наконец	6	5
22	но ведь	5	5
23	в поэзии	2	5
24	с точки	8	5
25	в процессе	2	5
26	хотя бы	2	5
27	и эта	2	5
28	мы не	4	4
29	в поэтику	1	4
30	произведения как	2	4
31	социальной группы	1	4
32	но мы	1	4
33	слов и	5	4
34	еще и	1	4
35	на фоне	5	4
36	но в	10	4
37	вопроса о	1	4
38	мы можем	2	4
39	то же	8	4
40	лишь в	8	4
41	интонация в	1	4
42	в сознании	1	4
43	в своей	4	4
44	было бы	5	4
45	все это	5	4
46	в выборе	1	4
47	только и	1	4
48	в двух	1	4
49	материала в	1	4
50	вполне понятно	1	4
51	в каждом	11	4
52	и то	2	3
53	в ее	1	3
54	самом деле	5	3
55	в пределах	16	3
56	так и	3	3
57	при анализе	1	3
58	понятно что	1	3
59	в их	3	3
60	по отношению	5	3
61	за пределы	3	3
62	с этим	2	3
63	в себе	5	3
64	к одному	6	3
65	не как	6	3
66	в одном	12	3
67	так как	4	3
68	одно и	2	3
69	здесь мы	2	3
70	но и	14	3
71	слово в	8	3
72	как и	14	3
73	и уже	1	3
74	точку зрения	1	3
75	что же	7	3
76	не в	11	3
77	да и	5	3
78	есть прежде	1	3
79	но для	3	3
80	и для	3	3
81	никогда не	9	3
82	и все	6	3
83	монологическое высказывание	1	3
84	превращается в	2	3
85	отношению к	5	3
86	что в	4	3
87	ничего общего	1	3
88	смысле слова	1	2
89	для себя	2	2
90	и др	2	2
91	представим себе	2	2
92	в произведении	4	2
93	только его	1	2
94	конечно в	2	2
95	мы уже	3	2
96	те же	1	2
97	есть не	1	2
98	мог бы	1	2
99	не исчерпывается	1	2
100	если бы	3	2
101	и делают	1	2
102	предметного значения	1	2
103	и стиль	1	2
104	себе что	2	2
105	ее в	2	2
106	речи не	1	2
107	эта интонация	1	2
108	между тем	3	2
109	лишь путем	1	2
110	в общем	1	2
111	в языке	1	2
112	во всей	1	2
113	наконец в	3	2
114	к сожалению	1	2
115	и следовательно	3	2
116	материалом для	1	2
117	может иметь	1	2
118	как в	2	2
119	в этом	13	2
120	в высказываниях	1	2
121	но так	2	2
122	в том	6	2
123	двух разных	1	2
124	мы видим	1	2
125	тот же	3	2
126	с ними	2	2
127	все явления	1	2
128	от этого	1	2
129	и отчасти	1	2
130	в интонации	1	2
131	в целом	2	2
132	и тем	1	2
133	же слово	2	2
134	все эти	5	2
135	с одной	1	2
136	учение о	1	2
137	уже в	2	2
138	кажется что	3	2
139	в нем	12	2
140	при этом	6	2
141	для него	8	2
142	в другом	7	2
143	вовсе не	5	2
144	тем что	3	2
145	в них	4	2
146	связанных с	1	2
147	и внутренняя	1	2
148	с другой	4	2
149	а как	4	2
150	в самом	7	2
151	входит в	2	2
152	может стать	4	2
153	одной стороны	1	2
154	материал в	2	2
155	он только	2	2
156	более того	4	2
157	не на	4	2
158	а не	7	2
159	другой стороны	3	2
160	в руках	2	2
161	между собою	4	2
162	там где	4	2
163	не мог	1	2
164	несмотря на	1	2
165	в связи	1	2
166	этот материал	1	2
167	том что	2	2
168	с помощью	1	2
169	в г	1	2
170	от своего	1	2
171	и при	2	2
172	и ее	3	2
173	так же	2	2
174	в отношении	3	2
175	тяготением к	1	2
176	слова и	12	2
177	не менее	3	2
178	не имеет	1	2
179	в книге	1	2
180	в структуре	1	2
181	сознания и	3	2
182	бы в	5	2
183	и является	2	2
184	во всем	3	2
185	а в	5	2
186	еще в	1	2
187	героя и	5	2
188	и к	3	2
189	могут быть	3	2
190	в своих	2	2
191	поэтического языка	1	2
192	каждое слово	2	2
193	к тому	4	2
194	данную эпоху	1	1
195	ну что	5	1
196	и это	4	1
197	одним из	1	1
198	также и	3	1
199	же как	1	1
200	пределах того	1	1
201	словесный материал	2	1
202	человека и	2	1
203	функции в	1	1
204	и через	1	1
205	себя как	3	1
206	в виду	3	1
207	того же	3	1
208	и сами	2	1
209	выражения в	1	1
210	что до	1	1
211	слов у	1	1
212	его первым	1	1
