N	2gram	Tiupa_Lite_2	FransuaR
1	и в	19	40
2	то есть	5	18
3	и его	3	17
4	прежде всего	4	16
5	в этом	9	15
6	в романе	1	15
7	не только	8	13
8	в его	4	13
9	и не	11	13
10	вовсе не	2	12
11	что в	4	12
12	как и	10	11
13	но и	10	11
14	таким образом	1	10
15	как мы	1	10
16	и т.п	10	10
17	в сущности	3	9
18	он не	5	9
19	в них	2	9
20	может быть	17	9
21	и все	1	9
22	и до	2	8
23	той же	2	8
24	и на	6	8
25	все эти	1	8
26	и с	3	8
27	в том	10	8
28	у него	2	8
29	но в	2	8
30	то же	12	7
31	в своем	1	7
32	культуры и	1	7
33	он и	2	7
34	в виду	2	7
35	в ту	1	7
36	в одном	2	7
37	и др	3	7
38	этот образ	1	7
39	во всех	3	6
40	в самом	1	6
41	в этих	1	6
42	в то	9	6
43	же время	9	6
44	связи с	1	6
45	в образах	2	6
46	и других	4	6
47	до конца	2	6
48	он говорит	1	6
49	в своей	1	6
50	к этому	1	6
51	здесь и	1	5
52	в году	5	5
53	в нем	3	5
54	со всеми	1	5
55	в основе	2	5
56	и для	3	5
57	в особенности	1	5
58	о рабле	1	5
59	в литературе	1	5
60	для него	4	5
61	то что	7	5
62	не было	2	5
63	а не	20	5
64	как раз	2	5
65	в своих	2	5
66	жизни и	4	4
67	из всех	1	4
68	в ней	4	4
69	в истории	2	4
70	в нашем	2	4
71	в мире	9	4
72	было бы	2	4
73	том что	7	4
74	в их	3	4
75	даже в	4	4
76	того чтобы	1	4
77	в области	4	4
78	у нас	5	4
79	о том	2	4
80	и о	1	4
81	так в	5	4
82	а также	2	4
83	один из	4	4
84	только на	1	4
85	из них	2	4
86	так как	3	4
87	и даже	8	4
88	не видит	2	4
89	и потому	1	4
90	в данном	3	4
91	в основном	1	4
92	в культуре	3	4
93	еще более	1	4
94	самом деле	1	3
95	на самом	1	3
96	поэтому он	1	3
97	он был	1	3
98	по отношению	4	3
99	отличие от	1	3
100	в этой	3	3
101	и как	3	3
102	и наконец	2	3
103	и к	2	3
104	в себе	6	3
105	мы чувствуем	1	3
106	при этом	6	3
107	всех этих	1	3
108	на протяжении	1	3
109	но именно	1	3
110	мы видели	1	3
111	в отличие	1	3
112	их в	1	3
113	для этого	2	3
114	вплоть до	3	3
115	одна из	5	3
116	во всем	1	3
117	здесь не	1	3
118	в ее	2	3
119	можно было	1	3
120	еще в	4	3
121	в другом	3	3
122	никак не	1	3
123	что и	2	3
124	во всей	1	3
125	еще не	2	3
126	так и	7	3
127	в начале	3	3
128	одно из	2	3
129	не так	2	3
130	мы находим	1	3
131	в конце	2	3
132	тем что	4	3
133	в других	1	3
134	для того	2	3
135	и прежде	1	3
136	для этой	1	3
137	в частности	4	3
138	не может	9	3
139	вместе с	5	3
140	как в	1	3
141	такого рода	9	3
142	как бы	2	3
143	и от	1	3
144	но это	3	3
145	а в	3	3
146	к этой	2	3
147	они не	1	3
148	том числе	2	3
149	одним из	3	2
150	того же	4	2
151	переход от	1	2
152	это и	1	2
153	тем же	3	2
154	по преимуществу	2	2
155	мы не	4	2
156	хотя бы	2	2
157	меньшей степени	1	2
158	но не	5	2
159	это самое	1	2
160	что он	3	2
161	все же	2	2
162	в этот	1	2
163	лежит на	1	2
164	в целом	2	2
165	как он	2	2
166	и еще	2	2
167	не к	2	2
168	и вот	1	2
169	свидетельствует о	2	2
170	на этом	2	2
171	в веках	2	2
172	здесь мы	1	2
173	и сделал	1	2
174	далеко не	1	2
175	от языка	1	2
176	точки зрения	4	2
177	своего рода	13	2
178	одном из	2	2
179	но он	1	2
180	что было	2	2
181	не менее	6	2
182	века а	1	2
183	не раз	2	2
184	этом отношении	3	2
185	числе и	1	2
186	той или	1	2
