N	3gram	Tiupa_Narr_1	VerxiiNi
1	с одной стороны	7	7
2	с точки зрения	2	6
3	более или менее	2	5
4	в том числе	6	5
5	до сих пор	1	5
6	по крайней мере	1	5
7	друг с другом	1	5
8	а с другой	1	5
9	о том что	6	4
10	том числе и	4	4
11	но все же	4	4
12	к тому же	4	4
13	так или иначе	2	3
14	точно так же	2	3
15	так же как	2	3
16	в связи с	2	3
17	тем не менее	3	3
18	в том что	8	3
19	то же самое	1	2
20	в этом отношении	3	2
21	и после смерти	1	2
22	с этой точки	1	2
23	то или иное	2	2
24	некоторые из них	1	2
25	может быть и	1	2
26	то ни было	3	2
27	то что он	1	2
28	бы то ни	3	2
29	так и от	1	2
30	то же время	3	2
31	этой точки зрения	2	2
32	той или иной	4	2
33	можно сказать что	4	2
34	в то же	3	2
35	и того же	1	1
36	не может не	2	1
37	что в этом	1	1
38	поскольку с одной	1	1
39	состоит в том	3	1
40	иметь в виду	1	1
41	по отношению к	6	1
42	одной из этих	1	1
43	в самом деле	1	1
44	одного и того	1	1
45	в соответствии с	1	1
46	из двух или	1	1
47	но далеко не	1	1
48	в таком случае	2	1
49	и в то	1	1
50	до известной степени	1	1
51	сами по себе	2	1
52	в первую очередь	1	1
53	все те же	4	1
54	с этого момента	1	1
55	жизни то есть	1	1
56	том или ином	2	1
57	лишь постольку поскольку	1	1
58	в том или	2	1
59	в данном случае	4	1
60	в первом случае	2	1
61	и т.д в	1	1
62	в духовном отношении	1	1
63	в отличие от	5	1
64	а не как	1	1
65	один из этих	1	1
66	с другой стороны	4	1
67	речь идет о	2	1
68	один и тот	1	1
69	только то что	1	1
70	не может быть	5	1
71	но по существу	1	1
72	может и не	1	1
73	по всей вероятности	2	1
74	так и в	1	1
75	в свою очередь	3	1
76	в этом последнем	1	1
77	же самое происходит	1	1
78	не представляется возможным	1	1
79	к нему в	1	1
80	может показаться что	1	1
81	в себе не	1	1
82	и тот же	1	1
