N	3gram	Vinokur_Vv_1	Vladivir
1	о том что	12	7
2	в том что	12	7
3	в свое время	2	5
4	дело в том	2	4
5	в этом смысле	10	4
6	что же касается	2	4
7	то же время	5	4
8	и то что	2	4
9	в то же	5	4
10	том что в	1	3
11	в конце концов	2	3
12	с другой стороны	5	3
13	не может быть	8	3
14	как мы уже	1	3
15	также и то	1	2
16	то обстоятельство что	1	2
17	то что у	1	2
18	в том чтобы	5	2
19	не только в	4	2
20	во всяком случае	3	2
21	к этому времени	2	2
22	можно сказать что	3	2
23	тем не менее	8	2
24	для того чтобы	21	2
25	и т д	37	2
26	и в конце	1	1
27	в том виде	3	1
28	что иное как	4	1
29	тех пор пока	1	1
30	сказать что он	1	1
31	о том насколько	1	1
32	того что в	1	1
33	мы имеем дело	1	1
34	потому что в	1	1
35	и той же	2	1
36	не говоря уже	2	1
37	в самом деле	5	1
38	и в особенности	4	1
39	в настоящее время	1	1
40	в том же	1	1
41	как это было	1	1
42	говоря уже о	1	1
43	по поводу того	1	1
44	эта наука не	1	1
45	бы то ни	1	1
46	уже после смерти	1	1
47	и в дальнейшем	1	1
48	только то что	1	1
49	что не только	1	1
50	или иначе но	2	1
51	виде в каком	1	1
52	в значительной мере	1	1
53	вместе с тем	3	1
54	но что такое	1	1
55	одно и то	1	1
56	дело не в	1	1
57	было вполне естественно	1	1
58	как раз в	1	1
59	уже о том	1	1
60	при жизни а	1	1
61	у него в	1	1
62	не потому что	1	1
63	но в то	3	1
64	то ни было	1	1
65	учиться и что	1	1
66	с одной стороны	4	1
67	смысле этого слова	2	1
68	в связи с	2	1
69	и то же	1	1
70	а также и	2	1
71	потому что она	1	1
72	может быть никакой	1	1
73	и в этом	3	1
74	но в общем	1	1
75	имеем дело с	1	1
76	так или иначе	4	1
77	да и что	1	1
78	мы уже знаем	1	1
79	пор пока не	1	1
80	хотя бы на	1	1
81	по истории и	1	1
82	все что может	1	1
83	тех времен когда	1	1
84	и в том	3	1
85	том виде в	1	1
86	а в том	1	1
87	одной и той	2	1
88	для которых он	1	1
89	и есть тот	1	1
90	есть не что	2	1
91	до тех пор	1	1
92	заключается в том	3	1
93	в свою очередь	1	1
94	независимо и от	1	1
95	что на этот	1	1
96	с тем что	3	1
97	и без того	1	1
98	и никогда не	1	1
99	правда в очень	1	1
100	во второй половине	2	1
101	о человеке и	1	1
102	уже не только	1	1
103	к тому что	1	1
104	не что иное	4	1
105	по этому поводу	2	1
106	в истории русской	1	1
107	в сравнении с	1	1
108	лицом к лицу	1	1
109	т д в	2	1
110	не в этом	1	1
111	в принципиальном отношении	3	1
112	то что этот	1	1
113	в этом отношении	3	1
114	также и в	2	1
