N	2gram	Nazirov_Vr_1	Hudozhes
1	в мире	2	23
2	в качестве	1	19
3	и не	5	16
4	в том	3	15
5	и в	8	15
6	не только	9	15
7	в частности	1	13
8	тогда как	2	13
9	может быть	4	13
10	и его	3	12
11	при этом	4	12
12	а в	2	12
13	в себе	2	11
14	в этом	8	11
15	но не	1	11
16	так и	1	10
17	но и	7	10
18	то же	5	10
19	как бы	4	10
20	точки зрения	2	9
21	в его	3	9
22	своего рода	1	8
23	себя в	1	8
24	в душе	1	8
25	в то	5	7
26	с другой	1	7
27	но в	6	7
28	же время	5	6
29	не может	2	6
30	что в	7	6
31	по своей	1	6
32	в ее	1	6
33	отношение к	2	6
34	с его	3	6
35	том что	3	6
36	с ее	1	5
37	в нем	6	5
38	тем самым	1	5
39	в их	1	5
40	того что	1	5
41	то что	7	5
42	и т.п	2	5
43	я с	1	5
44	уже не	2	5
45	другой стороны	1	5
46	могут быть	1	5
47	в самом	1	5
48	а также	2	5
49	в форме	1	4
50	еще не	2	4
51	хотя и	1	4
52	говорить о	1	4
53	место в	2	4
54	прежде всего	1	4
55	самим собой	1	4
56	к которому	1	4
57	в своей	2	4
58	для него	2	4
59	отношения к	2	4
60	между тем	5	4
61	в этих	1	4
62	и т.д	1	4
63	он не	3	4
64	как к	1	4
65	и то	2	4
66	и как	3	4
67	одно и	1	3
68	как и	6	3
69	но он	3	3
70	того же	1	3
71	не будет	1	3
72	и ее	2	3
73	не менее	2	3
74	таким образом	2	3
75	к нему	1	3
76	человека с	2	3
77	как раз	2	3
78	так в	2	3
79	его в	3	3
80	этом смысле	1	3
81	в рассказе	1	3
82	потому что	1	3
83	в таком	1	3
84	что он	4	3
85	в той	2	3
86	это не	4	3
87	как правило	1	3
88	в целом	1	3
89	одного и	1	3
90	тем не	1	3
91	во всей	1	3
92	их в	2	3
93	и что	8	3
94	человека к	1	3
95	далеко не	3	3
96	с точки	2	3
97	однако в	1	3
98	о чем	2	3
99	в виду	4	3
100	в русской	3	3
101	по своему	1	3
102	как говорит	1	3
103	в свою	2	3
104	в комедии	1	2
105	рассказ о	1	2
106	в литературе	1	2
107	так же	4	2
108	никто не	1	2
109	в этой	2	2
110	только о	1	2
111	с ним	4	2
112	русской литературе	3	2
113	во всех	1	2
114	в одном	1	2
115	я думаю	1	2
116	в итоге	1	2
117	в году	18	2
118	но как	2	2
119	и маргариты	1	2
120	и о	3	2
121	из которых	1	2
122	идет о	1	2
123	на свою	1	2
124	как в	1	2
125	из этого	1	2
126	это и	1	2
127	человека и	1	2
128	в чем	3	2
129	в силу	1	2
130	не все	1	2
131	но на	1	2
132	в романе	6	2
133	а с	2	2
134	свою очередь	1	2
135	задолго до	1	2
136	об этом	5	2
137	отношении к	1	2
138	в них	2	2
139	не могло	1	2
140	глаза в	1	2
141	одна из	2	2
142	у него	5	2
143	по преимуществу	1	2
144	именно в	1	2
145	о том	4	2
146	в сторону	1	2
147	еще один	1	2
148	совпадает с	1	2
149	роль в	1	2
150	несмотря на	4	2
151	о себе	3	2
152	тем более	2	2
153	я не	3	2
154	и сам	1	2
155	уже говорилось	1	2
156	из которого	1	2
157	дома и	1	2
158	начиная с	2	2
159	и мире	1	2
160	в войне	1	2
161	войне и	1	2
162	и это	2	2
163	речь идет	3	2
164	в своем	3	2
165	столь же	2	1
166	в е	1	1
167	не могла	1	1
168	для всех	1	1
169	произведения это	1	1
170	но с	1	1
171	бы в	1	1
172	для нас	4	1
173	в свое	1	1
174	в связи	3	1
175	в него	2	1
176	с нею	2	1
177	вместе с	2	1
178	всю жизнь	1	1
179	о котором	1	1
180	достоевского в	7	1
181	жизни и	1	1
182	оценке его	1	1
183	говорит о	1	1
184	что они	1	1
185	в эпизоде	1	1
186	каждый из	1	1
187	идет не	1	1
188	просьбы о	1	1
189	начинается с	1	1
190	на это	2	1
191	о своем	1	1
192	связи с	3	1
193	крайней мере	1	1
194	и литературные	1	1
195	души и	1	1
196	не было	5	1
197	служит для	1	1
198	рядом с	2	1
199	только при	1	1
200	встрече с	1	1
201	на то	3	1
202	вслед за	1	1
203	в жизни	1	1
204	у себя	1	1
205	что это	1	1
206	ключ к	1	1
207	отнюдь не	2	1
208	личность и	2	1
209	но мы	1	1
210	в мировой	1	1
211	не имело	1	1
212	в условиях	1	1
213	в преступлении	1	1
214	наполеона в	1	1
215	любви она	1	1
216	в конце	3	1
217	в бою	1	1
218	сюжет в	1	1
219	все же	6	1
220	в составе	1	1
221	в другой	1	1
222	писал он	1	1
223	в уме	1	1
224	это была	1	1
225	автору и	1	1
226	ли не	1	1
227	более того	1	1
228	то в	1	1
229	в это	2	1
230	над тем	1	1
231	меня в	1	1
232	и достоевского	9	1
233	и я	1	1
234	собой в	1	1
235	такое же	1	1
236	мы находим	1	1
237	за это	1	1
238	его произведений	1	1
239	но для	1	1
240	за него	1	1
241	что ж	2	1
242	к автору	2	1
243	а тем	1	1
244	романе достоевского	1	1
245	этого типа	1	1
246	привлекает внимание	1	1
247	узнает в	1	1
248	раз в	3	1
249	котором он	1	1
250	не об	1	1
251	то время	1	1
252	дворянского гнезда	3	1
253	не с	1	1
254	что для	1	1
255	к вопросу	1	1
