N	3gram	Potebnia_M_4	Otkroven
1	для того чтобы	4	3
2	и в этом	4	2
3	а не в	1	2
4	это было бы	1	2
5	не может быть	5	2
6	но и в	1	2
7	не могут быть	2	2
8	с тем что	4	2
9	человеческой природы и	1	2
10	нет ничего кроме	1	2
11	смысле этого слова	1	1
12	нет ничего легче	1	1
13	по себе есть	1	1
14	человека и все	1	1
15	хотя и не	1	1
16	не в том	2	1
17	потому что в	3	1
18	это потому что	2	1
19	друг к другу	1	1
20	но в этой	1	1
21	ясно видно что	1	1
22	и в том	2	1
23	ничего легче как	1	1
24	о том как	1	1
25	и состоит чтобы	1	1
26	не было и	2	1
27	может быть назван	3	1
28	и не может	1	1
29	во всяком случае	3	1
30	том случае если	1	1
31	сам по себе	4	1
32	в том только	1	1
33	даже и в	1	1
34	само по себе	5	1
35	после того как	2	1
36	о том что	5	1
37	в этом отношении	1	1
38	то что в	2	1
39	и все это	1	1
40	и в самом	1	1
41	и к нему	1	1
42	заключает в себе	8	1
43	в том что	7	1
44	он ни был	1	1
45	на то что	4	1
46	бы он ни	1	1
47	и не в	1	1
48	в том случае	3	1
49	и то что	4	1
50	или лучше сказать	1	1
51	и все что	1	1
52	как и в	1	1
53	от того что	3	1
54	в которой нет	1	1
55	науки о человеке	1	1
56	может быть что	1	1
