N	3gram	Propp_Isto_7	Sovremen
1	в зависимости от	1	3
2	мы не можем	2	3
3	мы видим что	3	1
4	как он выражается	1	1
5	в этом случае	1	1
6	друг на друга	1	1
7	так же как	4	1
8	на этот вопрос	2	1
9	но все эти	1	1
10	в предыдущей главе	1	1
11	мы можем назвать	1	1
12	с одной стороны	4	1
13	она не может	1	1
14	совершенно так же	1	1
15	для наших целей	1	1
16	и тот же	1	1
17	в том что	4	1
18	то же самое	1	1
19	по его мнению	1	1
20	мы видели что	1	1
21	один и тот	1	1
22	не может быть	3	1
23	должен быть поставлен	1	1
