N	4gram	Medvedev_F_2	Problema
1	в то же время	5	3
2	не выходя за пределы	1	2
3	во всех своих моментах	1	2
4	ни в чем не	1	2
5	в этом смысле мы	1	2
6	и в то же	3	2
7	хотя бы в пределах	1	1
8	ведь в противном случае	1	1
9	в чем не выходя	1	1
10	что бы то ни	1	1
11	от одного к другому	1	1
12	и не может быть	2	1
13	там где оно не	1	1
14	в значительной степени и	1	1
15	бы то ни стало	1	1
16	хотя и иной чем	1	1
17	в противном случае мы	1	1
18	не для того чтобы	1	1
19	отнюдь не следует что	2	1
20	и иной чем в	1	1
21	не что иное как	1	1
22	не говоря уже о	1	1
23	так называемый формальный метод	1	1
24	во что бы то	1	1
25	не может быть конечно	1	1
26	отсюда отнюдь не следует	2	1
27	чем не выходя за	1	1
28	но в то же	1	1
29	иметь в виду что	1	1
30	не могут быть поняты	1	1
31	и в этом отношении	2	1
32	следует однако отметить что	1	1
33	в том смысле что	2	1
34	не чем иным как	1	1
35	в высшей степени характерно	1	1
36	выходя за пределы произведения	1	1
37	не в том что	1	1
38	в области наук об	1	1
39	в его целом ни	1	1
40	есть не что иное	1	1
