N	2gram	Vinokur_St_1	Vvedenie
1	и т	30	42
2	т д	21	36
3	т е	15	35
4	и в	44	32
5	в том	36	31
6	в этом	21	30
7	может быть	15	26
8	том что	29	26
9	не только	18	22
10	для того	10	21
11	того чтобы	11	20
12	таким образом	7	19
13	также и	9	18
14	то что	18	16
15	потому что	6	15
16	так как	5	15
17	не может	8	14
18	но также	9	14
19	в нем	5	13
20	в самом	7	13
21	со стороны	6	13
22	о том	17	13
23	xix в	5	12
24	как на	1	12
25	того что	9	12
26	и не	16	12
27	только в	10	12
28	в его	9	12
29	в ее	4	11
30	как мы	1	11
31	ясно что	10	11
32	что такое	1	11
33	в данном	14	11
34	языка и	4	10
35	что в	30	10
36	по себе	1	9
37	этом смысле	1	9
38	между тем	3	9
39	в той	6	9
40	в истории	3	9
41	то же	5	9
42	но в	10	9
43	этого рода	1	9
44	не менее	5	8
45	не в	12	8
46	а только	1	8
47	тем не	2	8
48	именно в	6	8
49	с другой	9	8
50	это не	8	8
51	но не	3	7
52	все же	8	7
53	вопрос о	4	7
54	прежде всего	7	7
55	точки зрения	11	7
56	как нечто	1	7
57	в применении	3	7
58	смысле этого	2	7
59	дело с	2	7
60	о котором	2	7
61	самом деле	11	7
62	было бы	17	7
63	уже и	1	7
64	можно было	13	7
65	же время	4	6
66	вовсе не	19	6
67	сих пор	7	6
68	до сих	7	6
69	с тем	1	6
70	его в	2	6
71	а именно	3	6
72	но и	10	6
73	не трудно	3	6
74	и даже	5	6
75	как и	9	6
76	и его	8	6
77	в качестве	4	6
78	в то	9	6
79	хотя бы	6	6
80	как он	1	6
81	тем что	5	6
82	представить себе	1	6
83	не могут	1	6
84	все это	5	6
85	работы над	1	6
86	и это	2	6
87	из этих	6	6
88	этот вопрос	4	6
89	в принципиальном	1	6
90	том чтобы	1	6
91	применении к	3	6
92	видеть что	1	5
93	данном случае	6	5
94	и тем	3	5
95	как например	1	5
96	т п	9	5
97	на этот	3	5
98	в какой	3	5
99	той мере	1	5
100	научной работе	1	5
101	а не	16	5
102	трудно видеть	1	5
103	об этом	3	5
104	так что	6	5
105	но если	4	5
106	а как	2	5
107	в целом	5	5
108	что не	3	5
109	приходим к	1	5
110	сказать что	7	5
111	вместе с	1	5
112	в течение	1	5
113	с их	1	5
114	в них	1	5
115	другой стороны	7	5
116	мере в	2	5
117	могут быть	5	5
118	д но	4	5
119	в которых	5	5
120	быть в	2	5
121	в г	3	5
122	уже в	2	5
123	так например	7	5
124	как бы	4	5
125	в себе	2	4
126	и обратно	1	4
127	еще не	3	4
128	во всяком	6	4
129	от этого	2	4
130	в разных	1	4
131	и для	3	4
132	отношению к	3	4
133	еще и	2	4
134	крайней мере	2	4
135	по крайней	2	4
136	как раз	4	4
137	видит в	1	4
138	в виде	3	4
139	как это	4	4
140	в своей	6	4
141	а в	17	4
142	одно из	2	4
143	смотреть на	1	4
144	в тексте	12	4
145	с этой	3	4
146	что он	10	4
147	здесь нет	1	4
148	это только	1	4
149	этом случае	2	4
150	по отношению	3	4
151	на вопрос	4	4
152	только с	2	4
153	не имеет	4	4
154	в первом	2	4
155	всяком случае	6	4
156	в и	130	4
157	даже и	2	4
158	о чем	1	4
159	времени и	1	4
160	не просто	1	4
161	уже не	1	4
162	мы имеем	2	4
163	в каждом	3	4
164	одной стороны	2	4
165	но ведь	8	4
166	внимание на	3	4
167	в котором	5	4
168	с одной	3	4
169	этом отношении	7	4
170	этого понятия	1	4
171	и что	4	4
172	той же	5	4
173	что могло	1	4
174	и то	5	4
175	должен был	2	4
176	или иначе	2	4
177	так или	2	4
178	как о	2	4
179	е в	2	4
180	прямом смысле	1	3
181	все эти	5	3
182	материал для	3	3
183	но с	3	3
184	и вот	1	3
185	в свое	2	3
186	говорить о	2	3
187	можно сказать	1	3
188	в текстах	1	3
189	говорит о	3	3
190	на том	1	3
191	так же	5	3
192	при этом	2	3
193	так чтобы	1	3
194	гораздо более	4	3
195	к нему	2	3
196	этой работы	2	3
197	свое время	2	3
198	и вообще	3	3
199	если бы	9	3
200	эти науки	2	3
201	в конце	3	3
202	дело не	4	3
203	нисколько не	2	3
204	что это	4	3
205	работы в	3	3
206	нечто цельное	1	3
207	и есть	1	3
208	ответа на	2	3
209	в одном	1	3
210	а потому	2	3
211	ответ на	3	3
212	стороны и	1	3
213	совсем не	2	3
214	но все	4	3
215	в начале	3	3
216	что же	6	3
217	одной из	1	3
218	в области	14	3
219	уже после	1	3
220	отношение к	2	3
221	культуры в	3	3
222	смысле как	1	3
223	к тому	1	3
224	второй половины	1	3
225	хотя и	1	3
226	и других	1	3
227	во второй	9	3
228	и к	1	3
229	истории литературы	2	3
230	текста и	1	3
231	тогда когда	1	3
232	с историей	2	3
233	в чем	3	3
234	своего рода	3	3
235	дело в	6	3
236	в сущности	2	3
237	наук в	1	3
238	да и	3	3
239	в очень	3	3
240	такого рода	2	3
241	на основании	1	3
242	отношении что	2	3
243	том отношении	4	3
244	этой области	5	3
245	в этой	11	3
246	бы и	4	3
247	в этих	2	3
248	что и	6	3
249	и на	1	3
250	от себя	1	3
251	до конца	1	3
252	в результате	3	3
253	язык и	1	3
254	не как	1	3
255	времени в	1	3
256	при помощи	2	3
257	наука о	1	3
258	в известном	1	3
259	в прямом	1	3
260	должен быть	3	3
261	однако в	1	3
262	в работе	1	3
263	в частности	4	3
264	но что	1	3
265	а также	2	3
266	в каком	3	3
267	то это	3	3
268	чем в	3	3
269	в ней	3	3
270	к этому	1	3
271	что она	4	3
272	половины xix	1	3
273	со всей	1	3
274	и уже	2	3
275	заключается в	4	3
276	что с	2	3
277	как будто	4	3
278	каждой из	1	3
279	из них	8	3
280	в виду	1	3
281	так называемой	2	3
282	вообще не	2	3
283	в своем	2	3
284	том же	1	2
285	по тем	1	2
286	о которых	1	2
287	каждый из	1	2
288	какой бы	1	2
289	отсюда и	1	2
290	это может	1	2
291	когда мы	1	2
292	в ряде	1	2
293	и с	3	2
294	бы в	1	2
295	с полной	1	2
296	общей филологической	1	2
297	в другом	3	2
298	впечатление на	1	2
299	входит в	1	2
300	художественных произведений	1	2
301	конце концов	1	2
302	одно целое	1	2
303	которой в	1	2
304	жизни и	5	2
305	и сейчас	4	2
306	того же	3	2
307	история литературы	2	2
308	мы говорим	1	2
309	эта традиция	1	2
310	вряд ли	5	2
311	на тему	1	2
312	для них	1	2
313	так и	9	2
314	не было	4	2
315	должна быть	3	2
316	этому поводу	2	2
317	при жизни	1	2
318	но дело	1	2
319	с ней	1	2
320	говоря уже	1	2
321	из двух	3	2
322	и так	3	2
323	это в	4	2
324	если это	3	2
325	мы не	2	2
326	и другие	1	2
327	языка а	1	2
328	на котором	1	2
329	и историческими	1	2
330	во всех	8	2
331	другом месте	2	2
332	нечто целое	1	2
333	и те	2	2
334	тем или	3	2
335	и наоборот	1	2
336	в форме	1	2
337	казалось бы	1	2
338	гораздо ближе	1	2
339	по его	2	2
340	или иным	3	2
341	такого же	1	2
342	нашего времени	1	2
343	языка на	1	2
344	на протяжении	1	2
345	целом ряде	1	2
346	нуждается в	1	2
347	данном отношении	5	2
348	время в	1	2
349	или иной	1	2
350	наукой и	1	2
351	но которая	1	2
352	на вещи	1	2
353	но зато	1	2
354	по этому	3	2
355	сомнений в	1	2
356	будет в	1	2
357	о которой	3	2
358	и методологии	1	2
359	у них	1	2
360	задний план	3	2
361	виде в	1	2
362	изложения и	1	2
363	никогда не	5	2
364	из его	1	2
365	из которых	1	2
366	к отдельным	1	2
367	с точки	8	2
368	к самой	1	2
369	во внимание	1	2
370	мог бы	1	2
371	и при	1	2
372	чтобы можно	1	2
373	именно на	1	2
374	у нас	11	2
375	не говоря	1	2
376	дело что	2	2
377	в прошлом	1	2
378	что нет	2	2
379	другое дело	1	2
380	в отношении	9	2
381	с этим	3	2
382	в печати	5	2
383	и сам	2	2
384	мы называем	1	2
385	ничего не	2	2
386	так называемая	3	2
387	не столько	1	2
388	по истории	2	2
389	в соответствии	1	2
390	по меньшей	3	2
391	только так	1	2
392	могло бы	2	2
393	него в	1	2
394	начале xix	1	2
395	а во-вторых	1	2
396	точно так	1	2
397	и др	1	2
398	для этого	2	2
399	одна из	1	2
400	этого слова	2	2
401	обратить внимание	1	2
402	будто бы	3	2
403	же как	3	2
404	от того	1	2
405	чтобы он	1	2
406	того как	1	2
407	или нет	1	2
408	однако с	1	2
409	тому что	3	2
410	ни с	3	2
411	из истории	3	2
412	в нечто	1	2
413	критики и	1	2
414	о них	2	2
415	бы с	1	2
416	рукописи и	1	2
417	в основу	4	2
418	это делает	1	2
419	соответствии с	1	2
420	несмотря на	2	2
421	же касается	3	2
422	быть и	2	2
423	тем более	4	2
424	этой стороны	1	2
425	литературы и	2	2
426	само собой	1	2
427	не существует	3	2
428	по существу	2	2
429	науки но	1	2
430	литературы в	1	2
431	научной работы	4	2
432	внимания к	1	2
433	должна была	4	2
434	котором он	1	2
435	время не	1	2
436	хотя в	2	2
437	есть только	2	2
438	языка не	2	2
439	из того	2	2
440	если таким	1	2
441	них и	1	2
442	в разной	1	2
443	что каждая	1	2
444	меньшей мере	3	2
445	доказывать что	2	2
446	от которых	1	2
447	что мы	5	2
448	и тогда	2	2
449	той или	1	2
450	ближе к	1	2
451	она была	1	2
452	иначе но	1	2
453	и творчества	2	2
454	и до	1	2
455	но это	6	2
456	а если	2	2
457	д в	1	2
