N	2gram	Tiupa_Teor_1	Myshleni
1	мышления и	2	40
2	речи и	2	28
3	точки зрения	9	26
4	таким образом	3	26
5	в том	16	24
6	и в	18	23
7	том что	9	21
8	в целом	3	20
9	с точки	3	18
10	в этом	8	17
11	того чтобы	1	17
12	то что	3	17
13	не только	16	16
14	так же	2	16
15	того что	4	15
16	для того	1	15
17	как и	4	14
18	может быть	17	14
19	но и	9	14
20	в его	6	14
21	что в	9	14
22	с помощью	1	13
23	не может	4	12
24	представляет собой	9	11
25	сказать что	3	11
26	как бы	5	11
27	в отношении	3	10
28	с другой	7	10
29	прежде всего	2	10
30	внутренней речи	13	9
31	между тем	5	9
32	в качестве	24	9
33	одной стороны	2	9
34	другой стороны	5	9
35	же точно	1	9
36	вместе с	2	9
37	и не	13	9
38	не является	4	9
39	то же	7	8
40	заключается в	2	8
41	в ходе	4	8
42	в основе	3	8
43	и на	1	8
44	с одной	2	8
45	речи как	1	8
46	вопрос о	1	7
47	по отношению	4	7
48	как уже	1	7
49	в самом	4	7
50	в этой	3	7
51	в другом	3	7
52	с тем	1	7
53	в то	6	7
54	и ее	3	7
55	так как	1	7
56	что он	1	7
57	отношению к	4	7
58	же как	1	6
59	в сущности	1	6
60	все это	2	6
61	столь же	2	6
62	независимо от	1	6
63	могли бы	2	6
64	в себе	9	6
65	в силу	1	6
66	лишь в	6	6
67	и тем	3	6
68	и его	8	6
69	о том	1	6
70	только в	6	6
71	между этими	1	6
72	тем что	1	6
73	именно в	3	6
74	потому что	3	6
75	из того	1	5
76	между собой	3	5
77	бы в	1	5
78	в собственном	1	5
79	перед нами	2	5
80	и как	2	5
81	но в	9	5
82	то время	1	5
83	на то	1	5
84	он не	3	5
85	и более	1	5
86	а затем	1	5
87	представить себе	1	5
88	если бы	3	5
89	тем самым	4	5
90	для этого	1	5
91	по себе	1	5
92	тому что	2	5
93	по своей	3	5
94	как мы	1	5
95	что может	2	5
96	к действительности	3	5
97	и т.д	3	5
98	и что	3	5
99	можно сказать	3	5
100	так и	10	5
101	что для	1	5
102	слова и	1	5
103	тем более	1	5
104	из этого	1	5
105	в какой	2	5
106	в своих	1	5
107	мышления но	1	4
108	в чем	1	4
109	с его	5	4
110	но не	9	4
111	как в	5	4
112	целый ряд	1	4
113	говорит что	2	4
114	и к	3	4
115	все эти	2	4
116	что она	2	4
117	при этом	12	4
118	отношений между	1	4
119	их в	3	4
120	что все	1	4
121	единое целое	2	4
122	было бы	1	4
123	ни в	2	4
124	в своей	6	4
125	не столько	1	4
126	не в	7	4
127	к тому	2	4
128	должен быть	1	4
129	для себя	1	4
130	приводит к	5	4
131	во всей	1	4
132	мы видим	1	4
133	для всех	1	4
134	в одном	2	4
135	как раз	2	4
136	ее на	1	4
137	а с	3	4
138	одну из	1	4
139	по существу	1	4
140	этого слова	3	4
141	в результате	1	4
142	в свою	3	4
143	отношения к	2	3
144	человека и	1	3
145	в такой	1	3
146	и то	2	3
147	связи между	1	3
148	я не	2	3
149	в их	2	3
150	друг от	1	3
151	что они	1	3
152	в одной	1	3
153	в своем	4	3
154	еще на	1	3
155	в которой	2	3
156	что это	1	3
157	он в	1	3
158	из этих	3	3
159	всей его	1	3
160	в наших	1	3
161	друг другу	1	3
162	на две	3	3
163	речи от	1	3
164	становится возможной	1	3
165	образом и	1	3
166	она не	1	3
167	не могло	2	3
168	в области	4	3
169	в каком	1	3
170	образом что	1	3
171	могут быть	4	3
172	же самое	1	3
173	говоря словами	3	3
174	и это	2	3
175	от друга	1	3
176	свою очередь	2	3
177	можно было	1	3
178	об этом	2	3
179	одного из	1	3
180	и который	2	3
181	этих двух	2	3
182	на отдельные	1	3
183	свести к	1	3
184	обе эти	1	3
185	который в	2	3
186	связи с	1	3
187	вовсе не	3	3
188	во всех	1	3
189	превращается в	2	3
190	а не	9	3
191	если не	1	3
192	тем и	1	3
193	и от	1	3
194	от всех	1	3
195	значение в	1	3
196	и наиболее	1	2
197	книги в	1	2
198	связана с	1	2
199	он показывает	1	2
200	другому человеку	1	2
201	между этим	1	2
202	идет о	1	2
203	между двумя	3	2
204	и до	1	2
205	той же	1	2
206	есть не	1	2
207	как впрочем	1	2
208	что его	1	2
209	в ее	5	2
210	за пределы	2	2
211	и я	1	2
212	как говорит	3	2
213	хотя и	3	2
214	сознания в	1	2
215	в противоположность	2	2
216	в первом	2	2
217	в нашем	4	2
218	и те	1	2
219	ключ к	2	2
220	свою собственную	1	2
221	он должен	2	2
222	и вот	3	2
223	на этом	1	2
224	одно и	1	2
225	значительной степени	1	2
226	том же	1	2
227	с другими	5	2
228	ближе к	1	2
229	в единое	3	2
230	в них	2	2
231	нигде не	1	2
232	должно быть	1	2
233	иначе говоря	4	2
234	на первый	1	2
235	в этих	3	2
236	не могли	1	2
237	что говоря	1	2
238	даже в	3	2
239	дело в	2	2
240	говорить о	3	2
241	никогда не	4	2
242	слова так	1	2
243	слова как	3	2
244	же время	5	2
245	своей природе	2	2
246	и другим	1	2
