N	3gram	Ircho_Kome_1	Narrotol
1	в данном случае	1	8
2	во времени и	1	6
3	не только в	1	6
4	в том что	9	5
5	к тому же	5	5
6	в то же	4	4
7	то же время	4	4
8	в соответствии с	1	4
9	подобно тому как	1	3
10	по отношению к	3	3
11	обращает на себя	1	3
12	для того чтобы	1	3
13	тем не менее	1	3
14	на себя внимание	1	3
15	речь идет о	3	3
16	в этом отношении	3	3
17	о том что	3	2
18	до сих пор	2	2
19	в отличие от	1	2
20	то же самое	2	2
21	состоит в том	1	2
22	одного из наиболее	1	2
23	в зависимости от	1	2
24	но и в	2	2
25	на то что	2	2
26	во всяком случае	2	2
27	на три группы	1	1
28	средствами но и	1	1
29	с одной стороны	3	1
30	к этому времени	1	1
31	и тот же	1	1
32	при этом что	2	1
33	на протяжении всего	2	1
34	сам по себе	1	1
35	большей или меньшей	1	1
36	и даже не	1	1
37	из них не	1	1
38	одна из них	1	1
39	бы то ни	2	1
40	в самом начале	1	1
41	жизни но и	1	1
42	хотя как известно	1	1
43	мы узнаем о	1	1
44	что иное как	1	1
45	в ответ на	1	1
46	то ни было	2	1
47	в той же	1	1
48	не представляется возможным	1	1
49	к тому что	1	1
50	как и в	2	1
51	при этом некоторые	1	1
52	как один из	1	1
53	едва ли не	3	1
54	же как и	1	1
55	и не только	1	1
56	бросается в глаза	1	1
57	по своему усмотрению	1	1
58	еще при жизни	1	1
59	но и не	1	1
60	не мог бы	1	1
61	в значительной степени	1	1
62	из поля зрения	1	1
63	в году не	1	1
64	более или менее	1	1
65	в том числе	1	1
66	но это вовсе	1	1
67	что у него	1	1
68	как мы видели	1	1
69	в стороне от	1	1
70	но при этом	1	1
71	в отрыве от	1	1
72	друг от друга	1	1
73	мы уже знаем	1	1
74	с другой стороны	5	1
75	том что на	1	1
76	на этот раз	1	1
77	и т д	4	1
