N	2gram	Berdyaev_M_1	formyVre
1	и в	28	50
2	то есть	3	33
3	в этом	20	25
4	в нем	13	24
5	человека в	13	17
6	и его	9	16
7	прежде всего	10	15
8	и не	11	14
9	в его	9	13
10	вовсе не	1	13
11	так и	1	12
12	человека и	14	11
13	мы уже	1	11
14	может быть	30	11
15	и как	2	10
16	но в	7	10
17	с его	3	9
18	все эти	2	9
19	роль в	1	9
20	не только	29	9
21	в то	2	9
22	ничего не	3	9
23	в том	6	9
24	в конце	7	9
25	и др	1	9
26	и т	1	8
27	и на	6	8
28	в самом	11	8
29	т п	1	8
30	жизни в	2	8
31	но и	25	8
32	и их	3	8
33	как и	5	8
34	жизни и	2	8
35	и во	2	7
36	не было	18	7
37	между двумя	1	6
38	во всех	1	6
39	как в	2	6
40	с этим	3	6
41	все же	2	6
42	лишь в	6	6
43	это не	5	6
44	в их	4	6
45	так как	3	6
46	в ее	3	6
47	в жизни	3	6
48	у него	17	6
49	то что	5	6
50	человеческой жизни	2	6
51	в частности	1	6
52	не может	28	6
53	так же	1	6
54	и все	10	6
55	образ человека	7	6
56	отношению к	2	5
57	и до	1	5
58	время как	2	5
59	еще не	1	5
60	но не	8	5
61	и речи	1	5
62	и у	2	5
63	не в	16	5
64	этот процесс	3	5
65	он не	24	5
66	всех этих	1	5
67	значение в	1	5
68	с самим	2	5
69	в основе	2	5
70	того чтобы	2	5
71	точки зрения	4	5
72	не могло	1	5
73	в разных	1	5
74	только и	3	5
75	могут быть	2	5
76	в пределах	1	5
77	в образе	1	5
78	если бы	2	5
79	для того	2	5
80	наряду с	1	5
81	что в	10	5
82	и то	1	4
83	и это	12	4
84	этого мира	3	4
85	в ней	15	4
86	для других	1	4
87	в своем	10	4
88	конечно не	3	4
89	то время	2	4
90	и с	3	4
91	в них	4	4
92	том что	3	4
93	в котором	8	4
94	не имеет	3	4
95	потому что	16	4
96	к себе	1	4
97	как человек	1	4
98	жизнь и	1	4
99	только в	6	4
100	между этими	1	4
101	влияние на	1	4
102	до конца	14	4
103	нет ничего	7	4
104	в той	2	4
105	своей жизни	1	4
106	все это	6	4
107	и для	2	4
108	отношения к	4	3
109	жизни поэтому	1	3
110	а как	2	3
111	есть не	4	3
112	всего того	1	3
113	мы не	1	3
114	в виду	2	3
115	по отношению	2	3
116	себе и	2	3
117	к концу	4	3
118	со своей	1	3
119	в себе	7	3
120	и те	2	3
121	вообще не	2	3
122	его в	3	3
123	входит в	2	3
124	для них	3	3
125	в этих	4	3
126	в отношении	1	3
127	самого человека	3	3
128	этими двумя	1	3
129	чем не	1	3
130	жизни не	1	3
131	не могут	5	3
132	к тому	3	3
133	все его	3	3
134	нас в	1	3
135	нем не	2	3
136	что и	4	3
137	во всей	1	3
138	один из	4	3
139	мы видим	2	3
140	одной из	1	3
141	и ее	1	3
142	в начале	2	3
143	был бы	10	3
144	одно из	3	3
145	в одном	1	3
146	до сих	2	3
147	связаны с	1	3
148	мы еще	2	3
149	себя и	3	3
150	что не	1	3
151	с тем	9	3
152	а не	25	3
153	человек в	9	3
154	мира в	1	3
155	вместе с	6	3
156	и потому	10	3
157	подхода к	1	3
158	да и	1	3
159	сих пор	2	3
160	еще более	1	3
