N	3gram	Propp_Isto_3	Poddanst
1	не только в	1	4
2	в том что	5	4
3	с точки зрения	1	3
4	сами по себе	1	3
5	с одной стороны	2	3
6	в том числе	1	2
7	в северной америке	1	2
8	но и в	1	2
9	заключается в том	1	2
10	том что в	2	1
11	мы видим в	1	1
12	что в этом	1	1
13	в этом стремлении	1	1
14	мы не будем	1	1
15	прежде всего мы	1	1
16	вместе с тем	1	1
17	и то что	2	1
18	так же как	1	1
19	во всяком случае	2	1
20	с другой стороны	7	1
21	не может быть	1	1
22	и пр есть	1	1
23	мы знаем что	1	1
24	с того света	1	1
25	в большинстве случаев	1	1
26	и эти черты	1	1
27	друг с другом	1	1
28	во многих случаях	1	1
29	но в этом	1	1
30	и т д	15	1
