N	3gram	Propp_Isto_2	Narrotol
1	в том что	5	8
2	не только в	4	6
3	по отношению к	3	5
4	в отличие от	1	5
5	с одной стороны	3	5
6	о том что	2	4
7	к тому же	2	4
8	тем не менее	1	4
9	при встрече с	1	3
10	мы узнаем что	1	2
11	на самом деле	2	2
12	подобно тому как	3	2
13	но и в	2	2
14	точно так же	6	2
15	так же как	4	2
16	при всей своей	1	2
17	не только не	1	2
18	не может быть	2	2
19	что иное как	2	1
20	в обоих случаях	1	1
21	иметь в виду	2	1
22	дело не только	1	1
23	хотя оно и	1	1
24	в зависимости от	1	1
25	вместо того чтобы	2	1
26	в то что	1	1
27	можно было бы	3	1
28	и здесь мы	1	1
29	есть на самом	1	1
30	до сих пор	6	1
31	то что было	1	1
32	так или иначе	1	1
33	что это за	2	1
34	а в умении	1	1
35	видит в нем	1	1
36	он имеет право	1	1
37	том как он	1	1
38	в связи с	4	1
39	то что он	1	1
40	тем что они	1	1
41	что у него	1	1
42	и не должен	1	1
43	и для нас	1	1
44	и когда он	1	1
45	есть не что	1	1
46	но они не	2	1
47	и она уходит	1	1
48	по его мнению	1	1
49	с этой стороны	1	1
50	в силу своей	1	1
51	не что иное	2	1
52	жизнью и смертью	1	1
53	это делает и	1	1
54	это свидетельствует о	1	1
55	на другой день	1	1
56	является не только	1	1
57	и в другом	1	1
