N	3gram	Nazirov_Tv_1	Sovremen
1	не может не	1	3
2	с самого начала	3	3
3	тем не менее	2	2
4	в отличие от	1	2
5	в свою очередь	1	2
6	в настоящее время	1	2
7	то же самое	1	2
8	что иное как	1	1
9	в известном смысле	1	1
10	по крайней мере	2	1
11	не могут быть	1	1
12	в связи с	1	1
13	но только не	1	1
14	все более и	1	1
15	дело в том	3	1
16	это означало бы	1	1
17	по отношению к	1	1
18	равно как и	1	1
19	одна и та	1	1
20	на самом деле	2	1
21	точно такие же	1	1
22	к живой жизни	1	1
23	века с ее	1	1
24	и все же	3	1
25	до сих пор	1	1
26	то же время	12	1
27	и в то	2	1
28	сами по себе	1	1
29	друг на друга	1	1
30	бы то ни	1	1
31	в самом конце	1	1
32	и та же	2	1
33	а может быть	1	1
34	это значит что	1	1
35	в конечном счете	4	1
36	очень важную роль	1	1
37	заключает в себе	1	1
38	более и более	1	1
39	мы по крайней	1	1
40	что в каждом	1	1
41	о жизни и	1	1
42	все же это	1	1
43	как и красота	1	1
44	в то же	13	1
45	это как бы	3	1
46	важную роль в	1	1
47	не что иное	1	1
48	со всеми его	1	1
49	в том что	6	1
50	в этой области	1	1
51	в данном случае	2	1
52	при этом с	1	1
53	то ни было	1	1
54	с одной стороны	1	1
