N	3gram	Medvedev_F_3	Freidism
1	с точки зрения	14	11
2	по отношению к	3	8
3	во всяком случае	6	7
4	не может быть	14	7
5	в самом деле	4	6
6	в большинстве случаев	4	5
7	в зависимости от	5	4
8	то же время	7	4
9	в то же	7	4
10	в данном случае	4	4
11	на самом деле	12	4
12	можно сказать что	1	4
13	в последнем счете	2	4
14	как мы видели	2	4
15	для того чтобы	4	3
16	в таком случае	1	3
17	бы то ни	4	3
18	в собственном смысле	1	3
19	к тому чтобы	1	3
20	и тот же	1	3
21	в следующей главе	2	3
22	и той же	1	3
23	один и тот	1	3
24	мы можем сказать	1	3
25	с самого начала	1	3
26	одной и той	1	3
27	можем сказать что	1	3
28	то же самое	3	2
29	что же касается	1	2
30	и по отношению	1	2
31	то или иное	2	2
32	до сих пор	1	2
33	и не может	4	2
34	в отличие от	2	2
35	в первый период	1	2
36	впитывает в себя	1	2
37	и не нуждается	2	2
38	во всех областях	2	2
39	в предыдущей главе	1	2
40	так и в	2	2
41	в его целом	1	2
42	все то что	1	2
43	в этом отношении	3	2
44	и притом в	1	2
45	что в его	1	2
46	в ее целом	1	2
47	зависимости от того	1	2
48	то ни было	4	2
49	выйти за пределы	1	2
50	с одной стороны	1	2
51	тем не менее	2	2
52	мы уже указывали	1	2
53	мы уже знаем	2	2
54	следующей главе глава	1	2
55	в высшей степени	2	2
56	в конце концов	2	2
57	мы видели что	2	2
58	и с помощью	1	2
59	может войти в	3	1
60	форму и содержание	1	1
61	сводится к следующему	1	1
62	это так же	1	1
63	нуждается ни в	2	1
64	же типа как	1	1
65	нет и не	2	1
66	форма и содержание	1	1
67	существенных моментах определяется	1	1
68	сводится к тому	1	1
69	говорит об этом	1	1
70	организма и психики	1	1
71	а вовсе не	4	1
72	да и не	2	1
73	ни в каких	2	1
74	как и всякое	2	1
75	равно как и	2	1
76	первый период развития	1	1
77	от всех других	2	1
78	что в данном	1	1
79	она не менее	1	1
80	как бы ни	2	1
81	нам кажется что	2	1
82	в этом случае	1	1
83	в нем и	2	1
84	и в данном	2	1
85	не нуждается ни	2	1
86	это совсем не	1	1
87	точки зрения его	3	1
88	они не могут	1	1
89	именно для данного	1	1
90	он не был	1	1
91	как и все	2	1
92	самом деле что	1	1
93	как это утверждает	1	1
94	хотя бы и	1	1
95	до известной степени	2	1
96	можно говорить о	1	1
97	невольно возникает вопрос	1	1
98	друг на друга	1	1
99	в основе их	1	1
100	на самом же	2	1
101	только то что	2	1
102	из того что	1	1
103	язык и его	1	1
104	оно проявляется в	1	1
105	вместе с этим	1	1
106	а иногда и	1	1
107	пределах индивидуального организма	1	1
108	со всех сторон	1	1
109	как со стороны	2	1
110	и тем не	1	1
111	в коем случае	1	1
112	всех других областей	1	1
113	и до конца	1	1
114	если же мы	1	1
115	и со стороны	2	1
116	мы полагаем что	1	1
117	т д таким	1	1
118	в двух направлениях	1	1
119	с их помощью	1	1
120	для данного высказывания	2	1
121	между ними в	1	1
122	ведь мы уже	1	1
123	полагаем что таким	1	1
124	ни в коем	1	1
125	с помощью каких	1	1
126	как по отношению	1	1
127	только один из	1	1
128	и не могут	3	1
129	так именно и	1	1
130	но при этом	1	1
131	каких бы то	1	1
132	все без исключения	3	1
133	содержания и формы	1	1
134	так и с	1	1
135	здесь имеет место	1	1
136	человека с точки	1	1
137	и пр все	2	1
138	в такой же	1	1
139	одни и те	3	1
140	последнем счете и	1	1
141	мы убедились что	1	1
142	собственном смысле слова	1	1
143	оставаясь в пределах	1	1
144	мы все время	1	1
145	все это учение	1	1
146	ее целом и	1	1
147	и пр и	1	1
148	что же такое	1	1
149	и все другие	1	1
150	и все же	1	1
151	общем можно сказать	1	1
152	ни в каком	1	1
153	так и со	2	1
154	что он был	1	1
155	с ее объектом	1	1
156	мы не можем	2	1
157	от того что	1	1
158	имеем в виду	1	1
159	всякое конкретное высказывание	2	1
160	всяком случае в	2	1
161	зрения его внутреннего	1	1
162	коем случае не	1	1
163	вовсе не тот	1	1
164	о том что	1	1
165	притом в их	1	1
166	что между ними	1	1
167	можно сделать вывод	1	1
168	не только не	2	1
169	в пределах одной	2	1
170	и те же	3	1
171	самом деле здесь	1	1
172	и пр далее	1	1
173	той или иной	1	1
174	такой же степени	1	1
175	но все же	1	1
176	мы имеем в	1	1
177	смысле этого слова	2	1
178	но вовсе не	2	1
179	может освободиться от	1	1
180	в этом смысле	2	1
181	в направлении к	4	1
182	и быть не	1	1
183	самом деле ведь	1	1
184	индивидуального организма и	1	1
185	пр и пр	1	1
186	и т д	6	1
187	поэтому они и	1	1
188	и в нем	1	1
189	то же что	2	1
190	самом же деле	2	1
191	сделать вывод что	1	1
192	случае не может	1	1
193	в том что	3	1
194	данного единичного высказывания	1	1
195	она не может	1	1
196	не нуждается в	1	1
197	и его формы	1	1
198	д таким образом	1	1
