N	2gram	Nazirov_Tr_1	Dialekti
1	т е	1	46
2	не есть	1	40
3	и не	7	30
4	или от	1	22
5	и есть	1	19
6	а не	1	18
7	и т	1	17
8	ничего не	2	17
9	может быть	7	17
10	то что	4	16
11	стало быть	1	15
12	и в	18	15
13	– в	1	15
14	как бы	7	14
15	не имеет	2	14
16	что это	5	13
17	по себе	1	13
18	того что	1	13
19	это не	5	12
20	в этом	9	11
21	и вот	1	11
22	в том	2	11
23	прежде всего	4	11
24	не может	5	11
25	и все	4	11
26	том что	4	10
27	потому что	2	10
28	с ее	3	10
29	личности и	2	10
30	это и	1	9
31	то же	5	9
32	в виду	1	9
33	и что	4	9
34	уже не	2	9
35	все это	4	9
36	в чем	1	8
37	не в	2	8
38	в себе	4	8
39	не только	8	8
40	ни в	2	8
41	и это	2	8
42	и о	1	8
43	и ее	2	8
44	должна быть	1	7
45	не просто	2	7
46	что именно	1	7
47	что тут	1	7
48	он есть	1	7
49	как и	5	7
50	и его	6	7
51	что оно	1	7
52	только в	1	7
53	что он	6	7
54	что в	4	7
55	перед нами	2	6
56	в то	5	6
57	же время	6	6
58	что и	2	6
59	так что	2	6
60	и даже	4	6
61	в результате	1	6
62	в сфере	1	5
63	той же	1	5
64	и на	7	5
65	быть в	1	5
66	с его	2	5
67	в своем	3	5
68	то в	1	5
69	что она	2	5
70	в нем	4	5
71	что я	4	5
72	в ней	1	5
73	но только	1	5
74	того чтобы	1	5
75	я не	4	5
76	таким образом	1	5
77	о том	2	5
78	так и	5	5
79	именно в	1	5
80	и чисто	1	5
81	как же	2	5
82	но если	1	5
83	хотя бы	1	4
84	в этой	4	4
85	и как	3	4
86	не как	1	4
87	и с	7	4
88	с тем	2	4
89	она не	1	4
90	она хочет	1	4
91	что все	2	4
92	еще не	4	4
93	она всегда	1	4
94	в его	3	4
95	мы видим	1	4
96	с ними	1	4
97	есть в	1	4
98	в одном	2	4
99	отнюдь не	3	4
100	так же	4	4
101	в особенности	1	4
102	на свете	1	4
103	но это	4	4
104	один из	3	4
105	бы в	1	4
106	но и	4	4
107	и то	2	3
108	в истории	1	3
109	как в	3	3
110	своей и	1	3
111	и наконец	1	3
112	но в	6	3
113	бы и	2	3
114	все эти	3	3
115	и если	1	3
116	на этом	1	3
117	от нее	1	3
118	об этом	4	3
119	известно что	1	3
120	в данном	2	3
121	в своей	1	3
122	и притом	1	3
123	могут быть	1	3
124	вы не	1	3
125	к жизни	5	3
126	вот почему	1	3
127	от всего	2	3
128	в виде	2	3
129	в области	1	3
130	за пределы	1	3
131	что не	1	3
132	говорит о	2	3
133	и потому	1	3
134	от него	1	3
135	или вообще	1	3
136	с ним	3	3
137	совершенно не	1	3
138	есть и	1	3
139	только о	2	3
140	только не	1	3
141	это понятие	1	3
142	тем самым	3	3
143	не думает	1	2
144	человека и	1	2
145	он всегда	4	2
146	что уже	1	2
147	вопрос о	2	2
148	из ее	1	2
149	сам по	1	2
150	во всех	1	2
151	бы не	1	2
152	но как	1	2
153	чем же	1	2
154	вот как	1	2
155	все же	5	2
156	в самом	2	2
157	в которой	1	2
158	что даже	1	2
159	при этом	3	2
160	тем не	1	2
161	с этой	1	2
162	а это	1	2
163	но все	2	2
164	на все	1	2
165	лишь в	1	2
166	это было	1	2
167	заключается в	1	2
168	в них	1	2
169	и вне	1	2
170	если так	1	2
171	должно быть	3	2
172	в котором	1	2
173	по сравнению	1	2
174	представление о	1	2
175	не понимает	1	2
176	не могли	1	2
177	что с	3	2
178	не менее	1	2
179	не раз	1	2
180	но они	2	2
181	что эта	1	2
182	того как	1	2
183	никогда не	2	2
184	и по	1	2
185	она должна	2	2
186	во всем	1	2
187	как будто	3	2
188	что на	1	2
189	не могут	2	2
190	а что	2	2
191	в ее	2	2
192	не значит	1	2
193	ее история	1	2
194	мог бы	3	2
195	жизнь и	3	2
196	даже не	1	2
197	о нем	1	2
198	часто и	1	2
199	но мы	1	2
200	это должно	1	2
201	я вижу	1	2
202	хорошо знает	1	2
203	как нечто	1	2
204	то и	2	2
205	и их	1	2
206	никто не	3	2
207	вещи с	1	2
208	отличие от	2	2
209	тем что	2	2
210	не было	1	2
211	а стало	1	2
212	именно так	1	2
213	его как	1	2
214	только теперь	1	2
215	в частности	2	2
216	вместе с	1	2
217	как это	3	2
218	в человеке	1	2
219	сравнению с	1	2
220	быть не	1	2
221	не мог	2	2
222	при таком	1	2
223	это как	1	2
224	тот кто	1	2
225	у достоевского	5	2
226	только что	1	2
227	а как	2	2
228	еще ничего	1	2
229	что этот	2	2
230	мы начинаем	1	2
231	и при	1	2
232	точно так	2	2
233	во всяком	1	2
234	а между	1	1
235	скажет что	1	1
236	чтобы не	1	1
237	а из	1	1
238	последней главе	1	1
239	исходит из	1	1
240	из своих	2	1
241	и он	3	1
242	на них	1	1
243	он сам	7	1
244	и личность	2	1
245	личности она	1	1
246	значение и	1	1
247	с отцом	1	1
248	в общем	1	1
249	отношение к	2	1
250	тут же	2	1
251	друга и	1	1
252	и я	2	1
253	как говорит	2	1
254	эта связь	1	1
255	– но	1	1
256	имеет в	2	1
257	этой идеи	1	1
258	за все	1	1
259	с своим	1	1
260	говорит не	1	1
261	во веки	1	1
262	его а	1	1
263	достоевского в	3	1
264	роль в	1	1
265	только один	1	1
266	если он	1	1
267	к смерти	1	1
268	чтобы установить	1	1
269	вообще не	1	1
270	как он	1	1
271	и лучше	2	1
