N	3gram	Bakhtin_sl_2	Tvorches
1	в романах достоевского	1	12
2	и т д	2	11
3	то же время	4	7
4	в то же	4	7
5	по отношению к	4	3
6	до сих пор	2	3
7	не может быть	15	3
8	но прежде всего	2	2
9	влечет за собой	1	2
10	и не может	1	2
11	и в то	1	2
12	в отличие от	12	2
13	во всяком случае	2	2
14	с другой стороны	1	2
15	так и в	3	2
16	и т п	33	2
17	о том что	1	2
18	ивана карамазова и	1	2
19	в том что	4	2
20	том что в	1	1
21	в чем не	2	1
22	хотя и не	1	1
23	мы уже говорили	1	1
24	значение в романах	1	1
25	в том числе	1	1
26	может и не	1	1
27	сами по себе	1	1
28	в его романах	2	1
29	лишь одна из	1	1
30	и в дальнейшем	1	1
31	нужно сказать что	1	1
32	в романе в	3	1
33	у ивана карамазова	1	1
34	и в истории	2	1
35	со всех сторон	1	1
36	что в романе	1	1
37	в применении к	1	1
38	но в то	3	1
39	в чем же	1	1
40	не могут быть	2	1
41	со своим собственным	1	1
42	в свою очередь	2	1
43	той или иной	5	1
44	в связи с	2	1
45	при этом на	1	1
46	это не значит	1	1
47	в роман и	1	1
48	в целом ряде	1	1
49	роман xix века	1	1
50	одну и ту	1	1
51	целом ряде случаев	1	1
52	того или иного	1	1
53	ни в чем	2	1
54	в романе не	2	1
55	в нем нет	1	1
56	мы не можем	1	1
57	и особенно в	1	1
58	в основном путем	1	1
59	исключительно важную роль	1	1
60	с самого начала	1	1
61	в идеологической сфере	1	1
62	в частности в	1	1
63	том числе и	1	1
64	и ту же	1	1
65	а во второй	1	1
66	героя и его	1	1
67	как и в	1	1
68	мы говорим о	1	1
69	идет уже не	1	1
