N	2gram	Propp_Isto_2	Tvorches
1	и в	15	20
2	и т	19	13
3	не только	18	13
4	т д	18	11
5	никогда не	15	11
6	как бы	6	11
7	таким образом	7	10
8	в его	6	10
9	в то	1	10
10	и не	11	9
11	там же	1	9
12	и его	3	9
13	и с	4	8
14	прежде всего	5	8
15	при этом	4	8
16	в том	6	8
17	но и	14	8
18	в этом	11	8
19	может быть	17	8
20	не может	5	7
21	xix века	1	7
22	потому что	9	7
23	что в	12	7
24	то же	10	7
25	это не	2	7
26	наряду с	6	7
27	представление о	2	7
28	как и	2	6
29	так и	5	6
30	в своей	1	6
31	у него	4	6
32	в целом	1	6
33	именно в	2	6
34	все это	3	6
35	а не	5	6
36	что он	24	6
37	в основном	2	6
38	но не	2	5
39	все же	9	5
40	еще не	9	5
41	так же	13	5
42	если он	1	5
43	например в	2	5
44	и на	4	5
45	в этой	4	5
46	о том	3	5
47	но это	4	5
48	все эти	4	4
49	на его	2	4
50	а а	1	4
51	что они	10	4
52	показывает что	4	4
53	отнюдь не	1	4
54	не в	7	4
55	тем самым	2	4
56	мы не	3	4
57	об этом	11	4
58	а в	12	4
59	что она	5	4
60	соответствии с	1	4
61	как в	5	4
62	в дальнейшем	1	4
63	за собой	1	4
64	что у	2	4
65	и потому	1	4
66	ничего не	7	4
67	когда он	3	4
68	мы видим	8	4
69	героя в	1	4
70	но в	6	4
71	том что	7	4
72	в свете	2	3
73	в й	1	3
74	в себе	4	3
75	тогда как	1	3
76	одна из	2	3
77	в область	4	3
78	отношению к	3	3
79	до сих	6	3
80	в нем	7	3
81	в их	3	3
82	казалось бы	1	3
83	его в	10	3
84	он сам	1	3
85	одной из	4	3
86	вместе с	7	3
87	с ним	1	3
88	превращается в	2	3
89	с этой	1	3
90	в таком	1	3
91	а затем	2	3
92	что не	1	3
93	своего рода	1	3
94	в одной	4	3
95	и др	4	3
96	один из	8	3
97	он не	8	3
98	так например	1	3
99	тем что	4	3
100	уже не	1	3
101	то что	12	3
102	в котором	5	3
103	же как	5	3
104	сих пор	7	3
105	в самом	1	3
106	человека в	2	3
107	у нее	4	3
108	нет ничего	2	3
109	по отношению	3	3
110	и это	3	3
111	в которых	2	3
112	к этому	1	3
113	ранних стадиях	1	3
114	но уже	1	3
115	так как	14	3
116	а с	2	3
117	характера и	1	3
118	этот вопрос	1	3
119	в которой	2	2
120	приводит к	2	2
121	что его	1	2
122	и наконец	5	2
123	говорить о	1	2
124	мы узнаем	1	2
125	другой стороны	2	2
126	для которого	1	2
127	сам в	1	2
128	в этот	1	2
129	и ее	2	2
130	не было	2	2
131	не менее	1	2
132	он еще	1	2
133	зато в	1	2
134	зависит от	2	2
135	вовсе не	1	2
136	связь с	4	2
137	в стороне	1	2
138	на землю	1	2
139	сон о	1	2
140	влечет за	1	2
141	и вдруг	1	2
142	его и	4	2
143	к которому	5	2
144	не знал	2	2
145	так что	6	2
146	с другими	2	2
147	так в	3	2
148	на ней	1	2
149	и есть	5	2
150	в одном	5	2
151	и многое	1	2
152	к самому	1	2
153	тут же	2	2
154	и только	2	2
155	многое другое	1	2
156	к жизни	1	2
157	д и	2	2
158	особенно в	1	2
159	но если	3	2
160	такой же	2	2
161	и других	1	2
162	к миру	1	2
163	й главе	1	2
164	что этот	3	2
165	на него	5	2
166	из этого	1	2
167	образ и	1	2
168	у нас	1	2
169	что на	1	2
170	видим в	1	2
171	только с	2	2
172	восходит к	1	2
