N	4gram	Medvedev_F_2	SlovoVZh
1	но тем не менее	1	2
2	не может быть и	3	2
3	в такой же степени	1	1
4	ни на один шаг	2	1
5	мы имеем в виду	1	1
6	может быть оторвано от	1	1
7	так называемый формальный метод	1	1
8	все более и более	1	1
9	но в то же	1	1
10	шаг не приблизимся к	1	1
11	не приблизимся к пониманию	1	1
12	на один шаг не	2	1
13	и не может быть	2	1
14	мы ни на один	1	1
15	в то же время	5	1
16	один и тот же	1	1
17	если мы обратимся к	1	1
18	один шаг не приблизимся	1	1
19	не может быть оторвано	1	1
20	то же время не	1	1
21	ни в чем не	1	1
