N	2gram	Bakhtin_Pr_1	Problema
1	в его	24	43
2	и не	31	42
3	и в	29	38
4	познания и	1	30
5	не может	12	27
6	может быть	24	26
7	как бы	19	22
8	по отношению	8	21
9	в художественном	3	20
10	отношению к	8	19
11	и с	4	17
12	к содержанию	1	17
13	и его	14	16
14	в этом	22	15
15	в нем	19	15
16	и т	4	14
17	только в	10	13
18	т п	3	13
19	прежде всего	7	13
20	независимо от	1	13
21	но не	9	12
22	за пределы	7	12
23	художественного творчества	3	12
24	в единстве	6	12
25	в искусстве	1	12
26	художественного произведения	1	11
27	во всех	1	11
28	в области	1	11
29	ни в	3	11
30	и для	4	11
31	не входит	3	10
32	отношение к	2	10
33	таким образом	12	10
34	в их	3	10
35	материала в	1	10
36	к нему	6	10
37	не только	15	9
38	не имеет	1	9
39	его в	6	9
40	художественной формы	1	9
41	но и	14	9
42	и как	7	8
43	входит в	7	8
44	было бы	5	8
45	точки зрения	19	8
46	место в	1	8
47	в том	8	8
48	и др	5	8
49	то что	15	8
50	еще не	5	7
51	в самом	10	7
52	вообще не	1	7
53	в плане	5	7
54	как и	12	7
55	и становится	1	7
56	не в	7	7
57	как мы	4	7
58	художественное творчество	1	7
59	с другой	3	7
60	между тем	5	7
61	отметить что	1	7
62	с помощью	1	7
63	совершенно не	1	7
64	в своей	8	7
65	что в	8	7
66	отношения к	3	6
67	самом деле	6	6
68	там где	10	6
69	и наконец	4	6
70	в пределах	13	6
71	не всегда	1	6
72	с точки	13	6
73	не есть	2	6
74	и этим	3	6
75	ничего не	5	6
76	должно отметить	1	6
77	все же	9	6
78	а в	7	6
79	только как	2	6
80	себя как	2	5
81	художественном произведении	1	5
82	высшей степени	1	5
83	тем как	4	5
84	в своем	8	5
85	все эти	9	5
86	при этом	2	5
87	то же	14	5
88	в музыке	2	5
89	это не	9	5
90	в них	3	5
91	рядом с	14	5
92	в высшей	1	5
93	далеко не	3	5
94	так и	7	5
95	произведения в	2	5
96	его целом	6	5
97	в основе	4	5
98	и о	5	5
99	никогда не	3	5
100	с ним	5	5
101	конечно не	2	5
102	большинстве случаев	2	5
103	дело и	1	5
104	в большинстве	2	5
105	не на	4	5
106	а не	22	5
107	анализ должен	1	5
108	могут быть	6	5
109	быть только	1	5
110	должно быть	4	5
111	все они	1	5
112	на самом	5	4
113	должна быть	5	4
114	конечно и	2	4
115	в виду	1	4
116	в ней	2	4
117	но конечно	1	4
118	относится к	1	4
119	как в	6	4
120	но в	7	4
121	к художественному	1	4
122	в нашем	1	4
123	в себе	7	4
124	перестает быть	4	4
125	в данном	2	4
126	с миром	1	4
127	но они	2	4
128	в то	10	4
129	известной степени	1	4
130	должны быть	1	4
131	здесь не	1	4
132	в ее	1	4
133	данном случае	2	4
134	в произведении	4	4
135	можно было	2	4
136	о том	1	4
137	своим предметом	1	4
138	от всех	1	4
139	принципиально не	1	4
140	в других	1	4
141	в форме	7	4
142	и только	1	4
143	к которому	1	4
144	что не	1	4
145	в романе	9	4
146	более того	5	4
147	художественную форму	2	4
148	не способна	2	4
149	и потому	6	4
150	в более	1	4
151	себя самого	2	4
152	лишь как	7	4
153	хотя бы	2	4
154	может и	1	4
155	между ними	2	4
156	сказать что	3	4
157	другой стороны	3	4
158	например в	3	3
159	противном случае	1	3
160	едва ли	1	3
161	на материале	3	3
162	бы то	2	3
163	точка зрения	12	3
164	менее всего	6	3
165	нет и	1	3
166	значение для	1	3
167	кроме того	3	3
168	и к	2	3
169	и художественного	1	3
170	в целом	6	3
171	словесного целого	1	3
172	вследствие этого	2	3
173	к миру	1	3
174	он не	5	3
175	произведении как	1	3
176	момент художественного	1	3
177	как момент	1	3
178	то ни	2	3
179	в мире	6	3
180	а как	7	3
181	с другими	7	3
182	может стать	1	3
183	несмотря на	6	3
184	том что	7	3
185	искусства не	1	3
186	есть его	1	3
187	почти совершенно	1	3
188	акта и	1	3
189	на него	3	3
190	как его	1	3
191	в противном	1	3
192	же время	9	3
193	или как	5	3
194	все то	4	3
195	слова но	2	3
196	и это	5	3
197	хотя и	1	3
198	и от	2	3
199	приводит к	3	3
200	дано в	3	3
201	если бы	9	3
202	искусства и	1	3
203	и сделать	1	3
204	на ее	1	3
205	творчества в	1	3
206	на почве	3	3
207	этом смысле	10	3
208	но с	3	3
209	одной из	1	3
210	мы увидим	1	3
211	слова не	1	3
212	входят в	2	3
213	и даже	2	3
214	бытия в	3	3
215	оно не	3	3
216	себя и	2	3
217	его как	4	3
218	только его	1	3
219	и на	7	3
220	в тех	1	3
221	здесь совершенно	1	3
222	слова и	1	3
223	но это	4	3
224	все это	6	3
225	не больше	1	3
226	она может	1	3
227	и другими	1	3
228	и все	1	3
229	ни было	2	3
230	не знает	3	3
231	в таком	1	3
232	все что	3	3
233	они не	4	3
234	смысле слова	1	2
235	относится и	1	2
236	лишь там	2	2
237	он может	3	2
238	и есть	2	2
239	в котором	2	2
240	его не	1	2
241	их и	1	2
242	со всех	1	2
243	мы имеем	1	2
244	не во	3	2
245	единство и	1	2
246	совпадает с	2	2
247	я не	3	2
248	и он	1	2
249	оно может	2	2
250	предметом и	1	2
251	первый план	1	2
252	оценок и	1	2
253	с его	9	2
254	но как	3	2
255	а только	1	2
256	их пределы	1	2
257	художественных произведений	1	2
258	не все	1	2
259	ивана карамазова	4	2
260	в едином	4	2
261	в истории	2	2
262	дело идет	5	2
263	как к	3	2
264	себе не	1	2
265	и у	3	2
