N	3gram	Berdyaev_N_1	Komedia
1	в том что	1	5
2	вместе с тем	2	4
3	о том что	1	4
4	в том числе	1	3
5	в то время	1	3
6	только потому что	1	2
7	в этом смысле	2	2
8	до сих пор	1	2
9	в отличие от	1	2
10	то время как	1	2
11	с одной стороны	2	2
12	в нем не	1	2
13	то что он	1	2
14	во всяком случае	1	2
15	можно было бы	1	2
16	я думаю что	1	1
17	между небом и	1	1
18	прежде всего они	1	1
19	а не для	1	1
20	как это было	1	1
21	и во всех	1	1
22	том случае если	1	1
23	о том чтобы	1	1
24	наряду с этим	1	1
25	но и в	1	1
26	то что в	1	1
27	в наше время	3	1
28	что в нем	2	1
29	том числе и	1	1
30	и не менее	1	1
31	в том случае	1	1
32	по существу своему	1	1
33	как будто бы	1	1
34	с другой стороны	2	1
35	не может быть	4	1
36	может быть сам	1	1
37	всякое значение для	1	1
38	не только в	1	1
39	в большинстве случаев	1	1
