N	3gram	Voloshinov_1	Narrotol
1	в данном случае	3	8
2	в том что	4	5
3	то же время	5	4
4	в то же	5	4
5	не может быть	3	4
6	по отношению к	9	3
7	в этом отношении	2	3
8	для того чтобы	1	3
9	тем не менее	2	3
10	о том что	1	2
11	в самом деле	5	2
12	до сих пор	3	2
13	в отличие от	1	2
14	друг на друга	1	2
15	но и в	1	2
16	чем иным как	1	2
17	в зависимости от	2	2
18	одно и то	1	2
19	и то же	1	2
20	картины мира в	1	2
21	дело в том	1	2
22	во всяком случае	3	2
23	в свою очередь	1	2
24	можно сказать что	3	2
25	из этих двух	1	2
26	это уже не	1	1
27	только потому что	1	1
28	в хх веке	1	1
29	точки зрения в	1	1
30	один и тот	2	1
31	теперь уже не	1	1
32	с точки зрения	10	1
33	и не может	1	1
34	было для него	1	1
35	до известной степени	1	1
36	и со стороны	1	1
37	сам по себе	2	1
38	в его душе	1	1
39	бы то ни	1	1
40	он и не	1	1
41	только то что	2	1
42	из того что	1	1
43	как со стороны	1	1
44	по крайней мере	1	1
45	может быть и	1	1
46	в предыдущей главе	1	1
47	в особенности в	1	1
48	все что может	2	1
49	мы не знаем	1	1
50	с одной стороны	1	1
51	принимают участие в	1	1
52	и тот же	2	1
53	но при этом	1	1
54	так и со	1	1
55	а с другой	1	1
56	ему в голову	1	1
57	в следующей главе	3	1
58	а во время	1	1
59	мы не можем	1	1
60	то что мы	1	1
61	его жизни и	2	1
62	в постель к	1	1
63	так и его	1	1
64	к этому времени	2	1
65	нам до сих	1	1
66	в конечном счете	1	1
67	в нашем сознании	1	1
68	но все же	1	1
69	ничего не говорит	1	1
70	на самом деле	2	1
71	мы уже знаем	2	1
72	внешнего и внутреннего	1	1
73	во всех его	1	1
74	и даже не	1	1
75	говорит нам о	1	1
76	и т д	1	1
77	как мы видели	4	1
