N	2gram	Vygotskiy__7	Poddanst
1	не только	24	17
2	и в	26	14
3	и не	18	12
4	в области	4	11
5	в этом	29	10
6	в отношении	2	10
7	в качестве	5	9
8	но в	4	9
9	то же	8	9
10	в том	18	9
11	н и	1	8
12	только в	8	7
13	в то	3	7
14	в ней	3	6
15	было бы	6	6
16	но и	11	6
17	быть может	1	6
18	в смысле	6	6
19	отношении к	1	5
20	в которых	2	5
21	с другой	4	5
22	может быть	7	5
23	не в	4	5
24	и о	3	5
25	если бы	5	4
26	в своем	1	4
27	и к	7	4
28	как бы	6	4
29	гораздо большей	1	4
30	но также	3	4
31	том что	17	4
32	не может	11	4
33	и потому	3	4
34	в котором	4	4
35	по себе	3	4
36	в гораздо	1	4
37	что в	12	4
38	мы должны	6	4
39	же в	1	4
40	а в	2	4
41	то что	24	4
42	и т	1	3
43	мы не	7	3
44	столь же	2	3
45	между тем	1	3
46	это не	3	3
47	хотя и	1	3
48	и как	1	3
49	с одной	5	3
50	в себе	9	3
51	в нем	2	3
52	для того	18	3
53	заключается в	6	3
54	прежде всего	7	3
55	одной стороны	5	3
56	с тем	5	3
57	что мы	9	3
58	и без	1	3
59	с точки	21	3
60	но не	3	3
61	она есть	1	3
62	наряду с	2	3
63	могут быть	2	3
64	тем самым	8	3
65	потому что	16	3
66	точки зрения	28	3
67	и это	1	2
68	отношения к	2	2
69	например в	1	2
70	в ее	6	2
71	переход от	1	2
72	и есть	2	2
73	есть не	3	2
74	начала и	1	2
75	по характеру	1	2
76	которую мы	1	2
77	по сравнению	9	2
78	является в	5	2
79	одних и	1	2
80	но к	1	2
81	никак не	5	2
82	время в	2	2
83	во всех	6	2
84	говорить о	1	2
85	если в	4	2
86	во всей	2	2
87	из важнейших	3	2
88	отнюдь не	1	2
89	с этим	2	2
90	того что	14	2
91	стороны и	4	2
92	к чему	1	2
93	думать что	1	2
94	есть в	3	2
95	в начале	5	2
96	и других	2	2
97	в его	4	2
98	из них	1	2
99	в виде	1	2
100	не к	1	2
101	в силу	5	2
102	в выборе	1	2
103	как раз	3	2
104	и с	5	2
105	м и	1	2
106	именно в	6	2
107	и мы	1	2
108	и тем	6	2
109	для них	1	2
110	в них	1	2
111	не было	1	2
112	а не	6	2
113	в ряду	1	2
114	должно быть	2	2
115	нужно было	4	2
116	образом на	1	2
117	друг другу	3	2
118	ней не	1	2
119	не менее	4	2
120	своем значении	2	2
121	все это	3	2
122	на этих	2	2
