N	3gram	Nazirov_Tr_1	SlovoVZh
1	не может быть	1	7
2	в том что	2	4
3	и не может	1	3
4	тем не менее	1	3
5	имеет в виду	1	3
6	это как бы	1	3
7	в данном случае	2	2
8	но все же	2	1
9	а между тем	1	1
10	и в этом	1	1
11	все же не	1	1
12	во всяком случае	1	1
13	первого же взгляда	1	1
14	в самом деле	1	1
15	и должна быть	1	1
16	сам по себе	1	1
17	о том что	2	1
18	но несмотря на	1	1
19	она как бы	1	1
20	с самого начала	1	1
21	то же время	5	1
22	сводится только к	1	1
23	и в истории	1	1
24	в то же	5	1
25	отнюдь не является	1	1
26	и в частности	2	1
27	в виду не	1	1
28	как и в	1	1
29	но в то	2	1
30	в высшей степени	1	1
31	с первого же	2	1
