N	2gram	Losev_Dial_3	NovoeSre
1	а не	26	17
2	и в	24	16
3	не может	19	16
4	нового времени	2	12
5	и не	27	11
6	и есть	16	10
7	истории и	4	9
8	что в	7	9
9	как не	2	8
10	в том	5	8
11	жизни и	5	8
12	он не	5	8
13	в этом	8	7
14	может быть	13	7
15	не будет	3	7
16	как и	7	7
17	это есть	8	7
18	высшей степени	1	6
19	с его	2	6
20	от бога	2	6
21	не в	3	6
22	ни в	9	6
23	никогда не	7	6
24	но это	5	6
25	не знает	3	6
26	должен быть	1	5
27	с ее	1	5
28	в ней	2	5
29	истории в	1	5
30	и к	5	5
31	не только	23	5
32	все это	6	5
33	в нем	3	5
34	новое время	1	4
35	быть может	3	4
36	о том	6	4
37	эпохи и	1	4
38	перестает быть	2	4
39	в них	5	4
40	то что	14	4
41	это не	4	4
42	прежде всего	8	4
43	не было	3	4
44	должно быть	3	4
45	и потому	2	4
46	по своему	1	4
47	значит что	24	4
48	не менее	11	4
49	и для	2	4
50	не имеет	11	4
51	и все	6	4
52	потому что	7	4
53	с другой	4	3
54	в ее	1	3
55	должна быть	6	3
56	верить в	2	3
57	вопрос о	5	3
58	еще не	2	3
59	во всех	1	3
60	за пределы	3	3
61	в истории	4	3
62	духа и	1	3
63	конечно не	4	3
64	не значит	3	3
65	к ним	1	3
66	подобно тому	4	3
67	в мире	1	3
68	но и	9	3
69	это было	3	3
70	не есть	54	3
71	и пр	6	3
72	стремится к	1	3
73	бога и	1	3
74	тому как	4	3
75	история в	2	3
76	она не	3	3
77	что такое	21	3
78	не существует	10	3
79	жизни не	1	3
80	в основе	3	3
81	к ее	1	3
82	истории не	2	3
83	к тому	4	3
84	сказать что	4	3
85	и это	4	2
86	нем нет	1	2
87	же как	2	2
88	более не	2	2
89	это и	7	2
90	время как	4	2
91	не имеют	2	2
92	ведь и	1	2
93	так и	5	2
94	мы не	5	2
95	общества и	1	2
96	мира и	3	2
97	и с	6	2
98	для этого	2	2
99	мира а	1	2
100	еще до	1	2
101	будет уже	1	2
102	но она	3	2
103	я не	6	2
104	вот почему	1	2
105	и что	15	2
106	и на	3	2
107	но не	2	2
108	в свои	1	2
109	все время	3	2
110	с этим	3	2
111	истории мы	4	2
112	помнить что	1	2
113	и социализм	1	2
114	ни к	3	2
115	хотя и	5	2
116	не хотят	1	2
117	но в	2	2
118	в обществе	1	2
119	все эти	3	2
120	с одной	3	2
121	себя в	2	2
122	думать что	2	2
123	есть в	3	2
124	в себе	2	2
125	уже не	5	2
126	может уже	1	2
127	не к	1	2
128	у него	2	2
129	что она	9	2
130	что все	14	2
131	и общество	1	2
132	нет и	4	2
133	и даже	13	2
134	бытия в	2	2
135	в природе	2	2
136	зависит от	2	2
137	но я	1	2
138	том что	8	2
139	вместе с	1	2
140	так же	4	2
141	я уже	7	2
142	мы говорим	2	2
143	место в	1	2
144	одной стороны	3	2
145	мир и	3	2
146	другой стороны	2	2
147	по существу	2	2
148	если нет	4	2
149	этот мир	1	2
150	и формы	2	2
151	как это	5	2
152	будет и	1	2
153	призыв к	2	2
154	такой же	1	2
155	но для	2	2
156	в смысле	2	2
157	в то	5	2
158	одна из	3	2
159	и от	3	2
160	действовать и	1	2
161	хотя бы	4	2
162	а в	2	2
163	от всякого	5	2
164	нельзя уже	1	2
165	ли это	1	2
166	когда мы	2	2
167	могут быть	2	2
168	свободы и	1	2
169	все категории	1	2
170	и гуманизм	1	2
171	из ее	1	2
172	от этой	1	1
173	зависимость от	1	1
174	знаем все	1	1
175	не хочу	1	1
176	сознание должно	1	1
177	бытия а	1	1
178	для себя	2	1
179	он может	1	1
180	тут нет	1	1
181	только потому	2	1
182	не уходит	1	1
183	средних веков	1	1
184	россии в	1	1
185	живое и	1	1
186	чтобы быть	4	1
187	по преимуществу	1	1
188	как результат	1	1
189	можно лишь	1	1
190	может идти	1	1
191	и этот	1	1
192	мы уже	3	1
193	ли это?	1	1
194	не с	1	1
195	и которые	1	1
196	конечно есть	1	1
197	во многом	1	1
198	существует что	1	1
199	на место	1	1
200	и совсем	1	1
201	с ним	1	1
202	революцию не	1	1
203	сказать ни	4	1
204	можно сказать	1	1
205	говорить о	4	1
206	оно есть	2	1
207	на себя	3	1
208	эпохи в	1	1
209	мы всегда	1	1
210	движения и	3	1
211	как я	2	1
212	то это	9	1
213	только так	1	1
214	и небытия	1	1
215	в виду	7	1
216	зависимости от	3	1
217	думаю что	1	1
218	вопрос об	3	1
219	на нем	1	1
220	же мере	1	1
221	на них	2	1
222	веры не	1	1
223	чего оно	1	1
224	что его	5	1
225	в чем	4	1
226	и мира	4	1
227	не могу	1	1
228	и во	2	1
229	все в	1	1
230	не могут	4	1
231	к нему	3	1
232	то он	1	1
233	понять что	1	1
234	которое хотело	1	1
235	в его	2	1
236	культуру и	1	1
237	есть по	1	1
238	я думаю	2	1
239	себе и	1	1
240	и только	6	1
241	душа когда	1	1
242	есть нарушение	7	1
243	и она	2	1
244	но тут	1	1
245	нем ничего	1	1
246	тему и	1	1
247	к которому	1	1
248	в своем	3	1
249	как например	2	1
250	и нет	7	1
251	что нет	4	1
252	глубже чем	1	1
253	и привел	1	1
254	что он	13	1
255	жизнь со	1	1
256	в каком-то	1	1
257	церковь как	1	1
258	только в	5	1
259	во всем	3	1
260	по своей	1	1
261	от этого	1	1
262	в этот	1	1
263	в самом	7	1
264	и знание	2	1
265	к чему	1	1
266	то время	4	1
267	и жизни	6	1
268	был ли	1	1
269	из этих	2	1
270	что ничего	1	1
271	же и	2	1
272	если есть	1	1
273	и у	2	1
274	мира но	1	1
275	вопроса о	1	1
276	дальше и	1	1
277	существу своему	1	1
278	вообще не	2	1
279	бог не	1	1
280	вера в	1	1
281	из них	3	1
282	она становится	1	1
283	сами эти	2	1
284	бы к	1	1
285	все еще	2	1
286	мир в	3	1
287	для того	3	1
288	считают себя	1	1
289	в старых	1	1
290	как часто	1	1
291	всяком случае	2	1
292	и когда	2	1
293	сами по	3	1
294	духа как	1	1
295	говорим что	1	1
296	но ведь	1	1
297	не ставится	1	1
298	друг друга	3	1
299	бытия и	2	1
300	христианство и	1	1
301	могли не	1	1
302	людей и	2	1
303	тем что	3	1
304	от того	4	1
305	вот что	1	1
306	в основу	1	1
307	но все	1	1
308	это конечно	1	1
309	от нее	1	1
310	это значит	24	1
311	в глубине	1	1
312	пришли к	1	1
313	знает что	1	1
314	общества в	1	1
315	к природе	3	1
316	в человечестве	2	1
317	было бы	5	1
318	в каких	1	1
319	он есть	3	1
320	сам себя	1	1
321	а это	1	1
322	весь мир	1	1
323	себя и	2	1
324	что не	5	1
325	но оно	1	1
326	обратиться к	1	1
327	их не	2	1
328	превращается в	6	1
329	нет в	1	1
330	есть соединение	1	1
331	это привело	2	1
332	они не	2	1
333	фиктивным а	1	1
334	ничем не	7	1
335	не на	6	1
336	на материальный	1	1
337	этого не	2	1
338	не всегда	1	1
339	идеями и	1	1
340	этом я	1	1
341	когда она	1	1
342	что мы	8	1
343	не больше	3	1
344	ближе к	1	1
345	он и	3	1
346	менее чем	1	1
347	в этих	1	1
348	во время	1	1
349	уже давно	1	1
350	но до	1	1
351	личностей и	1	1
352	жизнь не	2	1
353	но если	6	1
354	необходимость и	2	1
355	будет в	1	1
356	сами не	1	1
357	в миру	1	1
358	в такой	1	1
359	средним векам	1	1
360	в котором	1	1
361	с своими	1	1
362	что вся	1	1
363	будущее и	1	1
364	ничего нет	5	1
365	до которых	1	1
366	нет ни	2	1
367	пр в	1	1
368	и мир	1	1
369	у нас	4	1
370	в зависимости	2	1
371	в силу	3	1
372	но он	1	1
373	творчества и	1	1
374	быть только	2	1
375	и более	1	1
376	есть еще	3	1
377	их в	2	1
378	что этот	2	1
379	том смысле	1	1
380	капиталистическая европа	1	1
381	быть не	2	1
382	по себе	20	1
383	есть всегда	5	1
384	в это	1	1
385	нас к	2	1
386	природе но	1	1
387	и очень	1	1
388	нет никакого	7	1
389	и истории	1	1
390	фикция и	1	1
391	сих пор	1	1
392	так как	6	1
393	оба они	1	1
394	мира не	1	1
395	должна играть	1	1
396	должны быть	3	1
397	она должна	2	1
398	в сущности	10	1
399	идея личности	1	1
400	средневековье не	1	1
401	и бытия	1	1
402	и имеет	1	1
403	истории что	1	1
404	до сих	1	1
405	если взять	1	1
406	и скоро	1	1
407	и никакой	2	1
408	в силах	1	1
409	в христианстве	3	1
410	мира так	1	1
411	того и	2	1
412	оснований думать	1	1
413	о природе	1	1
414	которая в	1	1
415	что сами	1	1
416	особого рода	3	1
417	они являются	1	1
418	или нет	5	1
419	верят в	1	1
420	к этой	2	1
421	к ней	1	1
422	я хочу	1	1
423	не останется	1	1
424	и его	5	1
425	тут мы	2	1
426	или не	5	1
427	есть уже	1	1
428	основе их	1	1
429	мы переходим	1	1
430	совсем нельзя	1	1
431	для другого	1	1
432	ни за	1	1
433	возможно лишь	1	1
434	или к	2	1
435	только одна	3	1
436	нет ничего	9	1
437	в каком	3	1
438	личности с	1	1
439	характерны для	1	1
440	гуманизм как	1	1
441	есть только	12	1
442	есть признак	1	1
443	есть и	12	1
444	и дух	1	1
445	в которой	1	1
446	всегда есть	5	1
447	тогда не	2	1
448	во всяком	2	1
449	социальные и	1	1
