N	3gram	Losev_Prob_2	StatiiOP
1	в том что	4	16
2	о том что	14	11
3	в этом отношении	1	9
4	и т д	6	6
5	до сих пор	4	5
6	вместе с тем	1	5
7	для того чтобы	2	5
8	то обстоятельство что	1	4
9	иметь в виду	1	3
10	так же как	1	3
11	с другой стороны	5	3
12	во всяком случае	10	3
13	с самого начала	2	3
14	вопрос о том	2	3
15	том что в	2	2
16	только потому что	1	2
17	сами по себе	2	2
18	бы то ни	2	2
19	то что в	1	2
20	то ни было	1	2
21	и в этом	3	2
22	всяком случае не	2	2
23	в этих словах	1	2
24	более или менее	4	2
25	так и в	1	2
26	не только не	2	2
27	в самом деле	2	2
28	но все же	1	2
29	на то что	4	2
30	по этому поводу	2	2
31	тем не менее	12	2
32	но как раз	1	1
33	хотя бы даже	1	1
34	что в этом	1	1
35	на свете и	1	1
36	чтобы можно было	1	1
37	одним и тем	1	1
38	не говоря уже	4	1
39	на самом деле	2	1
40	в настоящее время	16	1
41	не было этого	2	1
42	в этом смысле	5	1
43	так что в	2	1
44	внимание на то	1	1
45	он не может	1	1
46	была бы невозможной	1	1
47	о чем и	1	1
48	не имеет никакого	2	1
49	говоря уже о	4	1
50	точно так же	3	1
51	если оно не	1	1
52	что язык не	1	1
53	и вообще не	1	1
54	в зависимости от	1	1
55	уже о том	1	1
56	ни о каком	1	1
57	в данном случае	5	1
58	и тем же	1	1
59	в свете этой	1	1
60	и что поэтому	1	1
61	в конце концов	7	1
62	себе и в	2	1
63	и то же	1	1
64	имеет ничего общего	2	1
65	те или другие	4	1
66	в известном смысле	1	1
67	как и вообще	1	1
68	так или иначе	6	1
69	самого себя и	1	1
70	в связи с	5	1
71	но вместе с	1	1
72	друг к другу	2	1
73	потому что они	1	1
74	в свое время	1	1
75	но и вообще	1	1
76	а то что	1	1
77	ни в каком	4	1
78	не то что	1	1
79	что на этой	1	1
80	заключается в том	2	1
81	в то время	1	1
82	имея в виду	2	1
83	в этом случае	7	1
84	к выводу что	1	1
85	ничего общего с	2	1
86	принадлежит в языке	1	1
87	и тут не	1	1
88	только в его	1	1
89	судить по тому	1	1
90	в каком смысле	1	1
91	в то же	4	1
92	можно судить по	1	1
93	каком смысле не	1	1
94	в том числе	2	1
95	нет и речи	1	1
96	в какой-то мере	1	1
97	не будет иметь	1	1
98	не имеет ничего	2	1
