N	2gram	Vinokur_Vv_1	BTomashe
1	у нас	2	3
2	и не	13	2
3	все это	6	2
4	в ней	3	2
5	ее задач	1	2
6	видеть в	1	2
7	можно было	7	2
8	не то	1	2
9	крайней мере	4	1
10	тем более	2	1
11	остановиться на	1	1
12	также что	1	1
13	говорить о	3	1
14	бы только	1	1
15	будто бы	2	1
16	об этом	5	1
17	и в	27	1
18	не вполне	4	1
19	ясного и	1	1
20	и о	1	1
21	моментом в	1	1
22	что все	1	1
23	не признать	3	1
24	с другой	8	1
25	в своей	4	1
26	литературы как	1	1
27	на самом	1	1
28	на которой	1	1
29	как некоторого	1	1
30	как будто	3	1
31	не следует	2	1
32	было бы	5	1
33	все же	8	1
34	всяком случае	3	1
35	кроме того	1	1
36	установка на	1	1
37	никак не	1	1
38	между ними	2	1
39	еще не	4	1
40	и на	3	1
41	по меньшей	2	1
42	стоит на	1	1
43	одной из	3	1
44	вместе взятое	1	1
45	должна быть	2	1
46	в значительной	2	1
47	прежде всего	8	1
48	для которой	1	1
49	в данном	11	1
50	если таким	2	1
51	так и	1	1
52	о них	2	1
53	не было	1	1
54	то как	1	1
55	совершенно не	1	1
56	чтобы можно	2	1
57	всего в	1	1
58	до конца	3	1
59	ней только	1	1
60	неудивительно что	1	1
61	нельзя не	4	1
62	не со	1	1
63	этой книги	2	1
64	а не	3	1
65	что в	11	1
66	в области	4	1
67	другой стороны	5	1
68	меньшей мере	2	1
69	также не	1	1
70	и ее	4	1
71	по крайней	4	1
72	признать его	1	1
73	чем на	1	1
74	короче говоря	1	1
75	таким образом	19	1
76	вопрос о	8	1
77	и более	1	1
78	не только	21	1
79	значительной степени	1	1
80	во всяком	3	1
81	в эпоху	1	1
