N	3gram	Bakhtin_KF_1	formyVre
1	то же время	2	9
2	в то же	2	6
3	и того же	1	5
4	одного и того	1	5
5	и в то	1	5
6	для того чтобы	1	5
7	времени и пространства	1	4
8	нашей точки зрения	1	3
9	по отношению к	22	3
10	пространства и времени	1	3
11	может быть только	7	3
12	с нашей точки	1	3
13	не может быть	11	3
14	в ее основных	1	2
15	в этом мире	1	2
16	в чем не	4	2
17	дело в том	1	2
18	равно как и	1	2
19	в соответствии с	2	2
20	как если бы	1	2
21	с точки зрения	9	2
22	не было и	1	2
23	ни в чем	4	2
24	в нем в	1	2
25	вместе с тем	1	2
26	может быть и	1	2
27	не для того	1	2
28	в его целом	10	2
29	но для того	1	2
30	в его мире	1	2
31	в ее целом	2	2
32	место и в	1	2
33	но все эти	3	2
34	той или иной	2	2
35	в том что	2	2
36	и может быть	2	1
37	на том что	1	1
38	а следовательно и	1	1
39	нет но как	1	1
40	события его жизни	1	1
41	в данный момент	3	1
42	и во всех	1	1
43	его жизни в	1	1
44	ровно ничего не	1	1
45	имеем в виду	2	1
46	он вступает в	1	1
47	в средние века	1	1
48	в том же	1	1
49	в единый и	1	1
50	одно из проявлений	1	1
51	всех этих моментах	1	1
52	но все это	1	1
53	в зависимости от	1	1
54	в этом ее	1	1
55	он ни был	2	1
56	в нем как	4	1
57	со всех сторон	1	1
58	по самому своему	1	1
59	это не имеет	1	1
60	включает в себя	2	1
61	в значительной степени	1	1
62	но нет и	1	1
63	но в то	1	1
64	имеет место и	1	1
65	играть в нем	1	1
66	смысле этого слова	1	1
67	в себя и	1	1
68	и в этом	3	1
69	и как бы	1	1
70	смысле и в	1	1
71	в этот момент	1	1
72	и в трагедии	1	1
73	во всяком случае	1	1
74	когда мы говорим	1	1
75	во всех этих	2	1
76	и все же	1	1
77	это с его	1	1
78	в свою очередь	1	1
79	но отнюдь не	1	1
80	и в котором	1	1
81	и пространства и	1	1
82	будем говорить в	1	1
83	но в этом	1	1
84	он не имеет	1	1
85	мы будем говорить	1	1
86	мы говорим о	1	1
87	данный момент в	1	1
88	тогда когда оно	1	1
89	бы он ни	2	1
90	отнюдь не являются	1	1
91	во всех его	1	1
