N	2gram	Potebnia_M_3	Tragedij
1	и в	30	18
2	в этом	10	9
3	не только	21	8
4	он сам	1	7
5	и с	2	7
6	и на	3	7
7	может быть	28	7
8	как бы	3	7
9	и не	15	7
10	но в	1	6
11	и его	4	6
12	в образе	3	6
13	же время	5	6
14	что он	6	6
15	у него	2	6
16	то же	23	5
17	все же	2	5
18	что это	4	5
19	это не	1	5
20	как и	10	5
21	несмотря на	2	5
22	в то	10	5
23	так и	11	5
24	не может	6	5
25	еще не	5	4
26	в себе	16	4
27	в целом	3	4
28	в этой	2	4
29	в нем	9	4
30	об этом	2	4
31	том что	18	4
32	что я	5	4
33	и что	10	4
34	но и	19	4
35	и даже	2	4
36	прежде всего	3	4
37	так же	3	4
38	но это	6	4
39	все это	4	4
40	этот образ	4	4
41	что в	17	4
42	и все	3	4
43	то что	18	4
44	что образ	1	3
45	в мире	1	3
46	и он	1	3
47	как в	10	3
48	в своем	5	3
49	и как	5	3
50	все эти	1	3
51	при этом	3	3
52	то есть	34	3
53	должно быть	5	3
54	тем самым	7	3
55	что с	2	3
56	в поле	1	3
57	мог бы	1	3
58	жизнь и	1	3
59	с ним	6	3
60	к нему	3	3
61	в его	4	3
62	один из	4	3
63	романа и	1	3
64	уже в	5	3
65	для него	9	3
66	никто не	3	3
67	один в	1	3
68	если б	5	2
69	вряд ли	1	2
70	в первом	3	2
71	и до	2	2
72	что эти	1	2
73	а как	2	2
74	из своих	1	2
75	и то	8	2
76	он был	1	2
77	но этого	1	2
78	столь же	4	2
79	с его	1	2
80	отношение к	2	2
81	отличие от	1	2
82	тут же	2	2
83	так что	7	2
84	и я	1	2
85	о жизни	1	2
86	это был	1	2
87	перед нами	2	2
88	имеет в	1	2
89	в самом	8	2
90	то и	6	2
91	он не	4	2
92	что она	3	2
93	но все	2	2
94	что все	3	2
95	его в	3	2
96	знает что	1	2
97	в глазах	1	2
98	ни в	2	2
99	с тем	7	2
100	вопрос о	1	2
101	но эта	1	2
102	не в	15	2
103	что этот	1	2
104	раз и	1	2
105	не имеет	6	2
106	не могут	5	2
107	его за	1	2
108	к тому	7	2
109	и это	4	2
110	самое мгновение	1	2
111	в ее	2	2
112	данном случае	1	2
113	не за	1	2
