N	2gram	Medvedev_U_1	Vvedenie
1	и в	14	32
2	в том	2	31
3	в этом	7	30
4	том что	2	26
5	может быть	6	26
6	не только	10	22
7	таким образом	2	19
8	то что	7	16
9	не может	7	14
10	но также	1	14
11	в самом	2	13
12	в нем	1	13
13	о том	1	13
14	в их	4	12
15	в его	2	12
16	того что	1	12
17	только в	2	12
18	и не	8	12
19	как на	1	12
20	в данном	1	11
21	что такое	4	11
22	что в	1	10
23	то же	5	9
24	но в	3	9
25	по себе	2	9
26	между тем	2	9
27	в той	1	9
28	этом смысле	2	9
29	это не	3	8
30	не в	2	8
31	с другой	4	8
32	самом деле	2	7
33	но не	2	7
34	все же	3	7
35	было бы	3	7
36	прежде всего	8	7
37	смысле этого	2	7
38	о котором	1	7
39	в большей	1	7
40	только как	1	7
41	и это	1	6
42	широком смысле	1	6
43	с тем	1	6
44	как и	3	6
45	в то	3	6
46	в качестве	1	6
47	же время	3	6
48	тем что	2	6
49	не могут	2	6
50	и даже	1	6
51	до сих	2	6
52	но и	4	6
53	сих пор	2	6
54	все это	5	6
55	хотя бы	5	6
56	одним из	2	5
57	а как	2	5
58	в широком	2	5
59	об этом	1	5
60	данном случае	1	5
61	но если	1	5
62	в которых	1	5
63	сказать что	1	5
64	могут быть	2	5
65	быть в	1	5
66	не есть	2	5
67	а не	10	5
68	в течение	1	5
69	в г	1	5
70	другой стороны	3	5
71	и то	3	4
72	той же	1	4
73	мы имеем	1	4
74	независимо от	1	4
75	уже не	1	4
76	так или	1	4
77	в себе	2	4
78	этот процесс	1	4
79	в своей	3	4
80	в котором	1	4
81	по крайней	2	4
82	и т.д	3	4
83	и что	1	4
84	крайней мере	2	4
85	что он	2	4
86	с одной	1	4
87	в виде	1	4
88	одно из	1	4
89	само по	1	4
90	как раз	2	4
91	этом отношении	2	4
92	даже и	2	4
93	одной стороны	1	4
94	или иначе	1	4
95	о чем	2	4
96	этом случае	1	4
97	и для	2	4
98	об искусстве	1	4
99	не вполне	1	3
100	в виду	1	3
101	и этого	1	3
102	в различных	1	3
103	бы и	2	3
104	в этой	4	3
105	в известном	1	3
106	что она	2	3
107	если бы	2	3
108	не как	3	3
109	в свое	1	3
110	этой области	3	3
111	тогда когда	1	3
112	в области	3	3
113	в ней	1	3
114	истории литературы	3	3
115	вот почему	7	3
116	как науки	1	3
117	можно сказать	1	3
118	в конечном	4	3
119	что с	1	3
120	в конце	2	3
121	что и	2	3
122	может служить	1	3
123	но что	1	3
124	именно как	2	3
125	или меньшей	1	3
126	до конца	1	3
127	что же	1	3
128	большей или	1	3
129	материал для	2	3
130	в своем	1	3
131	наука о	1	3
132	к этому	1	3
133	в частности	3	3
134	вряд ли	3	2
135	же как	1	2
136	искусство и	1	2
137	художественных произведений	2	2
138	должна быть	2	2
139	научного анализа	1	2
140	что мы	2	2
141	мы не	2	2
142	имеет свою	1	2
143	литературы и	2	2
144	надо было	2	2
145	материалов и	1	2
146	в этот	1	2
147	меньшей мере	1	2
148	не следует	3	2
149	о которой	1	2
150	и с	2	2
151	входит в	1	2
152	поэтов и	1	2
153	этого не	1	2
154	должно быть	1	2
155	как искусство	1	2
156	не столько	2	2
157	и истории	1	2
158	того как	1	2
159	по меньшей	1	2
160	никогда не	1	2
161	ничего не	2	2
162	истории искусств	1	2
163	находятся в	1	2
164	находит себе	1	2
165	этого термина	2	2
166	у нас	3	2
167	в совокупности	1	2
168	значительной мере	1	2
169	так и	1	2
170	отсюда и	1	2
171	для этого	3	2
172	же самое	2	2
173	смысле и	1	2
174	искусства и	1	2
175	в значительной	1	2
176	говорит он	1	2
177	язык в	1	2
178	тем более	1	2
179	история литературы	1	2
180	и так	1	2
181	литературы в	1	2
182	течение многих	1	2
183	мы можем	1	2
184	по его	1	2
185	и др	1	2
186	не было	1	2
187	должна была	2	2
188	из которых	1	2
189	по существу	2	2
190	еще раз	1	2
191	но это	2	2
192	это уже	2	2
193	не существует	1	2
194	обе эти	1	2
195	то о	1	2
196	бы в	1	2
197	конце концов	2	2
198	природе и	1	2
199	он и	1	2
200	время не	1	2
201	это в	1	2
202	сам по	1	1
203	как такового	3	1
204	метода он	1	1
205	установка на	1	1
206	объясняется и	1	1
207	или системой	1	1
208	как метода	2	1
209	быть оправдано	1	1
210	меньшей степени	2	1
211	заключенных в	1	1
212	он был	1	1
213	нам представляется	2	1
214	своей работе	1	1
215	в сторону	2	1
216	в противовес	2	1
217	очевидно что	3	1
218	существование в	1	1
219	нет и	1	1
220	мы снова	1	1
221	изучение этого	1	1
222	и исторические	1	1
223	что по	1	1
224	более или	1	1
225	на элемент	1	1
226	из самых	1	1
227	и ученики	1	1
228	не приходится	2	1
229	в которой	1	1
230	он в	1	1
231	имеем в	1	1
232	на то	1	1
233	на его	1	1
234	случае все	1	1
235	направлено на	1	1
236	перестает быть	5	1
237	слова а	1	1
238	не значит	1	1
239	принципа в	1	1
240	то ни	3	1
241	что все	2	1
242	историю литературы	1	1
243	был первым	1	1
244	материала и	2	1
245	искусства в	1	1
246	в итоге	2	1
247	к области	2	1
248	его и	2	1
249	бы только	1	1
250	поэтика и	1	1
251	несомненно представляет	1	1
252	была уже	1	1
253	иначе говоря	1	1
254	или менее	1	1
255	метода в	1	1
256	почти не	1	1
257	целого но	1	1
258	напр в	1	1
259	которых так	1	1
260	не самый	1	1
261	широком и	1	1
262	для изучения	1	1
263	но он	1	1
264	в россии	4	1
265	что было	1	1
266	особую науку	1	1
267	речи в	1	1
268	что этот	1	1
269	задачи и	1	1
270	так он	1	1
271	литературы как	1	1
272	менее заметным	1	1
273	было у	1	1
274	о методах	1	1
275	эпоху к	1	1
276	а для	1	1
277	так много	1	1
278	почему в	1	1
279	это то	1	1
280	и является	2	1
281	методологии истории	1	1
282	превращается в	2	1
283	что при	1	1
284	для себя	1	1
285	правда не	1	1
286	как таковым	1	1
287	только при	1	1
288	для читателя	1	1
289	состоять в	1	1
290	словесного искусства	1	1
291	к проблемам	1	1
292	бы то	3	1
293	это было	2	1
294	все в	1	1
295	для второго	1	1
296	выяснять причины	1	1
297	так возникает	1	1
298	неудивительно что	2	1
299	т.д в	1	1
300	на одно	1	1
301	с которыми	1	1
302	не то	1	1
303	без этого	1	1
304	можем его	1	1
305	к сумме	1	1
306	и у	2	1
307	вопроса о	2	1
308	а это	1	1
309	или даже	1	1
310	области в	1	1
311	для него	3	1
312	вообще в	1	1
313	содержания и	1	1
314	содержание и	1	1
315	у него	1	1
316	биографии данного	1	1
317	деле есть	1	1
318	эта работа	1	1
319	есть язык	1	1
320	и прежде	1	1
321	о принципах	1	1
322	на эту	2	1
323	вопрос построения	1	1
324	если не	2	1
325	к лицу	1	1
326	и потому	1	1
327	чем то	1	1
328	а между	2	1
329	чем к	1	1
330	для первого	1	1
331	это значит	1	1
332	искусства вообще	1	1
333	методе и	1	1
334	быть не	1	1
335	впрочем не	1	1
336	но для	1	1
337	или по	1	1
338	искусства как	2	1
339	науки об	1	1
340	всего что	1	1
341	и все	1	1
342	ни было	3	1
343	же в	1	1
344	в системе	2	1
345	не исключительно	1	1
346	месте в	1	1
347	состоит из	1	1
348	впервые в	1	1
349	есть наука	1	1
350	самое что	1	1
351	ее в	1	1
352	и эта	1	1
353	в таком	1	1
354	все что	1	1
