N	2gram	Berdyaev_N_1	VLabPisa
1	в этом	7	26
2	и в	16	25
3	не только	5	22
4	может быть	7	21
5	хотя бы	2	20
6	и не	11	19
7	не может	16	17
8	творческий процесс	1	15
9	в его	1	15
10	в том	8	13
11	прежде всего	4	13
12	как это	2	12
13	все это	5	12
14	в силу	1	11
15	вот что	1	11
16	с другой	3	11
17	из них	1	11
18	не могут	1	10
19	о том	4	10
20	что в	9	9
21	но и	3	9
22	в своем	1	8
23	все эти	2	8
24	другой стороны	2	8
25	могут быть	2	8
26	во всех	3	7
27	из этих	1	7
28	было бы	1	7
29	как и	7	7
30	том что	2	7
31	не было	4	7
32	а не	17	7
33	вместе с	2	7
34	это и	2	6
35	в зависимости	1	6
36	в себе	2	6
37	в нем	5	6
38	это не	4	6
39	их в	1	6
40	и его	1	6
41	в то	2	6
42	так и	2	6
43	у него	2	6
44	то что	4	6
45	и есть	10	5
46	зависимости от	1	5
47	не в	6	5
48	приводит к	1	5
49	сказать что	3	5
50	только в	1	5
51	с его	6	4
52	в этой	1	4
53	в самом	1	4
54	в статье	1	4
55	что все	2	4
56	них не	1	4
57	в них	4	4
58	одна из	2	4
59	никогда не	6	4
60	вот почему	2	4
61	к тому	3	4
62	должен быть	5	4
63	в ее	3	4
64	познания и	2	4
65	можно сказать	1	4
66	что он	1	4
67	равно как	2	4
68	в своей	3	4
69	человека и	3	3
70	в котором	1	3
71	нет и	2	3
72	с этим	2	3
73	и к	5	3
74	что не	1	3
75	с тем	3	3
76	во время	1	3
77	у нас	1	3
78	и отдельных	1	3
79	она не	3	3
80	и трудно	1	3
81	в виду	1	3
82	в значительной	1	3
83	и мир	1	3
84	и их	1	3
85	в конце	1	3
86	попал в	1	3
87	так же	2	3
88	по существу	2	3
89	и от	2	3
90	а белый	1	3
91	жизни и	8	3
92	как на	1	3
93	смысле слова	3	2
94	также что	1	2
95	и через	1	2
96	связана с	2	2
97	он может	1	2
98	и этот	1	2
99	же как	2	2
100	часто не	1	2
101	в которой	1	2
102	говорить о	1	2
103	то это	1	2
104	разобраться в	1	2
105	в ней	5	2
106	еще не	3	2
107	что его	1	2
108	в чем	1	2
109	но не	2	2
110	том числе	1	2
111	что нет	1	2
112	хотя и	2	2
113	но в	2	2
114	он в	1	2
115	ни одна	2	2
116	что она	2	2
117	он не	8	2
118	том чтобы	2	2
119	подобно тому	3	2
120	человека в	1	2
121	с другими	1	2
122	в жизни	5	2
123	не всегда	1	2
124	он и	1	2
125	и для	4	2
126	что такое	3	2
127	всяком случае	1	2
128	не столько	1	2
129	по себе	1	2
130	не менее	4	2
131	дня и	3	2
132	не по	1	2
133	того чтобы	2	2
134	и весь	2	2
135	в области	1	2
136	ли это	2	2
137	от того	1	2
138	нет ни	1	2
139	и заключается	2	2
140	числе и	1	2
141	должны быть	1	2
142	для того	1	2
143	на это	1	2
144	формы и	2	2
145	роль в	2	2
146	в образе	1	2
147	и даже	2	2
148	во всяком	1	2
149	лишь в	6	2
150	значит что	4	2
151	и быть	1	2
152	с одной	2	2
153	к ним	3	2
154	одной стороны	2	2
155	до сих	1	2
156	зависит от	2	2
157	что мы	1	2
158	тому как	3	2
159	и потому	4	2
160	войны и	2	2
161	и формы	2	2
162	как например	1	2
163	сих пор	1	2
164	но для	2	2
165	можно было	2	2
166	мира и	2	2
167	огромную роль	1	2
168	будто бы	1	2
169	все они	2	2
170	а в	2	2
171	не быть	1	2
172	они не	1	2
173	новое время	4	1
174	ограничен и	1	1
175	силы и	2	1
176	огромного труда	1	1
177	оно может	1	1
178	этой эпохе	1	1
179	должна быть	3	1
180	со всех	4	1
181	за его	1	1
182	вопрос о	3	1
183	духовной и	1	1
184	но она	2	1
185	на себя	1	1
186	не способен	1	1
187	всех сторон	4	1
188	это время	1	1
189	становится в	1	1
190	быть в	2	1
191	не был	1	1
192	и мира	1	1
193	во имя	15	1
194	по своему	4	1
195	характеризует это	1	1
196	это совсем	2	1
197	значение и	1	1
198	себе и	1	1
199	в свои	2	1
200	в известном	1	1
201	лицом к	3	1
202	в истории	3	1
203	и мистике	1	1
204	борьбы со	1	1
205	говорит что	1	1
206	связанный с	1	1
207	в каком-то	1	1
208	а во-вторых	1	1
209	уже в	1	1
210	к достижению	1	1
211	если есть	1	1
212	класса на	1	1
213	дальше и	1	1
214	характерны для	1	1
215	идей и	1	1
216	и еще	1	1
217	не значит	3	1
218	уже не	2	1
219	заключает в	1	1
220	чего он	1	1
221	на протяжении	2	1
222	это одна	1	1
223	этом смысле	2	1
224	и целиком	1	1
225	в новое	3	1
226	говорим о	1	1
227	и творчества	2	1
228	для них	1	1
229	хотим сказать	1	1
230	этого не	1	1
231	быть принята	1	1
