N	3gram	Tiupa_Narr_1	Formalny
1	не может быть	5	10
2	в связи с	2	10
3	с точки зрения	2	7
4	в этом отношении	3	7
5	в самом деле	1	5
6	то же время	3	5
7	в то же	3	5
8	как мы видели	1	4
9	того или иного	2	4
10	на самом деле	1	3
11	и в то	1	3
12	сам по себе	1	3
13	может быть и	1	3
14	в значительной степени	2	3
15	с другой стороны	4	3
16	до известной степени	1	3
17	так и в	1	3
18	прежде всего в	1	2
19	в этом смысле	1	2
20	не было и	1	2
21	как это было	1	2
22	сами по себе	2	2
23	в отличие от	5	2
24	к тому чтобы	1	2
25	лишь постольку поскольку	1	2
26	не входит в	1	2
27	все без исключения	1	2
28	по себе а	1	2
29	но все же	4	2
30	и прежде всего	1	2
31	в том что	8	2
32	и не в	4	2
33	дистанции между ними	1	1
34	в нем определенные	1	1
35	что иное как	2	1
36	следует отметить что	1	1
37	не могло не	1	1
38	иметь в виду	1	1
39	как и для	1	1
40	как бы не	1	1
41	более или менее	2	1
42	в этом последнем	1	1
43	и в особенности	1	1
44	в отрыве от	1	1
45	он не может	1	1
46	с одной стороны	7	1
47	что он уже	1	1
48	до сих пор	1	1
49	в его специфической	1	1
50	в таком случае	2	1
51	же время в	1	1
52	и должна быть	1	1
53	как мы увидим	1	1
54	это не так	1	1
55	в той мере	1	1
56	что каждый из	1	1
57	том или ином	2	1
58	во всей его	1	1
59	по крайней мере	1	1
60	то или иное	2	1
61	в том или	2	1
62	все равно что	1	1
63	в данном случае	4	1
64	в том чтобы	1	1
65	и тот же	1	1
66	так или иначе	2	1
67	все же не	4	1
68	то что он	1	1
69	а не как	1	1
70	так и для	1	1
71	бы то ни	3	1
72	которое не может	1	1
73	роль в произведении	1	1
74	мере в какой	1	1
75	высказывания как целого	1	1
76	именно в том	2	1
77	один и тот	1	1
78	он уже не	1	1
79	только то что	1	1
80	очевидно что в	1	1
81	есть не что	1	1
82	только в качестве	1	1
83	и тем самым	3	1
84	в свою очередь	3	1
85	несмотря на свой	1	1
86	времени и пространстве	5	1
87	он не есть	1	1
88	по аналогии с	1	1
89	совершенно очевидно что	1	1
90	не что иное	2	1
91	тем не менее	3	1
92	то что они	1	1
93	той мере в	1	1
94	а не в	2	1
95	как и в	1	1
96	и больше всего	1	1
97	на сегодняшний день	1	1
