N	3gram	Tiupa_Teor_1	Istorich
1	в этих случаях	1	8
2	точно так же	1	6
3	мы имеем в	3	5
4	в том что	8	5
5	со всех сторон	1	4
6	так же как	1	4
7	в связи с	1	4
8	по отношению к	4	3
9	подобно тому как	1	3
10	с одной стороны	2	3
11	что иное как	1	2
12	иметь в виду	1	2
13	в таких случаях	1	2
14	не что иное	1	2
15	в одном случае	1	2
16	с другой стороны	5	2
17	не может быть	4	2
18	о том что	1	2
19	дело не в	1	2
20	том что в	1	1
21	в лес но	1	1
22	в виду что	1	1
23	друг от друга	1	1
24	в одной из	1	1
25	а в русской	1	1
26	в отличие от	6	1
27	мы видим в	1	1
28	с которыми он	1	1
29	и здесь мы	1	1
30	и то же	1	1
31	как один из	1	1
32	тем не менее	3	1
33	при этом они	1	1
34	так или иначе	4	1
35	в следующей главе	1	1
36	при всей своей	1	1
37	на вопрос о	1	1
38	есть не что	1	1
39	не только не	2	1
40	а в другом	1	1
41	в последней главе	1	1
42	из этих двух	1	1
43	в силу своей	1	1
44	один из видов	1	1
45	именно эта сторона	1	1
46	но в отличие	1	1
