N	2gram	Vinokur_St_1	PoTuStor
1	может быть	15	17
2	и в	44	16
3	в этом	21	9
4	таким образом	7	9
5	и только	3	9
6	прежде всего	7	9
7	и с	3	8
8	точки зрения	11	8
9	и его	8	8
10	не может	8	8
11	совершенно не	5	8
12	с его	1	7
13	не только	18	7
14	сказать что	7	7
15	самом деле	11	6
16	конечно не	2	6
17	при этом	2	6
18	с точки	8	6
19	и это	2	6
20	для него	6	6
21	и к	1	6
22	еще не	3	5
23	в чем	3	5
24	отношение к	2	5
25	все эти	5	5
26	что такое	1	5
27	ни в	3	5
28	нуждается в	1	5
29	как бы	4	5
30	на самом	6	4
31	и на	1	4
32	но в	10	4
33	в этой	11	4
34	в нем	5	4
35	его в	2	4
36	в один	1	4
37	все это	5	4
38	как мы	1	4
39	с самого	1	4
40	так и	9	4
41	можно сказать	1	4
42	в его	9	4
43	а потому	2	4
44	только в	10	4
45	и их	2	4
46	так как	5	4
47	и даже	5	4
48	но и	10	4
49	и не	16	4
50	и все	2	4
51	хотя бы	6	4
52	если б	1	3
53	отношения к	2	3
54	тех же	1	3
55	едва ли	1	3
56	во всех	8	3
57	и есть	1	3
58	с их	1	3
59	на две	1	3
60	и вот	1	3
61	их в	2	3
62	этом смысле	1	3
63	том что	29	3
64	во время	3	3
65	никаких оснований	2	3
66	сих пор	7	3
67	в одном	1	3
68	по крайней	2	3
69	и притом	1	3
70	в основе	3	3
71	до сих	7	3
72	чем не	1	3
73	на язык	1	3
74	крайней мере	2	3
75	в том	36	3
76	всяком случае	6	3
77	даже не	4	3
78	в области	14	3
79	и др	1	3
80	вместе с	1	3
81	и потому	2	3
82	как это	4	3
83	могут быть	5	3
84	что в	30	3
85	в этих	2	3
86	а в	17	3
87	то что	18	3
88	жизни и	5	3
89	во всяком	6	3
90	же как	3	2
91	в самом	7	2
92	и этот	1	2
93	мы не	2	2
94	и о	1	2
95	из сказанного	1	2
96	говорить о	2	2
97	того же	3	2
98	и говорить	1	2
99	на них	1	2
100	между собой	1	2
101	из этих	6	2
102	совсем не	2	2
103	но как	1	2
104	нет и	1	2
105	за пределы	2	2
106	меньше всего	1	2
107	с этим	3	2
108	что это	4	2
109	но ведь	8	2
110	вообще не	2	2
111	он не	2	2
112	нашего времени	1	2
113	и исключительно	1	2
114	и по	5	2
115	то же	5	2
116	связанные с	3	2
117	на протяжении	1	2
118	нечего и	1	2
119	было бы	17	2
120	кажется что	3	2
121	по всему	1	2
122	в них	1	2
123	всю жизнь	1	2
124	как и	9	2
125	в своей	6	2
126	почти не	1	2
127	не менее	5	2
128	в науке	1	2
129	никогда не	5	2
130	только и	1	2
131	и лишь	1	2
132	таким путем	1	2
133	что на	2	2
134	в каком	3	2
135	не могут	1	2
