N	3gram	Berdyaev_N_1	Komedia
1	до сих пор	1	9
2	в том что	1	9
3	о том что	1	4
4	вместе с тем	2	3
5	во всяком случае	1	3
6	с одной стороны	2	3
7	наряду с этим	1	2
8	вполне возможно что	1	2
9	то время как	1	2
10	с другой стороны	2	2
11	в то время	1	2
12	равно как и	2	1
13	подобно тому как	3	1
14	в том числе	1	1
15	как это было	1	1
16	в зависимости от	1	1
17	мы конечно не	1	1
18	не было и	1	1
19	в отличие от	1	1
20	и не может	1	1
21	может быть только	1	1
22	еще не знает	1	1
23	в том чтобы	1	1
24	то что он	1	1
25	и до сих	1	1
26	вопрос о том	2	1
27	лицом к лицу	3	1
28	том числе и	1	1
