N	2gram	Propp_Morf_1	slovoVRo
1	и в	13	39
2	может быть	52	37
3	и т	41	35
4	и его	1	33
5	не только	4	24
6	и не	12	22
7	но и	4	21
8	не может	14	20
9	в этом	14	16
10	так и	6	15
11	а не	11	14
12	отличие от	1	13
13	как в	3	13
14	в пределах	3	13
15	во всех	4	12
16	передачи и	2	10
17	вовсе не	4	10
18	и с	1	9
19	не в	3	9
20	таким образом	21	8
21	оно не	2	8
22	себя в	1	8
23	прежде всего	9	8
24	точки зрения	2	8
25	еще не	3	7
26	с его	2	7
27	в него	1	7
28	при этом	1	7
29	в этих	13	7
30	для него	1	7
31	могут быть	16	7
32	как мы	6	7
33	в его	1	7
34	и даже	1	7
35	как бы	3	7
36	в сущности	3	6
37	но не	4	6
38	все же	7	6
39	и к	4	6
40	но в	2	6
41	все эти	2	6
42	в них	1	6
43	как и	3	6
44	она не	2	6
45	в большинстве	3	6
46	там где	5	6
47	этом случае	8	6
48	например в	2	5
49	в быту	1	5
50	это не	6	5
51	том что	4	5
52	не могут	4	5
53	но все	3	5
54	с другой	8	5
55	один из	5	5
56	в том	6	5
57	с ними	1	5
58	с одной	1	5
59	уже не	2	5
60	и их	2	5
61	одной стороны	1	5
62	большинстве случаев	3	5
63	и для	2	5
64	только в	2	5
65	для нас	2	5
66	от него	1	5
67	и все	1	5
68	и наконец	1	5
69	формы передачи	3	4
70	его не	1	4
71	и на	1	4
72	по отношению	4	4
73	отношение к	1	4
74	связанные с	1	4
75	то же	7	4
76	слова не	1	4
77	его в	2	4
78	входит в	2	4
79	с другими	1	4
80	и иных	2	4
81	ни в	1	4
82	не менее	5	4
83	в то	3	4
84	одна из	4	4
85	в основе	1	4
86	эти формы	2	4
87	или как	1	4
88	во всем	1	4
89	здесь не	2	4
90	но здесь	1	4
91	дело с	1	4
92	форм передачи	1	4
93	для всех	1	4
94	так как	16	4
95	и др	10	4
96	себя и	2	4
97	с помощью	1	4
98	в той	1	4
99	случае она	1	4
100	а в	7	4
101	отношению к	4	4
102	в таком	1	4
103	ту же	2	3
104	как это	3	3
105	должна быть	1	3
106	собственном смысле	3	3
107	говорить о	3	3
108	в чем	1	3
109	в собственном	3	3
110	перед нами	10	3
111	и как	5	3
112	не приходится	1	3
113	на этом	3	3
114	материала и	1	3
115	не с	2	3
116	еще раз	1	3
117	с точки	2	3
118	не столько	1	3
119	точку зрения	1	3
120	связи с	10	3
121	этом отношении	1	3
122	а также	4	3
123	к нему	3	3
124	между тем	5	3
125	что и	7	3
126	быть и	2	3
127	с различными	1	3
128	у него	1	3
129	в особенности	1	3
130	точек зрения	1	3
131	и создает	1	3
132	в некоторых	3	3
133	материал в	1	3
134	стремится к	1	3
135	материал и	1	3
136	если она	2	3
137	и там	1	3
138	но это	6	3
139	что в	8	3
140	хотя бы	4	3
141	сказать что	2	3
142	героя в	4	3
143	во всяком	2	3
144	можно говорить	1	2
145	одним из	1	2
146	также и	4	2
147	это и	2	2
148	ведь и	1	2
149	мы уже	1	2
150	мы не	8	2
151	о формах	2	2
152	но она	1	2
153	с ее	1	2
154	формальных приемов	1	2
155	одним словом	1	2
156	но как	2	2
157	не все	6	2
158	с этим	11	2
159	кроме того	1	2
160	хотя и	3	2
161	как уже	2	2
162	бы только	1	2
163	более или	2	2
164	в нашем	3	2
165	в себе	1	2
166	а вовсе	1	2
167	очень велико	1	2
168	но прежде	1	2
169	на его	4	2
170	т д	39	2
171	он не	3	2
172	в виде	2	2
173	и более	1	2
174	в нее	1	2
175	конечно в	1	2
176	за ней	2	2
177	формах в	1	2
178	далеко не	5	2
179	независимо от	3	2
180	и вне	3	2
181	чем в	1	2
182	или менее	2	2
183	и другие	6	2
184	и при	1	2
185	наконец даже	1	2
186	но эта	1	2
187	которые в	1	2
188	но он	1	2
189	однако в	2	2
190	даже в	1	2
191	на котором	3	2
192	дело в	1	2
193	того как	2	2
194	материала в	1	2
195	герой только	1	2
196	того чтобы	3	2
197	в одном	1	2
198	только и	1	2
199	к ней	1	2
200	точном смысле	1	2
201	в области	1	2
202	и другим	3	2
203	оно может	3	2
204	без всякого	2	2
205	как с	1	2
206	в другом	2	2
207	те же	1	2
208	здесь как	1	2
209	на ряд	1	2
210	и здесь	5	2
211	на него	3	2
212	о том	2	2
213	но мы	3	2
214	или на	3	2
215	в различных	2	2
216	может не	1	2
217	в форме	6	2
218	все формы	1	2
219	как например	2	2
220	ни к	2	2
221	к различным	2	2
222	что он	4	2
223	мы увидим	8	2
