N	2gram	Kanaev_Sov_1	Myshleni
1	в этом	7	29
2	точки зрения	12	28
3	и в	7	26
4	не только	4	24
5	таким образом	11	23
6	с точки	5	21
7	и речи	1	19
8	в том	4	18
9	и не	6	18
10	том что	1	17
11	как и	6	15
12	так же	1	14
13	этом случае	1	14
14	как мы	2	14
15	так как	4	14
16	с помощью	4	13
17	и его	1	12
18	что в	2	12
19	вместе с	4	12
20	не может	17	11
21	только не	1	11
22	в которой	2	11
23	в развитии	4	10
24	в себе	3	9
25	мысли в	1	9
26	в самом	2	9
27	то же	3	8
28	сказать что	1	8
29	той же	2	8
30	же как	1	8
31	что она	3	8
32	только в	1	8
33	с самого	3	7
34	прежде всего	5	7
35	и к	3	7
36	представление о	1	7
37	самого начала	3	7
38	мы не	9	7
39	может быть	12	7
40	все эти	5	6
41	все же	3	6
42	вопрос о	4	6
43	что это	2	6
44	в какой	1	6
45	что эта	1	6
46	самом деле	2	6
47	именно в	1	6
48	между собой	3	6
49	было бы	3	6
50	мы должны	4	6
51	во всех	1	6
52	и что	2	6
53	а не	3	6
54	по отношению	1	6
55	все что	1	6
56	как бы	4	6
57	данном случае	1	5
58	и для	1	5
59	себе в	1	5
60	отношению к	1	5
61	и их	1	5
62	же мере	1	5
63	в начале	1	5
64	в целом	4	5
65	если бы	1	5
66	одной стороны	1	5
67	же самое	2	5
68	с одной	2	5
69	и следовательно	1	5
70	в процессе	1	5
71	она не	1	5
72	из всех	1	5
73	тем же	2	5
74	если мы	4	5
75	что с	1	5
76	в данном	1	5
77	еще не	3	4
78	и наконец	5	4
79	связи с	1	4
80	не менее	2	4
81	не в	3	4
82	приводит к	2	4
83	в конце	3	4
84	в нашем	2	4
85	и во	2	4
86	стороны и	1	4
87	не можем	7	4
88	и только	1	4
89	одной из	1	4
90	в его	2	4
91	в наших	3	4
92	то и	2	4
93	это и	1	4
94	если в	1	4
95	и от	1	4
96	никогда не	1	4
97	не могут	2	4
98	но в	3	4
99	с другой	1	4
100	в такой	1	4
101	о том	1	4
102	чем в	1	4
103	в области	3	4
104	речи мы	1	4
105	нами в	1	4
106	этого направления	1	3
107	на другую	1	3
108	его с	1	3
109	отличается от	3	3
110	обратимся к	1	3
111	мы вправе	1	3
112	только на	1	3
113	к нему	1	3
114	сих пор	1	3
115	из двух	3	3
116	в одинаковой	1	3
117	но мы	3	3
118	с ним	1	3
119	до сих	1	3
120	на котором	2	3
121	но не	1	3
122	экспериментов мы	1	3
123	есть не	1	3
124	но только	1	3
125	развития мы	2	3
126	между ними	1	3
127	на самом	1	3
128	нет и	4	3
129	это не	4	3
130	в живом	2	3
131	такой же	2	3
132	между двумя	1	3
133	из этих	2	3
134	но это	1	3
135	есть то	1	3
136	в то	1	3
137	мы в	1	3
138	по себе	1	3
139	в первом	3	3
140	тем не	2	3
141	только и	1	3
142	его значения	1	3
143	мы уже	1	3
144	в этой	3	3
145	к другому	1	3
146	мы видим	2	3
147	мы можем	6	3
148	он не	1	3
149	мы видели	4	3
150	в этот	1	3
151	и потому	3	3
152	все это	3	3
153	в ней	1	3
154	не является	1	3
155	и по	2	3
156	развития в	2	3
157	во втором	1	3
158	с ее	1	2
159	вовсе не	1	2
160	смысле можно	1	2
161	на ее	1	2
162	на его	2	2
163	для нас	3	2
164	все те	2	2
165	во всяком	2	2
166	если же	2	2
167	или в	1	2
168	мы говорим	1	2
169	на элементы	1	2
170	случае не	1	2
171	конце развития	2	2
172	и ничего	1	2
173	она может	2	2
174	известном смысле	1	2
175	только о	1	2
176	в большинстве	1	2
177	функций и	1	2
178	в нем	3	2
179	т.е от	1	2
180	его и	1	2
181	друг с	2	2
182	могут быть	2	2
183	и наиболее	1	2
184	совершенно не	2	2
185	со всеми	2	2
186	его в	1	2
187	что же	5	2
188	свою очередь	2	2
189	с другом	2	2
190	а затем	1	2
191	но если	1	2
192	декарта и	1	2
193	поэтому мы	3	2
194	но эта	1	2
195	из которых	2	2
196	которые в	1	2
197	и при	1	2
