N	3gram	Tiupa_Hudo_1	PoTuStor
1	с точки зрения	3	6
2	на самом деле	1	4
3	с самого начала	1	4
4	в чем не	1	3
5	в этом смысле	1	3
6	до сих пор	2	3
7	во всяком случае	1	3
8	не может быть	2	3
9	ни в чем	1	3
10	в самом деле	4	2
11	о том что	9	2
12	в конечном счете	2	2
13	и в этом	1	2
14	одних и тех	1	1
15	уже знаем что	1	1
16	то что я	1	1
17	прежде всего на	1	1
18	уже не может	1	1
19	то же самое	1	1
20	что на этом	1	1
21	сих пор еще	1	1
22	же как и	1	1
23	ни в ком	1	1
24	и та же	1	1
25	в этом отношении	3	1
26	для него уже	1	1
27	нет ничего удивительного	1	1
28	а в конце	1	1
29	можно было бы	4	1
30	может быть только	1	1
31	с этой точки	1	1
32	и тех же	1	1
33	мы узнаем о	1	1
34	не чем иным	1	1
35	в данном случае	1	1
36	с одной стороны	1	1
37	в высшей степени	1	1
38	в связи с	3	1
39	в себя и	1	1
40	говорили что на	1	1
41	в этот момент	1	1
42	и она не	1	1
43	самом деле в	2	1
44	в свое время	1	1
45	в том что	6	1
46	этой точки зрения	1	1
47	нет и быть	1	1
48	чем иным как	1	1
49	на наших глазах	1	1
50	так и в	1	1
51	связи с этим	2	1
52	одна и та	1	1
53	и быть не	1	1
54	в том смысле	1	1
55	друг с другом	1	1
56	мы уже знаем	2	1
57	на первый взгляд	1	1
