N	2gram	Medvedev_S_1	FransuaR
1	и в	3	45
2	и не	1	15
3	в этом	5	14
4	не только	3	14
5	в его	3	13
6	и его	1	13
7	что в	2	12
8	как бы	2	12
9	то же	2	11
10	в то	1	11
11	как и	1	10
12	право на	1	10
13	в том	5	10
14	но и	2	10
15	прежде всего	1	10
16	же время	1	9
17	вовсе не	1	8
18	таким образом	2	8
19	все это	7	7
20	не в	3	7
21	в конце	2	7
22	том что	2	7
23	так и	1	6
24	связи с	1	6
25	в этой	1	6
26	в них	1	6
27	что он	1	6
28	все эти	1	5
29	в связи	1	5
30	не может	1	5
31	его в	1	5
32	с ним	1	5
33	это и	2	5
34	и как	1	5
35	бы в	1	4
36	между собою	1	4
37	в сущности	1	4
38	а в	1	4
39	но не	1	4
40	мы не	1	4
41	и о	1	4
42	ничего не	1	4
43	только в	2	4
44	у него	1	4
45	о том	1	4
46	перед нами	1	4
47	но она	1	3
48	еще и	1	3
49	не было	1	3
50	по существу	2	3
51	с помощью	1	3
52	что на	1	3
53	в заключение	1	3
54	это не	1	3
55	жизни он	1	3
56	в своей	1	3
57	именно в	1	3
58	на этот	1	3
59	что она	1	3
60	все же	1	2
61	и наконец	1	2
62	кто не	1	2
63	что это	1	2
64	даже в	1	2
65	хотя бы	1	2
66	ведь это	2	2
67	и только	3	2
68	мы еще	1	2
69	между тем	1	2
70	то что	2	2
71	на все	1	2
72	в целом	1	2
73	в чем	1	2
74	один из	1	2
75	том как	1	2
76	что все	1	2
77	в каждом	1	2
78	же самое	1	2
79	самому существу	1	2
80	и что	2	2
81	слова но	1	2
82	только для	1	2
83	и есть	1	2
84	может быть	2	2
85	было бы	2	2
86	благодаря этому	1	2
87	конечно не	1	2
88	но именно	1	2
89	в данном	1	2
90	в любой	1	1
91	еще не	2	1
92	во всяком	1	1
93	же это	1	1
94	из себя	1	1
95	не исчерпываются	1	1
96	только тогда	1	1
97	отношению к	2	1
98	темы и	1	1
99	от окружающих	1	1
100	ровно ничего	1	1
101	это вовсе	1	1
102	бы он	1	1
103	нужно было	2	1
104	наконец в	1	1
105	к которому	2	1
106	друг от	1	1
107	в виде	1	1
108	в области	1	1
109	и мы	2	1
110	не дает	1	1
111	от друга	1	1
112	на ней	1	1
113	вопросом о	1	1
114	те же	1	1
115	в строгом	1	1
116	время в	1	1
117	все то	1	1
118	между ними	1	1
119	тем же	1	1
120	он ни	1	1
121	истории литературы	10	1
122	и самые	1	1
123	но как	1	1
124	более чем	3	1
125	он по	1	1
126	никогда не	1	1
127	за пределы	2	1
128	по отношению	2	1
129	они не	1	1
130	ни одно	1	1
131	более не	1	1
132	именно на	1	1
133	конечном счете	1	1
134	полагает что	1	1
135	как будто	2	1
136	их на	1	1
137	и потому	1	1
138	и история	1	1
139	тем что	1	1
140	единство не	1	1
141	истины как	1	1
142	больше того	1	1
143	как только	2	1
144	в конечном	1	1
145	для этого	1	1
146	тех кто	1	1
147	но сам	1	1
148	в котором	1	1
149	вряд ли	1	1
150	исторического развития	2	1
151	тому что	1	1
152	не от	1	1
153	и будет	1	1
154	в мире	1	1
155	в процессе	1	1
156	далеко не	2	1
157	тем более	2	1
158	столь же	1	1
159	в частности	2	1
160	же этот	1	1
161	нашей работы	1	1
162	тогда и	1	1
163	что автор	1	1
164	никак не	1	1
165	и более	1	1
166	со своими	1	1
167	своих мыслей	1	1
168	развития и	1	1
169	стоит только	1	1
170	существу это	1	1
171	ни на	1	1
172	образом в	1	1
173	связь между	1	1
174	и по	1	1
