N	3gram	Potebnia_M_3	NovoeSre
1	не может быть	3	4
2	подобно тому как	2	3
3	со всех сторон	1	3
4	равно как и	1	2
5	вместе с тем	4	2
6	с одной стороны	3	2
7	с другой стороны	4	2
8	не в смысле	1	2
9	по своему строению	1	1
10	только потому что	2	1
11	в виду эту	1	1
12	но оно есть	1	1
13	а не в	1	1
14	то время как	1	1
15	потому что не	3	1
16	то нужно будет	1	1
17	до сих пор	3	1
18	для себя и	1	1
19	смысле в каком	2	1
20	сами по себе	1	1
21	должно было быть	1	1
22	но и в	4	1
23	заключает в себе	5	1
24	может быть только	3	1
25	в том случае	1	1
26	еще не знает	1	1
27	том смысле в	1	1
28	в том чтобы	2	1
29	не только в	4	1
30	к вопросу о	1	1
31	на это не	1	1
32	не могут быть	2	1
33	не в том	5	1
34	лишь в том	1	1
35	о том что	1	1
36	в то время	4	1
37	имея в виду	1	1
38	не в силах	1	1
39	это значит что	1	1
40	многое зависит от	1	1
41	и не менее	1	1
42	в том смысле	3	1
43	и совсем не	1	1
44	быть не может	1	1
45	в том что	16	1
46	как и в	2	1
