N	2gram	Potebnia_M_3	Sotsiolo
1	все это	4	7
2	в том	32	5
3	в этом	10	5
4	для нас	20	3
5	не только	21	3
6	и в	30	3
7	не в	15	3
8	в его	4	3
9	за пределы	2	2
10	но и	19	2
11	и мы	2	2
12	было бы	9	2
13	в смысле	4	2
14	должна быть	1	2
15	только в	21	2
16	далеко не	4	2
17	нужно было	1	2
18	в результате	1	2
19	тем более	4	2
20	том что	18	2
21	это зависит	2	2
22	то что	18	2
23	главным образом	1	2
24	или даже	1	2
25	и что	10	2
26	еще не	5	2
27	только как	5	2
28	таким образом	14	2
29	это и	2	2
30	отношению к	5	2
31	что в	17	2
32	может быть	28	2
33	как бы	3	2
34	по отношению	5	2
35	очевидно что	5	2
36	то же	23	2
37	друг от	1	1
38	но стоит	1	1
39	крайней мере	5	1
40	что все	3	1
41	я и	3	1
42	право на	1	1
43	противном случае	1	1
44	вряд ли	1	1
45	быть не	2	1
46	по себе	16	1
47	даже в	2	1
48	сама по	2	1
49	в мире	1	1
50	сказать и	1	1
51	в этой	2	1
52	тому что	3	1
53	эти два	1	1
54	и должны	1	1
55	будто в	1	1
56	даже не	1	1
57	на все	2	1
58	с другой	7	1
59	ни одно	1	1
60	в соответствующих	1	1
61	его в	3	1
62	дает нам	3	1
63	только для	1	1
64	с ним	6	1
65	это не	1	1
66	на этот	1	1
67	именно в	3	1
68	в чем	3	1
69	значении слова	1	1
70	все же	2	1
71	в противном	1	1
72	один из	4	1
73	и есть	3	1
74	перед нами	2	1
75	в то	10	1
76	его собственная	1	1
77	тем же	4	1
78	это дает	1	1
79	и наконец	2	1
80	еще и	1	1
81	только то	1	1
82	а с	2	1
83	том как	3	1
84	тем что	7	1
85	и как	5	1
86	в процессе	1	1
87	что эти	1	1
88	на ней	1	1
89	этому соответствует	1	1
90	что он	6	1
91	тогда и	3	1
92	прежде всего	3	1
93	слова но	2	1
94	в них	5	1
95	так и	11	1
96	не было	4	1
97	к субъекту	2	1
98	одной стороны	3	1
99	те же	6	1
100	но только	2	1
101	научной мысли	1	1
102	и не	15	1
103	из себя	2	1
104	на общие	1	1
105	зависит от	6	1
106	именно такого	1	1
107	мы не	9	1
108	же время	5	1
109	внутреннего единства	1	1
110	ничего не	1	1
111	между собою	6	1
112	мы еще	1	1
113	развития и	1	1
114	не мешает	1	1
115	и о	2	1
116	связь между	2	1
117	все эти	1	1
118	как и	10	1
119	или нет	1	1
120	бы в	2	1
121	без этого	1	1
122	для этого	1	1
123	мы должны	4	1
124	в таких	1	1
125	в сущности	1	1
126	творчество в	1	1
127	но она	1	1
128	образом в	3	1
129	конечно не	1	1
130	на первый	1	1
131	иначе и	2	1
132	свойств и	2	1
133	и его	4	1
134	в этих	1	1
135	место в	3	1
136	связи с	2	1
137	от друга	1	1
138	или не	1	1
139	в целом	3	1
140	стало быть	1	1
141	не может	6	1
142	в своей	2	1
143	только тогда	9	1
144	а в	12	1
145	должны служить	1	1
146	что она	3	1
147	бы заключаться	1	1
148	о том	2	1
149	не дает	2	1
150	в области	2	1
151	и потому	4	1
152	представить себе	3	1
153	но именно	1	1
154	мы думаем	1	1
155	в котором	4	1
156	никак не	3	1
157	в строгом	1	1
158	между ними	1	1
159	представляется нам	1	1
160	единства и	1	1
161	все то	1	1
162	столь же	4	1
163	время в	3	1
164	когда мы	2	1
165	в силу	3	1
166	мы понимаем	1	1
167	он говорит	2	1
168	в область	1	1
169	должно было	2	1
170	не без	1	1
171	что это	4	1
172	ними в	1	1
173	что путное	1	1
174	вовсе не	7	1
175	не исчерпываются	1	1
176	же самое	1	1
177	с одной	7	1
178	что без	1	1
179	а между	2	1
180	но не	7	1
181	у него	2	1
182	а тем	2	1
183	в систему	1	1
184	в виде	2	1
185	в данном	1	1
186	между тем	9	1
187	но как	2	1
188	и по	4	1
189	что на	1	1
190	и человеком	1	1
191	по крайней	5	1
192	не один	2	1
193	понимать что	1	1
194	и более	1	1
195	и стало	1	1
196	во всяком	1	1
197	в каждом	3	1
198	и понятие	1	1
199	нам право	1	1
200	это значит	1	1
