N	3gram	Nazirov_Tv_2	Istorich
1	и т д	11	22
2	не может быть	3	7
3	с другой стороны	2	5
4	до сих пор	3	5
5	так например в	1	4
6	в том что	2	4
7	дело в том	1	3
8	по отношению к	3	3
9	точно так же	1	3
10	в то время	1	3
11	в связи с	1	3
12	т д все	1	3
13	о том что	2	3
14	можно было бы	1	3
15	не означает что	1	2
16	может быть назван	1	2
17	на этот вопрос	2	2
18	так же как	2	2
19	как будто бы	1	2
20	и должно быть	1	2
21	в отличие от	2	2
22	все же не	2	2
23	мы не можем	1	2
24	с самого начала	1	2
25	он живет в	1	1
26	по внешним формам	1	1
27	никогда не было	2	1
28	в другом месте	1	1
29	в этой главе	1	1
30	тесно связан с	1	1
31	не зависит от	1	1
32	а затем из	1	1
33	не только с	1	1
34	в соответствии с	4	1
35	влечет за собой	2	1
36	о том как	1	1
37	же как и	1	1
38	в нем и	1	1
39	на точку зрения	1	1
40	сами по себе	1	1
41	о том чтобы	1	1
42	а может быть	1	1
43	только то что	1	1
44	и т п	2	1
45	д все это	1	1
46	одном из вариантов	1	1
47	в й главе	2	1
48	и между ними	1	1
49	в этой связи	1	1
50	едва ли не	2	1
51	именно потому что	1	1
52	еще ничего не	1	1
53	но в то	1	1
54	ответ на этот	1	1
55	приблизительно так же	1	1
56	не только для	1	1
57	это своего рода	1	1
58	это все же	1	1
59	не могут быть	1	1
60	это не значит	1	1
61	тем что они	1	1
62	соответствии с этим	1	1
63	в стороне от	1	1
64	по себе не	1	1
65	того или иного	1	1
66	в одном из	2	1
67	мы знаем что	1	1
68	еще не все	1	1
69	отнюдь не означает	1	1
70	относится и к	1	1
71	содержит в себе	1	1
72	не значит что	1	1
73	и в этом	1	1
74	мы узнаем в	1	1
75	к тому же	1	1
76	аргументом в пользу	2	1
