N	3gram	Berdyaev_M_2	Analitik
1	о том что	2	6
2	в том что	2	6
3	по отношению к	2	4
4	так и не	1	4
5	и в этом	3	4
6	у него на	1	4
7	подобно тому как	2	3
8	в этом отношении	1	3
9	той или иной	1	3
10	как и в	2	3
11	и он же	2	2
12	с точки зрения	1	2
13	в значительной степени	1	2
14	а не только	1	2
15	по природе своей	1	2
16	на то что	1	2
17	а между тем	1	1
18	что иное как	3	1
19	как бы не	1	1
20	со своим другим	2	1
21	в этой борьбе	1	1
22	но и в	1	1
23	между тем как	1	1
24	что случилось с	1	1
25	и там и	6	1
26	что она не	2	1
27	с самим собою	2	1
28	ибо и в	1	1
29	и тогда когда	1	1
30	но и его	1	1
31	одни и те	1	1
32	так как будто	1	1
33	и если он	1	1
34	и в словах	1	1
35	есть не что	3	1
36	там и здесь	6	1
37	не может быть	8	1
38	в себе такова	1	1
39	не что иное	3	1
40	и не знает	1	1
41	и те же	2	1
42	его я и	1	1
43	к тому что	3	1
44	в отношении к	2	1
45	сама по себе	1	1
46	в этом втором	1	1
47	с самим собой	1	1
