N	3gram	Tiupa_Anal_3	Narrotol
1	в том что	7	8
2	с одной стороны	2	7
3	о том что	5	6
4	по отношению к	7	6
5	в отличие от	2	5
6	не может быть	1	5
7	в основе своей	1	4
8	в данном случае	3	4
9	к тому же	3	4
10	с другой стороны	5	4
11	той или иной	3	4
12	можно сказать что	2	4
13	в этом отношении	3	3
14	тем не менее	2	3
15	то же время	3	3
16	в свою очередь	4	3
17	в то же	3	3
18	что иное как	1	2
19	присутствия в мире	1	2
20	в той или	1	2
21	и рецептивная установка	1	2
22	мы имеем дело	4	2
23	жанры как формы	2	2
24	сказания или анекдота	2	2
25	подобно тому как	2	2
26	так и не	5	2
27	или иного нарративного	1	2
28	с точки зрения	2	2
29	рассказывания а не	1	2
30	в таком случае	1	2
31	а по своей	1	2
32	бытийной компетенции персонажа	1	2
33	перед нами не	1	2
34	говорящего или пишущего	1	2
35	отношения к сообщаемому	2	2
36	ту или иную	1	2
37	тогда как в	1	2
38	в значительной степени	2	2
39	одного сознания к	1	2
40	оказывается всего лишь	1	2
41	не что иное	1	2
42	в первом случае	1	2
43	не только в	1	2
44	и в форме	2	2
45	сказания или притчи	1	2
46	в себя и	1	2
47	в известном смысле	1	2
48	значении этого слова	1	2
49	в связи с	1	2
50	в этом ряду	2	2
51	при всей своей	1	2
52	того или иного	1	2
53	как к содержанию	2	2
54	встречается в качестве	1	2
55	то есть в	1	2
56	персонажа то она	1	2
57	в конечном счете	2	2
58	сознания к другому	1	2
59	речь идет о	1	2
60	индивидуального речевого замысла	2	2
61	по сути дела	1	2
62	со стороны адресата	2	2
63	не сводится к	1	2
64	здесь и сейчас	1	2
65	от одного сознания	1	2
66	кто говорит и	2	2
67	так или иначе	1	2
68	креативная компетенция жанра	2	2
69	интерсубъективных компетенций определенных	1	1
70	авторства выше она	1	1
71	не у-влекать слушателей	1	1
72	от диалогической ситуации	1	1
73	нейтральное к языку	1	1
74	и интонациями он	1	1
75	статус научной истины	1	1
76	резюмируя можно сказать	1	1
77	миропорядка жизнь глазами	1	1
78	с иными подробностями	1	1
79	притчи креативная компетенция	1	1
80	в притче универсального	1	1
81	жизни анекдот должен	1	1
82	компетентности индивидуального речевого	1	1
83	аспекте бахтин различал	1	1
84	вследствие которого он	1	1
85	компетенции жанра состоит	1	1
86	есть креативная компетенция	1	1
87	по своей природе	1	1
88	общеизвестные пришел увидел	1	1
89	ситуации жизненного выбора	1	1
90	строго отграниченная система	1	1
91	внутренне свободного игрового	2	1
92	и того же	3	1
93	компетенции суть референтная	1	1
94	непосредственно коммуникативными способами	1	1
95	костяком так сказать	1	1
96	в культуре коммуникативной	1	1
97	бахтину жанровое целое	1	1
98	выбор лексики например	1	1
99	острота или острота	1	1
100	текстами соответствующего жанра	1	1
101	сам текст анекдота	1	1
102	общенародной сказание или	1	1
103	предел сказания героическая	1	1
104	в нем определенные	1	1
105	к однозначности и	1	1
106	есть до известной	1	1
107	в новелле есть	1	1
108	пока еще преждевременно	1	1
109	выше она названа	1	1
110	при этом остается	1	1
111	характерно что несмотря	1	1
112	отношений анекдот не	1	1
113	соучастников притчевого дискурса	1	1
114	анекдот жизни но	1	1
115	сообщаемому рецептивная компетенция	1	1
116	что они хотят	1	1
117	состоит в смыслополагающей	1	1
118	твердым композиционным костяком	1	1
119	поступки в притче	1	1
120	своего рода хоровое	1	1
121	определяется предметом целью	1	1
122	типическим ситуациям речевого	1	1
123	сказать первофеномены жанров	1	1
124	оно существенным образом	1	1
